popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0,0.12,1145.6,2892.8,2816,1708.8,3814.4,4288,2777.5999,900.26666
64,0.00000001,0.04,0.12,1081.6,2809.6,2835.2,1721.6,3801.6,4505.6,2792.5332,927.289
64,0.00000001,0.08,0.12,1158.4,2873.6,2835.2,1734.4,3801.6,4537.6,2823.4668,918.04443
64,0.00000001,0.08,0.08,1062.4,2937.6,2995.2,1683.2,3916.8,4544,2856.5332,989.1556
64,0.00000001,0.04,0.08,1120,2931.2,2963.2,1670.4,3865.6,4601.6,2858.6667,975.64453
64,0.00000001,0,0.08,1049.6,2982.4,2924.8,1715.2,3904,4582.4,2859.7334,984.88885
64,0.00000001,0.12,0.12,1164.8,2931.2,2937.6,1843.2,3865.6,4512,2875.7334,914.48895
64,0.00000001,0,0.16,1184,2931.2,2867.2,1824,4006.4,4467.2,2880,921.60004
64,0.00000001,0.04,0.16,1196.8,2886.4,2905.6,1868.8,3929.6,4518.4,2884.2666,900.9778
64,0.00000001,0.12,0.08,1139.2,3072,2963.2,1760,3968,4614.4,2919.4668,979.9111
64,0.00000001,0.08,0.16,1196.8,3001.6,3008,1856,3923.2,4588.8,2929.0667,935.1111
64,0.00000001,0.19999999,0.12,1203.2,2969.6,2995.2,1868.8,4044.8,4576,2942.9333,937.95557
64,0.00000001,0.12,0.16,1228.8,2995.2,3059.2,1817.6,4051.2,4620.8,2962.1335,959.28876
64,0.00000001,0.16,0.12,1241.6,3008,3020.8,1830.4,4057.6,4627.2,2964.2668,952.17773
64,0.00000001,0.16,0.08,1139.2,3001.6,3091.2,1728,4198.4,4691.2,2974.9336,1027.5555
64,0.00000001,0.16,0.16,1254.4,2976,3052.8,1939.2,4032,4646.4,2983.4668,926.93335
64,0.00000001,0.24,0.12,1222.4,3142.4,3020.8,1862.4,4070.4,4684.8,3000.5332,972.08887
64,0.00000001,0.19999999,0.16,1280,2969.6,3084.8,1888,4160,4691.2,3012.2668,966.4001
64,0.00000001,0.19999999,0.08,1164.8,3065.6,3104,1811.2,4140.8,4819.2,3017.6003,1019.7332
64,0.00000001,0,0.19999999,1254.4,3123.2,2976,1958.4,4089.6,4857.6,3043.2,980.26666
64,0.00000001,0.28,0.12,1152,3116.8,3168,1926.4,4147.2,4748.8,3043.2,1002.6667
64,0.00000001,0.04,0.19999999,1273.6,2988.8,3110.4,1907.2,4160,4870.4,3051.7334,995.19995
64,0.00000001,0.24,0.16,1190.4,3155.2,3104,1990.4,4224,4780.8,3074.1335,989.15546
