popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.16,0.16,6451.2,12166.4,12243.2,8108.8,18745.6,22387.2,13350.401,4810.6665
64,0.08,0.16,6208,12396.8,12172.8,7884.8,18860.8,22643.2,13361.067,4927.289
64,0.12,0.16,6150.4,12230.4,12211.2,8019.2,18796.8,22758.4,13361.066,4944.3555
64,0,0.16,5670.4,12166.4,12096,7558.4,19571.2,23596.8,13443.2,5427.1997
64,0.19999999,0.16,6566.4,12499.2,12326.4,8428.8,18771.2,22272,13477.333,4696.1777
64,0.24,0.16,6630.4,12537.6,12313.6,8486.4,18662.4,22259.2,13481.599,4652.7993
64,0.35999998,0.12,5785.6,12371.2,12185.6,7660.8,19136,23769.6,13484.8,5312
64,0.39999998,0.12,5932.8,12339.2,12601.6,7929.6,18918.4,23328,13508.267,5076.6226
64,0.04,0.16,6028.8,12140.8,12172.8,7808,19411.2,23545.6,13517.866,5307.022
64,0.28,0.16,6969.6,12576,12556.8,8729.6,18867.2,22048,13624.534,4555.3784
64,0.28,0.12,5478.4,12384,12083.2,7385.6,19110.4,25331.2,13628.8,5727.9995
64,0.32,0.12,5702.4,12524.8,12185.6,7488,19494.4,24684.8,13680,5606.4004
64,0.32,0.16,6944,12748.8,12704,8748.8,18969.6,22790.4,13817.601,4708.267
64,0.44,0.12,6112,12646.4,12844.8,8224,19443.2,23680,13825.066,5157.689
64,0.24,0.12,5497.6,12108.8,12313.6,7251.2,20051.2,26054.4,13879.466,6115.555
64,0.35999998,0.16,6854.4,12934.4,12736,8992,19219.2,22636.8,13895.466,4688.3555
64,0.48,0.12,6457.6,12953.6,13158.4,8339.2,19110.4,23628.8,13941.333,4952.1777
64,0.52,0.12,6592,13273.6,13267.2,8761.6,19449.6,22675.2,14003.2,4706.1333
64,0.19999999,0.12,5267.2,12083.2,12032,7110.4,20403.2,27238.4,14022.399,6532.266
64,0.39999998,0.16,7276.8,13088,13228.8,9209.6,19168,22860.8,14138.667,4583.8223
64,0.56,0.12,6745.6,13401.6,13510.4,8972.8,19718.4,22873.6,14203.734,4728.178
64,0.44,0.16,7456,13484.8,13446.4,9612.8,19590.4,22675.2,14377.602,4503.4673
64,0.16,0.12,5376,12281.6,12166.4,6969.6,20953.6,29235.2,14497.067,7064.889
64,0.48,0.16,7296,13734.4,13715.2,9920,19654.4,23180.8,14583.466,4556.0884
64,0.59999996,0.12,6912,13952,14009.6,9497.6,19788.8,23571.2,14621.867,4705.4224
64,0.52,0.16,7705.6,13836.8,13913.6,10208,20140.8,23379.2,14864,4597.3335
64,0.64,0.12,7251.2,14630.4,14502.4,9772.8,20384,23372.8,14985.599,4595.1997
64,0.56,0.16,8019.2,14380.8,14252.8,10656,20486.4,23635.2,15238.401,4548.267
64,0.68,0.12,7769.6,15193.6,14886.4,10220.8,21056,24428.8,15592.534,4766.578
64,0,0.19999999,7814.4,13862.4,14048,9984,21798.4,26649.6,15692.801,5687.467
64,0.59999996,0.16,8460.8,14822.4,14636.8,11046.4,20979.2,24345.6,15715.199,4631.4663
64,0.04,0.19999999,8096,13984,14246.4,9920,21606.4,26892.8,15790.933,5639.111
64,0.08,0.19999999,8249.6,14099.2,14272,10041.6,21644.8,26796.8,15850.667,5580.0894
64,0.16,0.19999999,8422.4,14220.8,14611.2,10560,21459.2,26796.8,16011.731,5410.8438
64,0.12,0.19999999,8659.2,14284.8,14316.8,10393.6,21945.6,26899.2,16083.2,5559.467
64,0.64,0.16,8454.4,15129.6,15360,11737.6,21721.6,24857.6,16210.134,4719.6445
64,0.71999997,0.12,8070.4,15718.4,15756.8,10892.8,21964.8,25107.2,16251.734,4856.178
64,0.24,0.19999999,8659.2,14323.2,14521.6,11334.4,22182.4,26995.2,16336,5501.8667
64,0.19999999,0.19999999,8416,14451.2,14732.8,11084.8,22329.6,27212.8,16371.2,5600
64,0.68,0.08,6598.4,15692.8,15417.6,9555.2,22457.6,28710.4,16405.332,6119.111
64,0.64,0.08,6291.2,15200,15257.6,9113.6,22528,30732.8,16520.533,6739.9116
64,0.28,0.19999999,8934.4,14656,14848,11699.2,22387.2,27628.8,16692.266,5543.822
64,0.68,0.16,8979.2,15910.4,15916.8,11942.4,22150.4,25868.8,16794.666,4809.9556
64,0.32,0.19999999,9299.2,14937.6,14995.2,11705.6,22707.2,27622.4,16877.865,5524.6216
64,0.71999997,0.08,6924.8,16697.6,16428.8,10022.4,22764.8,28550.4,16898.135,5839.6445
