h,p_best_rate,popsize,megacity,mean,mad
1,0.04,64,inf,inf,inf
1,0.08,64,inf,inf,inf
1,0.12,64,inf,inf,inf
1,0.16,64,inf,inf,inf
1,0.19999999,64,inf,inf,inf
1,0.23999998,64,inf,inf,inf
1,0.28,64,inf,inf,inf
1,0.32,64,inf,inf,inf
1,0.35999998,64,inf,inf,inf
1,0.39999998,64,inf,inf,inf
1,0.43999997,64,inf,inf,inf
1,0.48,64,inf,inf,inf
1,0.52,64,inf,inf,inf
1,0.56,64,inf,inf,inf
1,0.6,64,inf,inf,inf
1,0.64,64,inf,inf,inf
1,0.68,64,inf,inf,inf
1,0.72,64,inf,inf,inf
1,0.76,64,inf,inf,inf
1,0.8,64,inf,inf,inf
1,0.84,64,inf,inf,inf
1,0.88,64,inf,inf,inf
1,0.92,64,inf,inf,inf
1,0.96,64,inf,inf,inf
1,1,64,inf,inf,inf
2,0.04,64,inf,inf,inf
2,0.08,64,inf,inf,inf
2,0.12,64,inf,inf,inf
2,0.16,64,inf,inf,inf
2,0.19999999,64,inf,inf,inf
2,0.23999998,64,inf,inf,inf
2,0.28,64,inf,inf,inf
2,0.32,64,inf,inf,inf
2,0.35999998,64,inf,inf,inf
2,0.39999998,64,inf,inf,inf
2,0.43999997,64,inf,inf,inf
2,0.48,64,inf,inf,inf
2,0.52,64,inf,inf,inf
2,0.56,64,inf,inf,inf
2,0.6,64,inf,inf,inf
2,0.64,64,inf,inf,inf
2,0.68,64,inf,inf,inf
2,0.72,64,inf,inf,inf
2,0.76,64,inf,inf,inf
2,0.8,64,inf,inf,inf
2,0.84,64,inf,inf,inf
2,0.88,64,inf,inf,inf
2,0.92,64,inf,inf,inf
2,0.96,64,inf,inf,inf
2,1,64,inf,inf,inf
3,0.04,64,inf,inf,inf
3,0.08,64,inf,inf,inf
3,0.12,64,inf,inf,inf
3,0.16,64,inf,inf,inf
3,0.19999999,64,inf,inf,inf
3,0.23999998,64,inf,inf,inf
3,0.28,64,inf,inf,inf
3,0.32,64,inf,inf,inf
3,0.35999998,64,inf,inf,inf
3,0.39999998,64,inf,inf,inf
3,0.43999997,64,inf,inf,inf
3,0.48,64,inf,inf,inf
3,0.52,64,inf,inf,inf
3,0.56,64,inf,inf,inf
3,0.6,64,inf,inf,inf
3,0.64,64,inf,inf,inf
3,0.68,64,inf,inf,inf
3,0.72,64,inf,inf,inf
3,0.76,64,inf,inf,inf
3,0.8,64,inf,inf,inf
3,0.84,64,inf,inf,inf
3,0.88,64,inf,inf,inf
3,0.92,64,inf,inf,inf
3,0.96,64,inf,inf,inf
3,1,64,inf,inf,inf
4,0.04,64,inf,inf,inf
4,0.08,64,inf,inf,inf
4,0.12,64,inf,inf,inf
4,0.16,64,inf,inf,inf
4,0.19999999,64,inf,inf,inf
4,0.23999998,64,inf,inf,inf
4,0.28,64,inf,inf,inf
4,0.32,64,inf,inf,inf
4,0.35999998,64,inf,inf,inf
4,0.39999998,64,inf,inf,inf
4,0.43999997,64,inf,inf,inf
4,0.48,64,inf,inf,inf
4,0.52,64,inf,inf,inf
4,0.56,64,inf,inf,inf
4,0.6,64,inf,inf,inf
4,0.64,64,inf,inf,inf
4,0.68,64,inf,inf,inf
4,0.72,64,inf,inf,inf
4,0.76,64,inf,inf,inf
4,0.8,64,inf,inf,inf
4,0.84,64,inf,inf,inf
4,0.88,64,inf,inf,inf
4,0.92,64,inf,inf,inf
4,0.96,64,inf,inf,inf
4,1,64,inf,inf,inf
5,0.04,64,inf,inf,inf
5,0.08,64,inf,inf,inf
5,0.12,64,inf,inf,inf
5,0.16,64,inf,inf,inf
5,0.19999999,64,inf,inf,inf
5,0.23999998,64,inf,inf,inf
5,0.28,64,inf,inf,inf
5,0.32,64,inf,inf,inf
5,0.35999998,64,inf,inf,inf
5,0.39999998,64,inf,inf,inf
5,0.43999997,64,inf,inf,inf
5,0.48,64,inf,inf,inf
5,0.52,64,inf,inf,inf
5,0.56,64,inf,inf,inf
5,0.6,64,inf,inf,inf
5,0.64,64,inf,inf,inf
5,0.68,64,inf,inf,inf
5,0.72,64,inf,inf,inf
5,0.76,64,inf,inf,inf
5,0.8,64,inf,inf,inf
5,0.84,64,inf,inf,inf
5,0.88,64,inf,inf,inf
5,0.92,64,inf,inf,inf
5,0.96,64,inf,inf,inf
5,1,64,inf,inf,inf
6,0.04,64,inf,inf,inf
6,0.08,64,inf,inf,inf
6,0.12,64,inf,inf,inf
6,0.16,64,inf,inf,inf
6,0.19999999,64,inf,inf,inf
6,0.23999998,64,inf,inf,inf
6,0.28,64,inf,inf,inf
6,0.32,64,inf,inf,inf
6,0.35999998,64,inf,inf,inf
6,0.39999998,64,inf,inf,inf
6,0.43999997,64,inf,inf,inf
6,0.48,64,inf,inf,inf
6,0.52,64,inf,inf,inf
6,0.56,64,inf,inf,inf
6,0.6,64,inf,inf,inf
6,0.64,64,inf,inf,inf
6,0.68,64,inf,inf,inf
6,0.72,64,inf,inf,inf
6,0.76,64,inf,inf,inf
6,0.8,64,inf,inf,inf
6,0.84,64,inf,inf,inf
6,0.88,64,inf,inf,inf
6,0.92,64,inf,inf,inf
6,0.96,64,inf,inf,inf
6,1,64,inf,inf,inf
7,0.04,64,inf,inf,inf
7,0.08,64,inf,inf,inf
7,0.12,64,inf,inf,inf
7,0.16,64,inf,inf,inf
7,0.19999999,64,inf,inf,inf
7,0.23999998,64,inf,inf,inf
7,0.28,64,inf,inf,inf
7,0.32,64,inf,inf,inf
7,0.35999998,64,inf,inf,inf
7,0.39999998,64,inf,inf,inf
7,0.43999997,64,inf,inf,inf
7,0.48,64,inf,inf,inf
7,0.52,64,inf,inf,inf
7,0.56,64,inf,inf,inf
7,0.6,64,inf,inf,inf
7,0.64,64,inf,inf,inf
7,0.68,64,inf,inf,inf
7,0.72,64,inf,inf,inf
7,0.76,64,inf,inf,inf
7,0.8,64,inf,inf,inf
7,0.84,64,inf,inf,inf
7,0.88,64,inf,inf,inf
7,0.92,64,inf,inf,inf
7,0.96,64,inf,inf,inf
7,1,64,inf,inf,inf
8,0.04,64,inf,inf,inf
8,0.08,64,inf,inf,inf
8,0.12,64,inf,inf,inf
8,0.16,64,inf,inf,inf
8,0.19999999,64,inf,inf,inf
8,0.23999998,64,inf,inf,inf
8,0.28,64,inf,inf,inf
8,0.32,64,inf,inf,inf
8,0.35999998,64,inf,inf,inf
8,0.39999998,64,inf,inf,inf
8,0.43999997,64,inf,inf,inf
8,0.48,64,inf,inf,inf
8,0.52,64,inf,inf,inf
8,0.56,64,inf,inf,inf
8,0.6,64,inf,inf,inf
8,0.64,64,inf,inf,inf
8,0.68,64,inf,inf,inf
8,0.72,64,inf,inf,inf
8,0.76,64,inf,inf,inf
8,0.8,64,inf,inf,inf
8,0.84,64,inf,inf,inf
8,0.88,64,inf,inf,inf
8,0.92,64,inf,inf,inf
8,0.96,64,inf,inf,inf
8,1,64,inf,inf,inf
9,0.04,64,inf,inf,inf
9,0.08,64,inf,inf,inf
9,0.12,64,inf,inf,inf
9,0.16,64,inf,inf,inf
9,0.19999999,64,inf,inf,inf
9,0.23999998,64,inf,inf,inf
9,0.28,64,inf,inf,inf
9,0.32,64,inf,inf,inf
9,0.35999998,64,inf,inf,inf
9,0.39999998,64,inf,inf,inf
9,0.43999997,64,inf,inf,inf
9,0.48,64,inf,inf,inf
9,0.52,64,inf,inf,inf
9,0.56,64,inf,inf,inf
9,0.6,64,inf,inf,inf
9,0.64,64,inf,inf,inf
9,0.68,64,inf,inf,inf
9,0.72,64,inf,inf,inf
9,0.76,64,inf,inf,inf
9,0.8,64,inf,inf,inf
9,0.84,64,inf,inf,inf
9,0.88,64,inf,inf,inf
9,0.92,64,inf,inf,inf
9,0.96,64,inf,inf,inf
9,1,64,inf,inf,inf
10,0.04,64,inf,inf,inf
10,0.08,64,inf,inf,inf
10,0.12,64,inf,inf,inf
10,0.16,64,inf,inf,inf
10,0.19999999,64,inf,inf,inf
10,0.23999998,64,inf,inf,inf
10,0.28,64,inf,inf,inf
10,0.32,64,inf,inf,inf
10,0.35999998,64,inf,inf,inf
10,0.39999998,64,inf,inf,inf
10,0.43999997,64,inf,inf,inf
10,0.48,64,inf,inf,inf
10,0.52,64,inf,inf,inf
10,0.56,64,inf,inf,inf
10,0.6,64,inf,inf,inf
10,0.64,64,inf,inf,inf
10,0.68,64,inf,inf,inf
10,0.72,64,inf,inf,inf
10,0.76,64,inf,inf,inf
10,0.8,64,inf,inf,inf
10,0.84,64,inf,inf,inf
