h,p_best_rate,popsize,forest,hilly,mean,mad
6,0.23999998,64,421209.6,inf,inf,inf
6,0.28,64,429491.2,inf,inf,inf
6,0.32,64,inf,inf,inf,inf
6,0.35999998,64,424595.2,inf,inf,inf
6,0.39999998,64,434854.4,inf,inf,inf
6,0.43999997,64,423763.2,inf,inf,inf
6,0.48,64,426726.4,inf,inf,inf
6,0.52,64,433209.6,inf,inf,inf
6,0.56,64,442080,inf,inf,inf
6,0.6,64,432486.4,inf,inf,inf
6,0.64,64,451596.8,inf,inf,inf
6,0.68,64,445267.2,inf,inf,inf
6,0.72,64,450777.6,inf,inf,inf
6,0.76,64,440198.4,inf,inf,inf
6,0.8,64,450886.4,inf,inf,inf
6,0.84,64,443769.6,inf,inf,inf
6,0.88,64,444742.4,inf,inf,inf
6,0.92,64,448761.6,inf,inf,inf
6,0.96,64,inf,inf,inf,inf
6,1,64,450412.8,inf,inf,inf
7,0.04,64,inf,inf,inf,inf
7,0.08,64,416032,inf,inf,inf
7,0.12,64,420921.6,inf,inf,inf
7,0.16,64,430003.2,inf,inf,inf
7,0.19999999,64,416345.6,inf,inf,inf
7,0.23999998,64,430553.6,inf,inf,inf
7,0.28,64,429747.2,inf,inf,inf
7,0.32,64,428441.6,inf,inf,inf
7,0.35999998,64,435929.6,inf,inf,inf
7,0.39999998,64,419840,inf,inf,inf
7,0.43999997,64,419929.6,inf,inf,inf
7,0.48,64,434707.2,inf,inf,inf
7,0.52,64,inf,inf,inf,inf
7,0.56,64,438144,inf,inf,inf
7,0.6,64,431603.2,inf,inf,inf
7,0.64,64,429094.4,inf,inf,inf
7,0.68,64,417753.6,inf,inf,inf
7,0.72,64,inf,inf,inf,inf
7,0.76,64,425990.4,inf,inf,inf
7,0.8,64,426649.6,inf,inf,inf
7,0.84,64,432864,inf,inf,inf
7,0.88,64,429568,inf,inf,inf
7,0.92,64,445222.4,inf,inf,inf
7,0.96,64,inf,inf,inf,inf
7,1,64,453382.4,inf,inf,inf
8,0.04,64,inf,inf,inf,inf
8,0.08,64,420166.4,inf,inf,inf
8,0.12,64,424460.8,inf,inf,inf
8,0.16,64,421382.4,inf,inf,inf
8,0.19999999,64,406816,inf,inf,inf
8,0.23999998,64,425465.6,inf,inf,inf
8,0.28,64,420275.2,inf,inf,inf
8,0.32,64,420128,inf,inf,inf
8,0.35999998,64,421900.8,inf,inf,inf
8,0.39999998,64,432364.8,inf,inf,inf
8,0.43999997,64,423814.4,inf,inf,inf
8,0.48,64,413747.2,inf,inf,inf
8,0.52,64,429657.6,inf,inf,inf
8,0.56,64,434982.4,inf,inf,inf
8,0.6,64,437824,inf,inf,inf
8,0.64,64,443481.6,inf,inf,inf
8,0.68,64,423968,inf,inf,inf
8,0.72,64,439840,inf,inf,inf
8,0.76,64,414432,inf,inf,inf
8,0.8,64,430758.4,inf,inf,inf
8,0.84,64,437280,inf,inf,inf
8,0.88,64,444352,inf,inf,inf
8,0.92,64,inf,inf,inf,inf
8,0.96,64,448646.4,inf,inf,inf
8,1,64,inf,inf,inf,inf
9,0.04,64,inf,inf,inf,inf
9,0.08,64,417286.4,inf,inf,inf
9,0.12,64,423040,inf,inf,inf
9,0.16,64,422233.6,inf,inf,inf
9,0.19999999,64,407091.2,inf,inf,inf
9,0.23999998,64,409158.4,inf,inf,inf
9,0.28,64,423603.2,inf,inf,inf
9,0.32,64,409580.8,inf,inf,inf
9,0.35999998,64,412998.4,inf,inf,inf
9,0.39999998,64,407456,inf,inf,inf
9,0.43999997,64,430758.4,inf,inf,inf
9,0.48,64,428627.2,inf,inf,inf
9,0.52,64,410515.2,inf,inf,inf
9,0.56,64,432915.2,inf,inf,inf
9,0.6,64,425267.2,inf,inf,inf
9,0.64,64,428179.2,inf,inf,inf
9,0.68,64,425836.8,inf,inf,inf
9,0.72,64,428819.2,inf,inf,inf
9,0.76,64,427712,inf,inf,inf
9,0.8,64,433094.4,inf,inf,inf
9,0.84,64,431392,inf,inf,inf
9,0.88,64,442662.4,inf,inf,inf
9,0.92,64,426880,inf,inf,inf
9,0.96,64,441408,inf,inf,inf
9,1,64,432723.2,inf,inf,inf
10,0.04,64,421235.2,inf,inf,inf
10,0.08,64,inf,inf,inf,inf
10,0.12,64,419667.2,inf,inf,inf
10,0.16,64,409913.6,inf,inf,inf
10,0.19999999,64,406995.2,inf,inf,inf
10,0.23999998,64,420851.2,inf,inf,inf
10,0.28,64,417068.8,inf,inf,inf
10,0.32,64,414214.4,inf,inf,inf
10,0.35999998,64,415680,inf,inf,inf
10,0.39999998,64,410694.4,inf,inf,inf
10,0.43999997,64,408889.6,inf,inf,inf
10,0.48,64,415347.2,inf,inf,inf
10,0.52,64,429235.2,inf,inf,inf
10,0.56,64,417587.2,inf,inf,inf
10,0.6,64,431174.4,inf,inf,inf
10,0.64,64,429862.4,inf,inf,inf
10,0.68,64,419756.8,inf,inf,inf
10,0.72,64,426611.2,inf,inf,inf
10,0.76,64,424979.2,inf,inf,inf
10,0.8,64,425907.2,inf,inf,inf
10,0.84,64,422073.6,inf,inf,inf
10,0.88,64,421337.6,inf,inf,inf
10,0.92,64,431494.4,inf,inf,inf
10,0.96,64,454393.6,inf,inf,inf
10,1,64,448249.6,inf,inf,inf
11,0.04,64,423769.6,inf,inf,inf
11,0.08,64,inf,inf,inf,inf
11,0.12,64,inf,inf,inf,inf
11,0.16,64,411411.2,inf,inf,inf
11,0.19999999,64,417235.2,inf,inf,inf
11,0.23999998,64,411206.4,inf,inf,inf
11,0.28,64,413299.2,inf,inf,inf
11,0.32,64,410572.8,inf,inf,inf
11,0.35999998,64,418758.4,inf,inf,inf
11,0.39999998,64,423129.6,inf,inf,inf
11,0.43999997,64,414918.4,inf,inf,inf
11,0.48,64,408524.8,inf,inf,inf
11,0.52,64,419500.8,inf,inf,inf
11,0.56,64,433734.4,inf,inf,inf
11,0.6,64,430752,inf,inf,inf
11,0.64,64,417836.8,inf,inf,inf
11,0.68,64,429856,inf,inf,inf
11,0.72,64,428166.4,inf,inf,inf
11,0.76,64,438880,inf,inf,inf
11,0.8,64,427078.4,inf,inf,inf
11,0.84,64,434528,inf,inf,inf
11,0.88,64,420524.8,inf,inf,inf
11,0.92,64,420934.4,inf,inf,inf
11,0.96,64,444614.4,inf,inf,inf
11,1,64,inf,inf,inf,inf
12,0.04,64,425088,inf,inf,inf
12,0.08,64,412044.8,inf,inf,inf
12,0.12,64,426438.4,inf,inf,inf
12,0.16,64,413561.6,inf,inf,inf
12,0.19999999,64,409292.8,inf,inf,inf
12,0.23999998,64,412134.4,inf,inf,inf
12,0.28,64,410822.4,inf,inf,inf
12,0.32,64,407705.6,inf,inf,inf
12,0.35999998,64,409478.4,inf,inf,inf
12,0.39999998,64,423993.6,inf,inf,inf
12,0.43999997,64,410156.8,inf,inf,inf
12,0.48,64,419808,inf,inf,inf
12,0.52,64,408819.2,inf,inf,inf
12,0.56,64,417401.6,inf,inf,inf
12,0.6,64,411692.8,inf,inf,inf
12,0.64,64,434086.4,inf,inf,inf
12,0.68,64,417280,inf,inf,inf
12,0.72,64,416768,inf,inf,inf
12,0.76,64,410528,inf,inf,inf
12,0.8,64,413216,inf,inf,inf
12,0.84,64,428659.2,inf,inf,inf
12,0.88,64,427552,inf,inf,inf
12,0.92,64,419660.8,inf,inf,inf
12,0.96,64,422252.8,inf,inf,inf
12,1,64,428915.2,inf,inf,inf
13,0.04,64,inf,inf,inf,inf
13,0.08,64,inf,inf,inf,inf
13,0.12,64,406764.8,inf,inf,inf
13,0.16,64,411763.2,inf,inf,inf
13,0.19999999,64,405926.4,inf,inf,inf
