h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
1,0.04,64,908.8,20281.6,20864,1171.2,inf,inf,inf,inf
1,0.08,64,844.8,16390.4,17792,1158.4,inf,inf,inf,inf
1,0.12,64,832,14956.8,15865.6,1107.2,inf,inf,inf,inf
1,0.16,64,806.4,14316.8,13984,1100.8,inf,34406.4,inf,inf
1,0.19999999,64,864,13388.8,13977.6,1094.4,inf,32384,inf,inf
1,0.23999998,64,793.6,12889.6,12787.2,1056,inf,30470.4,inf,inf
1,0.28,64,832,12115.2,11257.6,1036.8,inf,29369.6,inf,inf
1,0.32,64,832,11916.8,12160,1075.2,inf,27238.4,inf,inf
1,0.35999998,64,851.2,11776,11667.2,1081.6,inf,24883.2,inf,inf
1,0.39999998,64,812.8,11481.6,10956.8,1036.8,inf,26348.8,inf,inf
1,0.43999997,64,787.2,10400,11078.4,1011.2,inf,22809.6,inf,inf
1,0.48,64,787.2,10937.6,10278.4,1056,inf,21670.4,inf,inf
1,0.52,64,825.6,10137.6,10835.2,985.6,inf,23225.6,inf,inf
1,0.56,64,819.2,10854.4,10265.6,1017.6,inf,22092.8,inf,inf
1,0.6,64,793.6,10240,10304,998.4,inf,23059.2,inf,inf
1,0.64,64,825.6,9753.6,10476.8,1036.8,inf,20684.8,inf,inf
1,0.68,64,851.2,10848,11001.6,972.8,inf,22112,inf,inf
1,0.72,64,787.2,10009.6,10790.4,1011.2,inf,19852.8,inf,inf
1,0.76,64,825.6,9811.2,10694.4,1011.2,inf,21510.4,inf,inf
1,0.8,64,819.2,9779.2,10284.8,1004.8,inf,21395.2,inf,inf
1,0.84,64,800,9843.2,9670.4,998.4,inf,22342.4,inf,inf
1,0.88,64,819.2,10092.8,9056,1030.4,inf,20032,inf,inf
1,0.92,64,825.6,10080,9728,972.8,inf,22054.4,inf,inf
1,0.96,64,806.4,9190.4,9689.6,1017.6,inf,20032,inf,inf
1,1,64,832,9452.8,9318.4,1049.6,inf,18950.4,inf,inf
2,0.04,64,940.8,21164.8,21510.4,1222.4,inf,inf,inf,inf
2,0.08,64,934.4,17382.4,17305.6,1241.6,inf,inf,inf,inf
2,0.12,64,870.4,15385.6,15616,1196.8,inf,37747.2,inf,inf
2,0.16,64,921.6,14080,14067.2,1196.8,inf,39820.8,inf,inf
2,0.19999999,64,864,13785.6,14220.8,1177.6,inf,32588.8,inf,inf
2,0.23999998,64,889.6,12787.2,13606.4,1196.8,inf,32166.4,inf,inf
2,0.28,64,844.8,12224,12633.6,1158.4,inf,31942.4,inf,inf
2,0.32,64,870.4,12000,12204.8,1126.4,inf,29216,inf,inf
2,0.35999998,64,883.2,11692.8,11667.2,1152,inf,28121.6,inf,inf
2,0.39999998,64,915.2,11609.6,11884.8,1113.6,inf,26240,inf,inf
2,0.43999997,64,864,11379.2,11449.6,1152,inf,27411.2,inf,inf
2,0.48,64,857.6,11878.4,10099.2,1152,inf,24748.8,inf,inf
2,0.52,64,883.2,10892.8,10988.8,1120,inf,24582.4,inf,inf
2,0.56,64,921.6,10809.6,11731.2,1113.6,inf,24844.8,inf,inf
2,0.6,64,876.8,11411.2,10246.4,1120,inf,23622.4,inf,inf
2,0.64,64,883.2,10777.6,10521.6,1113.6,inf,24012.8,inf,inf
2,0.68,64,851.2,10483.2,10752,1088,inf,23539.2,inf,inf
2,0.72,64,876.8,10470.4,10758.4,1100.8,inf,23289.6,inf,inf
2,0.76,64,844.8,10745.6,10163.2,1107.2,inf,23116.8,inf,inf
2,0.8,64,857.6,10048,9497.6,1113.6,inf,19654.4,inf,inf
2,0.84,64,864,9708.8,10003.2,1152,inf,22720,inf,inf
2,0.88,64,864,9824,9446.4,1094.4,inf,22355.2,inf,inf
2,0.92,64,864,10112,9945.6,1132.8,inf,21030.4,inf,inf
2,0.96,64,876.8,9977.6,10022.4,1113.6,inf,21715.2,inf,inf
2,1,64,883.2,9254.4,9644.8,1107.2,inf,21996.8,inf,inf
3,0.04,64,934.4,21043.2,22438.4,1369.6,inf,inf,inf,inf
3,0.08,64,953.6,18182.4,18086.4,1318.4,inf,inf,inf,inf
3,0.12,64,953.6,15526.4,15891.2,1286.4,inf,inf,inf,inf
3,0.16,64,966.4,15456,14099.2,1222.4,inf,37260.8,inf,inf
3,0.19999999,64,896,14201.6,13696,1235.2,inf,34086.4,inf,inf
3,0.23999998,64,940.8,12467.2,13331.2,1260.8,inf,33472,inf,inf
3,0.28,64,928,12921.6,12377.6,1228.8,inf,32352,inf,inf
3,0.32,64,940.8,12076.8,12256,1267.2,inf,30732.8,inf,inf
3,0.35999998,64,940.8,11353.6,11961.6,1184,inf,29977.6,inf,inf
3,0.39999998,64,953.6,12371.2,12185.6,1177.6,inf,27020.8,inf,inf
3,0.43999997,64,889.6,10668.8,11859.2,1216,inf,27660.8,inf,inf
3,0.48,64,915.2,11692.8,11968,1190.4,inf,26118.4,inf,inf
3,0.52,64,928,10528,11980.8,1216,inf,25932.8,inf,inf
3,0.56,64,928,10873.6,10649.6,1177.6,inf,22867.2,inf,inf
3,0.6,64,934.4,11846.4,10220.8,1222.4,inf,24793.6,inf,inf
3,0.64,64,838.4,11308.8,10508.8,1196.8,inf,24396.8,inf,inf
3,0.68,64,889.6,9964.8,10585.6,1196.8,inf,24179.2,inf,inf
3,0.72,64,915.2,10016,10412.8,1164.8,inf,22771.2,inf,inf
3,0.76,64,934.4,10585.6,10636.8,1216,inf,22137.6,inf,inf
3,0.8,64,908.8,10022.4,10163.2,1184,inf,21510.4,inf,inf
3,0.84,64,896,10009.6,10336,1196.8,inf,22982.4,inf,inf
3,0.88,64,896,10208,10758.4,1158.4,inf,22265.6,inf,inf
3,0.92,64,928,10406.4,9664,1171.2,inf,22451.2,inf,inf
3,0.96,64,889.6,9920,10137.6,1177.6,inf,23372.8,inf,inf
3,1,64,908.8,9734.4,8876.8,1203.2,inf,21920,inf,inf
4,0.04,64,1004.8,21683.2,19859.2,1408,inf,inf,inf,inf
4,0.08,64,947.2,16787.2,17440,1337.6,inf,inf,inf,inf
4,0.12,64,1004.8,16198.4,15731.2,1382.4,inf,39334.4,inf,inf
4,0.16,64,953.6,14579.2,14451.2,1273.6,inf,39404.8,inf,inf
4,0.19999999,64,934.4,13868.8,14080,1273.6,inf,35065.6,inf,inf
4,0.23999998,64,915.2,12460.8,13312,1241.6,inf,32032,inf,inf
