cr,f,popsize,forest,hilly,mean,mad
0.08,0.32,64,85184,135622.4,110403.2,25219.203
0.12,0.32,64,87264,141241.6,114252.8,26988.797
0.04,0.28,64,81196.8,162387.2,121792,40595.203
0.16,0.32,64,91513.6,155494.4,123504,31990.402
0.08,0.35999998,64,100147.2,157612.8,128880,28732.797
0.19999999,0.32,64,96659.2,162880,129769.6,33110.4
0.04,0.32,64,89344,174988.8,132166.4,42822.4
0.04,0.35999998,64,99020.8,184364.8,141692.8,42672
0.12,0.35999998,64,107878.4,178809.6,143344,35465.598
0.08,0.39999998,64,117017.6,191622.4,154320,37302.402
0.04,0.39999998,64,110995.2,211737.6,161366.4,50371.195
0.12,0.39999998,64,131097.6,217625.6,174361.6,43264
0.04,0.43999997,64,123200,231430.4,177315.2,54115.203
0.19999999,0.35999998,64,124000,232678.4,178339.2,54339.203
0.08,0.43999997,64,137164.8,221401.6,179283.19,42118.4
0.24,0.35999998,64,138553.6,248563.2,193558.4,55004.805
0.04,0.48,64,135238.4,252243.2,193740.81,58502.4
0.16,0.39999998,64,148006.4,268025.6,208016,60009.594
0.12,0.43999997,64,162374.4,263296,212835.2,50460.797
0.08,0.48,64,158886.4,269875.2,214380.8,55494.39
0.04,0.52,64,149024,285945.6,217484.8,68460.8
0.19999999,0.39999998,64,165888,292025.6,228956.8,63068.797
0.04,0.56,64,164134.4,308121.6,236128,71993.59
0.32,0.35999998,64,160838.4,313996.8,237417.61,76579.2
0.08,0.52,64,186918.4,313331.2,250124.8,63206.39
0.04,0.6,64,181100.8,334566.4,257833.6,76732.805
0.16,0.43999997,64,190316.8,338688,264502.4,74185.6
0.12,0.48,64,201273.6,340595.2,270934.38,69660.8
0.04,0.64,64,196928,367750.4,282339.2,85411.2
0.08,0.56,64,217984,354528,286256,68272
0.24,0.39999998,64,190291.2,383366.4,286828.8,96537.6
0.04,0.68,64,216723.2,382579.2,299651.2,82927.99
0.04,0.72,64,237190.4,397491.2,317340.8,80150.39
0.12,0.52,64,243417.6,400608,322012.8,78595.2
0.08,0.6,64,251046.4,395270.4,323158.4,72112
0.19999999,0.43999997,64,237945.6,413427.2,325686.38,87740.8
0.04,0.76,64,256044.8,430214.4,343129.6,87084.805
0.16,0.48,64,250758.4,442304,346531.2,95772.8
0.08,0.64,64,286259.2,438092.8,362176,75916.81
0.04,0.8,64,275532.8,451641.6,363587.2,88054.39
0.04,0.84,64,292236.8,471430.4,381833.63,89596.8
0,0.04,64,128864,inf,inf,inf
0,0.08,64,147347.2,inf,inf,inf
0,0.12,64,164064,inf,inf,inf
0,0.16,64,184556.8,inf,inf,inf
0,0.19999999,64,207616,inf,inf,inf
0,0.23999998,64,218764.8,inf,inf,inf
0,0.28,64,229587.2,inf,inf,inf
0,0.32,64,239648,inf,inf,inf
0,0.35999998,64,249561.6,inf,inf,inf
0,0.39999998,64,258195.2,inf,inf,inf
0,0.43999997,64,275187.2,inf,inf,inf
0,0.48,64,288691.2,inf,inf,inf
0,0.52,64,312620.8,inf,inf,inf
0,0.56,64,313388.8,inf,inf,inf
0,0.6,64,321376,inf,inf,inf
0,0.64,64,316236.8,inf,inf,inf
0,0.68,64,341312,inf,inf,inf
0,0.72,64,354073.6,inf,inf,inf
0,0.76,64,373433.6,inf,inf,inf
0,0.8,64,382534.4,inf,inf,inf
0,0.84,64,385580.8,inf,inf,inf
0,0.88,64,386412.8,inf,inf,inf
0,0.92,64,396051.2,inf,inf,inf
0,0.96,64,384185.6,inf,inf,inf
0.04,0.04,64,inf,inf,inf,inf
0.04,0.08,64,47827.2,inf,inf,inf
0.04,0.12,64,52243.2,inf,inf,inf
0.04,0.16,64,58720,inf,inf,inf
0.04,0.19999999,64,65145.6,inf,inf,inf
0.04,0.23999998,64,72672,inf,inf,inf
0.04,0.88,64,308697.6,inf,inf,inf
0.04,0.92,64,328352,inf,inf,inf
0.04,0.96,64,340153.6,inf,inf,inf
0.08,0.04,64,inf,inf,inf,inf
0.08,0.08,64,41203.2,inf,inf,inf
0.08,0.12,64,inf,inf,inf,inf
0.08,0.16,64,50873.6,inf,inf,inf
0.08,0.19999999,64,56268.8,inf,inf,inf
0.08,0.23999998,64,64921.6,inf,inf,inf
0.08,0.28,64,75468.8,inf,inf,inf
0.08,0.68,64,323328,inf,inf,inf
0.08,0.72,64,375897.6,inf,inf,inf
0.08,0.76,64,432243.2,inf,inf,inf
0.08,0.8,64,469190.4,inf,inf,inf
0.08,0.84,64,inf,inf,inf,inf
0.08,0.88,64,inf,inf,inf,inf
0.08,0.92,64,inf,inf,inf,inf
0.08,0.96,64,inf,inf,inf,inf
0.12,0.04,64,inf,inf,inf,inf
0.12,0.08,64,inf,inf,inf,inf
0.12,0.12,64,inf,inf,inf,inf
0.12,0.16,64,inf,inf,inf,inf
0.12,0.19999999,64,inf,inf,inf,inf
0.12,0.23999998,64,62284.8,inf,inf,inf
0.12,0.28,64,72467.2,inf,inf,inf
0.12,0.56,64,304044.8,inf,inf,inf
0.12,0.6,64,371993.6,inf,inf,inf
0.12,0.64,64,437888,inf,inf,inf
0.12,0.68,64,inf,inf,inf,inf
0.12,0.72,64,inf,inf,inf,inf
0.12,0.76,64,inf,inf,inf,inf
0.12,0.8,64,inf,inf,inf,inf
0.12,0.84,64,inf,inf,inf,inf
0.12,0.88,64,inf,inf,inf,inf
0.12,0.92,64,inf,inf,inf,inf
0.12,0.96,64,inf,inf,inf,inf
0.16,0.04,64,inf,inf,inf,inf
0.16,0.08,64,inf,inf,inf,inf
0.16,0.12,64,inf,inf,inf,inf
0.16,0.16,64,inf,inf,inf,inf
0.16,0.19999999,64,inf,inf,inf,inf
0.16,0.23999998,64,62860.8,inf,inf,inf
0.16,0.28,64,73926.4,inf,inf,inf
0.16,0.35999998,64,116268.8,inf,inf,inf
0.16,0.52,64,321388.8,inf,inf,inf
0.16,0.56,64,403622.4,inf,inf,inf
0.16,0.6,64,inf,inf,inf,inf
0.16,0.64,64,inf,inf,inf,inf
0.16,0.68,64,inf,inf,inf,inf
0.16,0.72,64,inf,inf,inf,inf
0.16,0.76,64,inf,inf,inf,inf
0.16,0.8,64,inf,inf,inf,inf
0.16,0.84,64,inf,inf,inf,inf
0.16,0.88,64,inf,inf,inf,inf
0.16,0.92,64,inf,inf,inf,inf
0.16,0.96,64,inf,inf,inf,inf
0.19999999,0.04,64,inf,inf,inf,inf
0.19999999,0.08,64,inf,inf,inf,inf
0.19999999,0.12,64,inf,inf,inf,inf
0.19999999,0.16,64,inf,inf,inf,inf
