popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.04,0.12,3072,6726.4,7110.4,4339.2,10073.6,12204.8,7254.4,2589.8665
64,0.12,0.12,3136,7072,7027.2,4403.2,10124.8,11820.8,7264,2472.5332
64,0,0.12,3148.8,6956.8,7027.2,4332.8,10214.4,12006.4,7281.067,2552.889
64,0.08,0.12,3084.8,7091.2,7020.8,4300.8,10252.8,12064,7302.4004,2570.6667
64,0.16,0.12,3264,7212.8,7232,4499.2,10022.4,12000,7371.733,2426.3113
64,0.24,0.12,3436.8,7200,7392,4665.6,10252.8,11923.2,7478.4,2406.4001
64,0.19999999,0.12,3225.6,7232,7257.6,4608,10329.6,12224,7479.4663,2531.5554
64,0,0.16,3520,7155.2,7289.6,4748.8,10233.6,12083.2,7505.067,2435.5557
64,0.28,0.12,3494.4,7308.8,7398.4,4742.4,10208,12275.2,7571.1997,2446.9333
64,0.08,0.16,3686.4,7270.4,7289.6,4768,10457.6,12012.8,7580.8003,2436.2666
64,0.04,0.16,3744,7276.8,7238.4,4812.8,10470.4,12019.2,7593.5996,2434.1333
64,0.12,0.16,3622.4,7232,7360,4921.6,10336,12294.4,7627.733,2458.3113
64,0.32,0.12,3532.8,7494.4,7353.6,4902.4,10361.6,12153.6,7633.0664,2416.3555
64,0.16,0.16,3808,7385.6,7532.8,5088,10489.6,12307.2,7768.533,2419.911
64,0.19999999,0.16,3788.8,7328,7539.2,5056,10656,12384,7792,2485.3333
64,0.35999998,0.12,3654.4,7667.2,7667.2,5011.2,10572.8,12473.6,7841.0664,2454.7551
64,0.24,0.16,3884.8,7609.6,7545.6,5312,10668.8,12473.6,7915.733,2436.9775
64,0.28,0.16,3936,7686.4,7692.8,5254.4,10732.8,12774.4,8012.7993,2493.8665
64,0.39999998,0.12,3865.6,7897.6,7852.8,5088,10835.2,12659.2,8033.0664,2476.0889
64,0.32,0.16,4051.2,7718.4,7859.2,5523.2,10976,12793.6,8153.6,2487.4668
64,0.44,0.12,3872,8057.6,7968,5299.2,11020.8,12736,8158.9336,2479.6445
64,0.24,0.08,3027.2,7699.2,7712,4364.8,11571.2,15078.4,8242.133,3388.4443
64,0.35999998,0.08,3161.6,7840,7968,4665.6,11251.2,14604.8,8248.533,3119.6445
64,0.28,0.08,3020.8,7660.8,7763.2,4518.4,11584,15059.2,8267.733,3369.2449
64,0.35999998,0.16,4070.4,7942.4,7987.2,5753.6,11174.4,12787.2,8285.866,2463.2888
64,0.48,0.12,3910.4,8134.4,8256,5523.2,11187.2,12883.2,8315.733,2479.6445
64,0.32,0.08,3142.4,7878.4,7846.4,4608,11686.4,15443.2,8434.134,3420.4446
64,0.44,0.08,3372.8,8313.6,8422.4,5043.2,11564.8,13932.8,8441.601,2871.4668
64,0.39999998,0.16,4332.8,8076.8,8140.8,5721.6,11308.8,13100.8,8446.933,2505.2441
64,0.39999998,0.08,3251.2,8198.4,8217.6,4864,11648,14572.8,8458.667,3101.1555
64,0.52,0.12,3910.4,8454.4,8422.4,5715.2,11392,13056,8491.733,2488.1775
64,0,0.19999999,4032,8134.4,7891.2,5510.4,11680,13888,8522.667,2840.889
64,0.48,0.08,3462.4,8620.8,8512,5081.6,11622.4,14080,8563.2,2877.8665
64,0.44,0.16,4281.6,8256,8268.8,5856,11609.6,13433.6,8617.601,2602.6667
64,0.04,0.19999999,4281.6,8160,8140.8,5625.6,11705.6,14112,8670.933,2825.2441
64,0.08,0.19999999,4480,8217.6,8083.2,5792,11801.6,13990.4,8727.466,2779.0222
64,0.48,0.16,4320,8537.6,8480,6003.2,11577.6,13740.8,8776.533,2588.4443
64,0.56,0.12,4140.8,8716.8,8665.6,5804.8,11731.2,13600,8776.533,2592.7112
64,0.52,0.08,3577.6,8697.6,8659.2,5235.2,11756.8,14771.2,8782.933,2987.3777
64,0.12,0.19999999,4416,8256,8134.4,5875.2,11936,14342.4,8826.667,2875.0225
64,0.16,0.19999999,4601.6,8262.4,8320,5971.2,11948.8,14342.4,8907.733,2825.2441
64,0.56,0.08,3712,8870.4,8979.2,5497.6,12089.6,14451.2,8933.333,2906.6667
64,0.19999999,0.19999999,4384,8371.2,8422.4,6048,12115.2,14572.8,8985.601,2905.6003
64,0.59999996,0.12,4153.6,8985.6,8953.6,5900.8,12339.2,14105.6,9073.066,2766.222
64,0.52,0.16,4544,8825.6,8921.6,6380.8,12102.4,14041.6,9136,2624.0002
64,0.24,0.19999999,4748.8,8556.8,8512,6112,12345.6,14611.2,9147.733,2887.1113
64,0.28,0.19999999,4678.4,8582.4,8601.6,6368,12544,14854.4,9271.466,2951.822
64,0.59999996,0.08,3820.8,9107.2,9382.4,5702.4,12665.6,15040,9286.399,3076.2666
64,0.56,0.16,4780.8,8998.4,9126.4,6444.8,12473.6,14265.6,9348.267,2680.8887
64,0.32,0.19999999,4742.4,8761.6,8787.2,6585.6,12614.4,15123.2,9435.733,2955.378
64,0.64,0.12,4377.6,9324.8,9600,6374.4,12492.8,14528,9449.601,2757.3333
64,0.64,0.08,3993.6,9510.4,9676.8,6003.2,12627.2,14937.6,9458.133,2973.1555
64,0.35999998,0.19999999,4947.2,8934.4,8947.2,6675.2,12870.4,15065.6,9573.333,2929.7773
64,0.59999996,0.16,4940.8,9401.6,9305.6,6739.2,12800,14688,9645.866,2732.0889
64,0.39999998,0.19999999,5139.2,9081.6,9113.6,6713.6,12902.4,15328,9713.066,2934.7556
64,0.68,0.12,4601.6,9772.8,9977.6,6803.2,13139.2,15161.6,9909.333,2850.1335
64,0.68,0.08,4128,9932.8,9958.4,6329.6,13401.6,15859.2,9934.933,3138.1335
64,0.44,0.19999999,5241.6,9331.2,9356.8,7200,13222.4,15699.2,10008.533,2968.1777
64,0.64,0.16,4966.4,9849.6,9785.6,7033.6,13369.6,15360,10060.8,2869.3333
64,0.48,0.19999999,5356.8,9568,9388.8,7187.2,13382.4,15820.8,10117.334,2989.5115
64,0.52,0.19999999,5260.8,9721.6,9792,7475.2,13824,16064,10356.267,3058.489
64,0.71999997,0.12,4966.4,10425.6,10400,7008,13740.8,15788.8,10388.267,2934.0442
64,0.68,0.16,5440,10105.6,10201.6,7283.2,13632,15782.4,10407.466,2866.489
64,0.71999997,0.08,4403.2,10572.8,10336,6662.4,14054.4,16460.8,10414.934,3281.0667
64,0.56,0.19999999,5580.8,9798.4,9856,7846.4,14028.8,16364.8,10579.2,3078.4001
64,0,0.23999998,5299.2,9792,9817.6,6982.4,14886.4,18636.8,10902.4,3906.1338
64,0.59999996,0.19999999,5702.4,10182.4,10220.8,8096,14316.8,16960,10913.067,3150.2227
64,0.71999997,0.16,5568,10758.4,10611.2,7884.8,14380.8,16652.8,10976,3027.2
64,0.76,0.12,5100.8,10995.2,11238.4,7507.2,14720,16550.4,11018.667,3150.9336
64,0.76,0.08,4736,11187.2,11276.8,7148.8,14700.8,17203.2,11042.133,3399.8223
64,0.04,0.23999998,5715.2,9708.8,9753.6,7628.8,15014.4,18841.6,11110.399,3878.3997
64,0.08,0.23999998,5472,9939.2,9798.4,7744,15155.2,19072,11196.8,3944.5332
64,0.12,0.23999998,5580.8,10022.4,9958.4,7558.4,15347.2,18963.2,11238.399,3944.5332
64,0.64,0.19999999,6054.4,10624,10604.8,8089.6,14835.2,17523.2,11288.534,3260.4446
64,0.16,0.23999998,5958.4,10060.8,10060.8,8064,15257.6,19168,11428.267,3856.3555
64,0.76,0.16,5830.4,11251.2,11360,8416,15091.2,17331.2,11546.667,3109.6887
64,0.19999999,0.23999998,5875.2,10131.2,10220.8,8019.2,15481.6,19724.8,11575.466,4018.4885
64,0.68,0.19999999,6246.4,10937.6,11001.6,8518.4,15379.2,17984,11677.867,3335.8223
64,0.28,0.23999998,6412.8,10348.8,10278.4,8128,15846.4,19763.2,11796.266,4005.6885
64,0.24,0.23999998,6092.8,10444.8,10387.2,8467.2,15852.8,19814.4,11843.2,3993.6003
64,0.79999995,0.12,5612.8,11865.6,12006.4,8128,15795.2,17856,11877.333,3341.867
64,0.79999995,0.08,4979.2,12083.2,12352,7750.4,15891.2,18265.6,11886.934,3681.4219
64,0.32,0.23999998,6425.6,10528,10457.6,8992,16089.6,20147.2,12106.667,4007.8223
64,0.35999998,0.23999998,6361.6,10880,10515.2,8435.2,16620.8,20268.8,12180.267,4176.356
64,0.71999997,0.19999999,6476.8,11545.6,11385.6,8985.6,16051.2,18860.8,12217.599,3492.2666
64,0.39999998,0.23999998,6720,10860.8,10816,8832,16262.4,20544,12339.2,4042.6667
64,0.79999995,0.16,6105.6,12160,12243.2,8832,16262.4,18790.4,12398.934,3418.3113
64,0.44,0.23999998,6828.8,11065.6,10976,8915.2,16774.4,20793.6,12558.934,4150.0444
64,0.71999997,0.04,4172.8,12025.6,12025.6,6400,16480,25222.4,12721.066,5420.089
64,0.76,0.19999999,6572.8,12172.8,12275.2,9344,16800,19552,12786.133,3593.2441
