popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.04,0.32,81779.2,81779.2,0
64,0.08,0.32,82310.4,82310.4,0
64,0.16,0.32,82604.8,82604.8,0
64,0.59999996,0.64,85971.2,85971.2,0
64,0.28,0.35999998,87462.4,87462.4,0
64,0.35999998,0.39999998,88556.8,88556.8,0
64,0.39999998,0.43999997,88774.4,88774.4,0
64,0.24,0.39999998,89004.8,89004.8,0
64,0.12,0.35999998,89318.4,89318.4,0
64,0.32,0.39999998,91148.8,91148.8,0
64,0.59999996,0.68,93088,93088,0
64,0.64,0.72,93734.4,93734.4,0
64,0.24,0.35999998,95462.4,95462.4,0
64,0.16,0.35999998,97081.6,97081.6,0
64,0.08,0.35999998,99852.8,99852.8,0
64,0.48,0.52,100134.4,100134.4,0
64,0.56,0.6,103238.4,103238.4,0
64,0.35999998,0.43999997,115635.2,115635.2,0
64,0.44,0.48,115776,115776,0
64,0.28,0.39999998,118912,118912,0
64,0.19999999,0.39999998,119052.8,119052.8,0
64,0.32,0.43999997,119884.8,119884.8,0
64,0.52,0.56,120166.4,120166.4,0
64,0.59999996,0.72,122508.8,122508.8,0
64,0.04,0.35999998,123385.6,123385.6,0
64,0.56,0.68,127648,127648,0
64,0.39999998,0.48,129222.4,129222.4,0
64,0.56,0.64,130092.8,130092.8,0
64,0,0.39999998,131923.2,131923.2,0
64,0.12,0.39999998,136544,136544,0
64,0.04,0.39999998,138048,138048,0
64,0,0.35999998,138572.8,138572.8,0
64,0.59999996,0.76,139142.4,139142.4,0
64,0.28,0.43999997,141683.2,141683.2,0
64,0.44,0.52,145120,145120,0
64,0.08,0.39999998,148390.4,148390.4,0
64,0.16,0.39999998,151916.8,151916.8,0
64,0.48,0.56,155417.6,155417.6,0
64,0.24,0.43999997,169331.2,169331.2,0
64,0.52,0.64,170137.6,170137.6,0
64,0.52,0.6,182022.4,182022.4,0
64,0.56,0.72,185516.8,185516.8,0
64,0.48,0.6,186841.6,186841.6,0
64,0.16,0.43999997,189081.6,189081.6,0
64,0.59999996,0.8,199712,199712,0
64,0.35999998,0.48,201452.8,201452.8,0
64,0.19999999,0.43999997,212185.6,212185.6,0
64,0.44,0.56,212608,212608,0
64,0.52,0.68,220454.4,220454.4,0
64,0.12,0.43999997,226995.2,226995.2,0
64,0,0.43999997,233299.2,233299.2,0
64,0.04,0.43999997,249574.4,249574.4,0
64,0.48,0.64,258809.6,258809.6,0
64,0.59999996,0.84,292844.8,292844.8,0
64,0.16,0.48,317312,317312,0
64,0,0.04,inf,inf,inf
64,0,0.48,inf,inf,inf
64,0,0.52,inf,inf,inf
64,0,0.56,inf,inf,inf
64,0,0.6,inf,inf,inf
64,0,0.64,inf,inf,inf
64,0,0.68,inf,inf,inf
64,0,0.72,inf,inf,inf
64,0,0.76,inf,inf,inf
64,0,0.8,inf,inf,inf
64,0,0.84,inf,inf,inf
64,0,0.88,inf,inf,inf
64,0,0.92,inf,inf,inf
64,0,0.96,inf,inf,inf
64,0.04,0.04,inf,inf,inf
64,0.04,0.48,inf,inf,inf
64,0.04,0.52,inf,inf,inf
64,0.04,0.56,inf,inf,inf
64,0.04,0.6,inf,inf,inf
64,0.04,0.64,inf,inf,inf
64,0.04,0.68,inf,inf,inf
64,0.04,0.72,inf,inf,inf
64,0.04,0.76,inf,inf,inf
64,0.04,0.8,inf,inf,inf
64,0.04,0.84,inf,inf,inf
64,0.04,0.88,inf,inf,inf
64,0.04,0.92,inf,inf,inf
64,0.04,0.96,inf,inf,inf
64,0.08,0.04,inf,inf,inf
