popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.08,0.12,2457.6,5209.6,5312,3360,7545.6,8672,5426.1333,1788.4443
64,0.04,0.12,2457.6,5331.2,5273.6,3456,7462.4,8729.6,5451.7334,1762.8444
64,0.12,0.12,2419.2,5305.6,5356.8,3392,7513.6,8742.4,5454.933,1782.0446
64,0.16,0.12,2464,5273.6,5344,3411.2,7494.4,8742.4,5454.933,1775.6445
64,0,0.12,2457.6,5337.6,5331.2,3456,7417.6,8748.8,5458.1333,1750.0443
64,0.19999999,0.12,2489.6,5465.6,5344,3436.8,7603.2,8940.8,5546.6665,1816.8888
64,0.24,0.12,2528,5465.6,5529.6,3520,7641.6,9062.4,5624.533,1818.3112
64,0.28,0.12,2470.4,5548.8,5459.2,3475.2,7609.6,9216,5629.8667,1855.2891
64,0.04,0.16,2758.4,5472,5561.6,3718.4,7577.6,9049.6,5689.6,1749.3334
64,0.12,0.16,2784,5542.4,5465.6,3667.2,7692.8,8998.4,5691.733,1769.2443
64,0.08,0.16,2643.2,5446.4,5593.6,3692.8,7756.8,9049.6,5697.0664,1804.0887
64,0,0.16,2732.8,5548.8,5491.2,3705.6,7833.6,8928,5706.6665,1782.7555
64,0.32,0.12,2515.2,5619.2,5504,3488,7910.4,9350.4,5731.2007,1932.8002
64,0.16,0.16,2739.2,5548.8,5536,3756.8,7827.2,9017.6,5737.6,1789.8667
64,0.35999998,0.12,2496,5580.8,5670.4,3475.2,8096,9478.4,5799.4663,1991.8223
64,0.24,0.16,2790.4,5689.6,5740.8,3712,7833.6,9203.2,5828.267,1793.4225
64,0.19999999,0.16,2784,5651.2,5600,3820.8,7980.8,9190.4,5837.867,1831.8224
64,0,0.08,2233.6,5542.4,5472,3155.2,8121.6,10822.4,5891.1997,2387.2
64,0.12,0.08,2240,5632,5625.6,3193.6,7846.4,10816,5892.267,2292.6223
64,0.28,0.16,2828.8,5721.6,5638.4,3737.6,8025.6,9414.4,5894.4,1883.7334
