init_jump,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.25,21198.5,24131,24132.3,17433.1,21626.8,21399.9,21653.6,1652.0332
0.2,21895.9,24199.2,24141.1,17692.4,22328.5,22075.6,22055.451,1507.5326
0.15,23694.9,25371.9,25295.2,18972.3,23660.4,23997,23498.615,1508.7731
0.1,24306,25603.5,25505.4,19131,24761.3,24558,23977.533,1615.5114
0.01,28626.2,28965.7,28931.6,22646.8,29297.3,28868.7,27889.383,1747.5277
0.001,31855,32514.5,32503.8,28992.2,32718,32620.9,31867.4,962.5335
0.0001,31666.4,35279,35226.5,31223.6,35280.3,35304,33996.633,1701.0892
0.00001,32853,38648.9,38669.2,33996.1,37892.7,37661.3,36620.2,2130.4329
0.00000001,inf,inf,inf,inf,inf,inf,inf,inf
0.0000001,inf,inf,inf,inf,inf,inf,inf,inf
0.000001,34658.4,inf,inf,35509.8,inf,inf,inf,inf
0.3,19861.4,inf,inf,16722.9,20214.9,inf,inf,inf
0.35000002,18756,inf,inf,16125.9,18756,inf,inf,inf
0.4,17607.4,inf,inf,15639.6,inf,inf,inf,inf
0.45000002,16296.6,inf,inf,14733.1,inf,inf,inf,inf
0.5,15436.5,inf,inf,14526.6,inf,inf,inf,inf
0.55,13953.1,inf,inf,13915.9,inf,inf,inf,inf
0.6,12514.2,inf,inf,13357.8,inf,inf,inf,inf
0.65,11164,inf,inf,12852.2,inf,inf,inf,inf
0.70000005,inf,inf,inf,12390.4,inf,inf,inf,inf
0.75,inf,inf,inf,inf,inf,inf,inf,inf
0.8000001,inf,inf,inf,inf,inf,inf,inf,inf
0.85,inf,inf,inf,inf,inf,inf,inf,inf
0.9,inf,inf,inf,inf,inf,inf,inf,inf
0.95000005,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf
