popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.16,0.16,6444.8,12179.2,12262.4,8070.4,18739.2,22400,13349.333,4813.511
64,0.00000001,0.12,0.16,6150.4,12224,12217.6,7993.6,18771.2,22764.8,13353.601,4942.9336
64,0.00000001,0.08,0.16,6246.4,12352,12192,7884.8,18976,22668.8,13386.667,4957.156
64,0.00000001,0,0.16,5670.4,12198.4,12108.8,7558.4,19545.6,23424,13417.601,5378.1333
64,0.00000001,0.39999998,0.12,5932.8,12320,12595.2,7916.8,19084.8,23161.6,13501.867,5080.889
64,0.00000001,0.19999999,0.16,6566.4,12499.2,12326.4,8358.4,18963.2,22304,13502.933,4753.7773
64,0.00000001,0.24,0.16,6630.4,12595.2,12313.6,8486.4,18707.2,22368,13516.8,4680.533
64,0.00000001,0.35999998,0.12,5785.6,12480,12185.6,7660.8,19212.8,23776,13516.8,5318.4004
64,0.00000001,0.04,0.16,6028.8,12096,12236.8,7808,19283.2,23705.6,13526.399,5311.9995
64,0.00000001,0.28,0.12,5478.4,12371.2,12076.8,7385.6,18995.2,25292.8,13600,5696
64,0.00000001,0.28,0.16,6969.6,12588.8,12512,8729.6,18924.8,22003.2,13621.333,4561.778
64,0.00000001,0.32,0.12,5702.4,12588.8,12217.6,7507.2,19577.6,24780.8,13729.067,5633.4224
64,0.00000001,0.32,0.16,6969.6,12748.8,12710.4,8748.8,18988.8,22662.4,13804.801,4680.5337
64,0.00000001,0.44,0.12,6112,12595.2,12825.6,8224,19526.4,23782.4,13844.266,5206.7554
64,0.00000001,0.24,0.12,5497.6,12115.2,12422.4,7251.2,19923.2,25945.6,13859.2,6050.133
64,0.00000001,0.35999998,0.16,6854.4,12934.4,12761.6,9004.8,19219.2,22707.2,13913.599,4699.733
64,0.00000001,0.48,0.12,6457.6,12947.2,13209.6,8332.8,19123.2,23545.6,13936,4932.2666
64,0.00000001,0.52,0.12,6592,13273.6,13267.2,8761.6,19392,22707.2,13998.933,4700.444
64,0.00000001,0.19999999,0.12,5254.4,12089.6,12032,7091.2,20614.4,27353.6,14072.534,6607.645
64,0.00000001,0.39999998,0.16,7276.8,13132.8,13158.4,9120,19168,22758.4,14102.399,4573.8667
64,0.00000001,0.16,0.12,5376,12243.2,12256,6956.8,20185.6,27961.6,14163.2,6606.933
64,0.00000001,0.56,0.12,6745.6,13510.4,13548.8,8972.8,19769.6,23232,14296.534,4802.844
64,0.00000001,0.44,0.16,7456,13465.6,13529.6,9632,19616,22809.6,14418.133,4529.778
64,0.00000001,0.48,0.16,7296,13734.4,13715.2,9926.4,19756.8,23180.8,14601.601,4578.1333
64,0.00000001,0.59999996,0.12,6912,13977.6,14022.4,9497.6,19929.6,23571.2,14651.734,4732.445
64,0.00000001,0.12,0.12,5152,11948.8,11980.8,6860.8,20768,31929.6,14773.333,7716.978
64,0.00000001,0.52,0.16,7705.6,13907.2,13913.6,10208,20140.8,23520,14899.2,4620.8003
