cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.04,0.43999997,64,45177.6,inf,inf,inf,inf,inf,inf,inf
0.04,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.04,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.04,64,10828.8,29644.8,29401.6,17113.6,39084.8,inf,inf,inf
0.08,0.19999999,64,15257.6,31148.8,31008,24192,42816,inf,inf,inf
0.08,0.23999998,64,17932.8,34796.8,34502.4,28582.4,inf,inf,inf,inf
0.08,0.28,64,21516.8,39910.4,39923.2,35840,inf,inf,inf,inf
0.08,0.32,64,26860.8,47232,47302.4,45894.4,inf,inf,inf,inf
0.08,0.35999998,64,34969.6,inf,inf,inf,inf,inf,inf,inf
0.08,0.39999998,64,45356.8,inf,inf,inf,inf,inf,inf,inf
0.08,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.08,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.04,64,9081.6,26649.6,26355.2,14105.6,37216,inf,inf,inf
0.12,0.23999998,64,17510.4,31206.4,31136,27046.4,45676.8,inf,inf,inf
0.12,0.28,64,21740.8,37548.8,37305.6,35955.2,inf,inf,inf,inf
0.12,0.32,64,28665.6,46924.8,46758.4,inf,inf,inf,inf,inf
0.12,0.35999998,64,41772.8,inf,inf,inf,inf,inf,inf,inf
0.12,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.12,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.04,64,8012.8,26054.4,26848,12460.8,39257.6,inf,inf,inf
0.16,0.23999998,64,16588.8,29254.4,29401.6,25971.2,43430.4,inf,inf,inf
0.16,0.28,64,22393.6,36851.2,36691.2,36569.6,inf,inf,inf,inf
0.16,0.32,64,31596.8,48000,48281.6,inf,inf,inf,inf,inf
0.16,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.16,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.04,64,7392,inf,inf,11360,inf,inf,inf,inf
0.19999999,0.23999998,64,16659.2,28416,28505.6,25785.6,42636.8,inf,inf,inf
0.19999999,0.28,64,23110.4,36396.8,36384,37196.8,inf,inf,inf,inf
0.19999999,0.32,64,33792,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.19999999,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
