cr,f,popsize,forest,hilly,mean,mad
0.28,0.6,64,227635.2,308179.2,267907.2,40271.992
0.32,0.56,64,224531.2,312864,268697.6,44166.4
0.19999999,0.72,64,246739.2,302227.2,274483.2,27743.992
0.16,0.84,64,262380.8,313299.2,287840,25459.188
0.39999998,0.52,64,232371.2,356332.8,294352,61980.805
0.24,0.68,64,268300.8,330976,299638.4,31337.594
0.52,0.48,64,244761.6,368396.8,306579.2,61817.61
0.19999999,0.76,64,284729.6,333216,308972.8,24243.203
0.16,0.88,64,285420.8,335142.4,310281.63,24860.797
0.35999998,0.56,64,263193.6,375097.6,319145.6,55952
0.28,0.64,64,287129.6,357440,322284.8,35155.203
0.56,0.48,64,259187.2,387750.4,323468.8,64281.6
0.32,0.6,64,289728,362656,326192,36464
0.16,0.92,64,305209.6,348435.2,326822.38,21612.797
0.19999999,0.8,64,321094.4,376236.8,348665.63,27571.203
0.16,0.96,64,331366.4,366848,349107.2,17740.797
0.24,0.72,64,328601.6,373286.4,350944,22342.406
0.19999999,0.84,64,359993.6,398112,379052.8,19059.203
0.28,0.68,64,344704,414208,379456,34752
0.32,0.64,64,346732.8,430579.2,388656,41923.188
0.24,0.76,64,386060.8,425478.4,405769.63,19708.797
0.19999999,0.88,64,389472,426624,408048,18576
0,0.04,64,inf,inf,inf,inf
0,0.08,64,68275.2,inf,inf,inf
0,0.12,64,79628.8,inf,inf,inf
0,0.16,64,90150.4,inf,inf,inf
0,0.19999999,64,95852.8,inf,inf,inf
0,0.23999998,64,104185.6,inf,inf,inf
0,0.28,64,108409.6,inf,inf,inf
0,0.32,64,112160,inf,inf,inf
0,0.35999998,64,121139.2,inf,inf,inf
0,0.39999998,64,127961.6,inf,inf,inf
0,0.43999997,64,133952,inf,inf,inf
0,0.48,64,137344,inf,inf,inf
0,0.52,64,147718.4,inf,inf,inf
0,0.56,64,150304,inf,inf,inf
0,0.6,64,155712,inf,inf,inf
0,0.64,64,156275.2,inf,inf,inf
0,0.68,64,159980.8,inf,inf,inf
0,0.72,64,171142.4,inf,inf,inf
0,0.76,64,172243.2,inf,inf,inf
0,0.8,64,179008,inf,inf,inf
0,0.84,64,181932.8,inf,inf,inf
0,0.88,64,186156.8,inf,inf,inf
0,0.92,64,186694.4,inf,inf,inf
0,0.96,64,187904,inf,inf,inf
0.04,0.04,64,inf,inf,inf,inf
0.04,0.08,64,inf,inf,inf,inf
0.04,0.12,64,32544,inf,inf,inf
0.04,0.16,64,35520,inf,inf,inf
0.04,0.19999999,64,38828.8,inf,inf,inf
0.04,0.23999998,64,inf,130816,inf,inf
0.04,0.28,64,45792,inf,inf,inf
0.08,0.04,64,inf,inf,inf,inf
0.08,0.08,64,inf,inf,inf,inf
0.08,0.12,64,inf,inf,inf,inf
0.08,0.16,64,29280,inf,inf,inf
0.08,0.19999999,64,inf,inf,inf,inf
0.08,0.23999998,64,36153.6,inf,inf,inf
0.08,0.28,64,40672,inf,inf,inf
0.08,0.32,64,45068.8,inf,inf,inf
0.08,0.35999998,64,49395.2,inf,inf,inf
0.12,0.04,64,inf,inf,inf,inf
0.12,0.08,64,inf,inf,inf,inf
0.12,0.12,64,inf,inf,inf,inf
0.12,0.16,64,inf,inf,inf,inf
0.12,0.23999998,64,34400,inf,inf,inf
0.12,0.28,64,inf,58988.8,inf,inf
0.12,0.32,64,43366.4,inf,inf,inf
0.16,0.04,64,inf,inf,inf,inf
0.16,0.08,64,inf,inf,inf,inf
0.16,0.12,64,21472,inf,inf,inf
0.16,0.16,64,inf,inf,inf,inf
0.16,0.19999999,64,27968,inf,inf,inf
0.16,0.23999998,64,inf,inf,inf,inf
0.16,0.28,64,37318.4,inf,inf,inf
0.16,0.32,64,43859.2,inf,inf,inf
0.16,0.35999998,64,51974.4,inf,inf,inf
0.19999999,0.04,64,inf,inf,inf,inf
0.19999999,0.08,64,inf,inf,inf,inf
0.19999999,0.12,64,inf,inf,inf,inf
0.19999999,0.16,64,inf,inf,inf,inf
0.19999999,0.19999999,64,26336,inf,inf,inf
0.19999999,0.23999998,64,inf,inf,inf,inf
0.19999999,0.28,64,inf,54374.4,inf,inf
0.19999999,0.32,64,44032,inf,inf,inf
0.19999999,0.92,64,441779.2,inf,inf,inf
0.19999999,0.96,64,inf,inf,inf,inf
0.24,0.04,64,inf,inf,inf,inf
0.24,0.08,64,inf,inf,inf,inf
0.24,0.12,64,inf,inf,inf,inf
0.24,0.16,64,inf,inf,inf,inf
0.24,0.19999999,64,26899.2,inf,inf,inf
0.24,0.23999998,64,30809.6,inf,inf,inf
0.24,0.28,64,36499.2,inf,inf,inf
0.24,0.8,64,443148.8,inf,inf,inf
0.24,0.84,64,inf,inf,inf,inf
0.24,0.88,64,inf,inf,inf,inf
0.24,0.92,64,inf,inf,inf,inf
0.24,0.96,64,inf,inf,inf,inf
0.28,0.04,64,inf,inf,inf,inf
0.28,0.08,64,inf,inf,inf,inf
0.28,0.12,64,inf,inf,inf,inf
0.28,0.16,64,inf,inf,inf,inf
0.28,0.19999999,64,inf,inf,inf,inf
0.28,0.23999998,64,inf,inf,inf,inf
0.28,0.28,64,inf,inf,inf,inf
0.28,0.32,64,inf,70905.6,inf,inf
0.28,0.35999998,64,56640,inf,inf,inf
0.28,0.43999997,64,90112,inf,inf,inf
0.28,0.72,64,414220.8,inf,inf,inf
0.28,0.76,64,inf,inf,inf,inf
0.28,0.8,64,inf,inf,inf,inf
0.28,0.84,64,inf,inf,inf,inf
0.28,0.88,64,inf,inf,inf,inf
0.28,0.92,64,inf,inf,inf,inf
0.28,0.96,64,inf,inf,inf,inf
0.32,0.04,64,inf,inf,inf,inf
0.32,0.08,64,inf,inf,inf,inf
0.32,0.12,64,inf,inf,inf,inf
0.32,0.16,64,inf,inf,inf,inf
0.32,0.19999999,64,inf,inf,inf,inf
0.32,0.23999998,64,inf,inf,inf,inf
0.32,0.28,64,inf,inf,inf,inf
0.32,0.32,64,inf,inf,inf,inf
0.32,0.35999998,64,61952,inf,inf,inf
0.32,0.68,64,440883.2,inf,inf,inf
0.32,0.72,64,inf,inf,inf,inf
0.32,0.76,64,inf,inf,inf,inf
0.32,0.8,64,inf,inf,inf,inf
0.32,0.84,64,inf,inf,inf,inf
0.32,0.88,64,inf,inf,inf,inf
0.32,0.92,64,inf,inf,inf,inf
0.32,0.96,64,inf,inf,inf,inf
0.35999998,0.04,64,inf,inf,inf,inf
0.35999998,0.08,64,inf,inf,inf,inf
0.35999998,0.12,64,inf,inf,inf,inf
0.35999998,0.16,64,inf,inf,inf,inf
0.35999998,0.19999999,64,inf,inf,inf,inf
0.35999998,0.23999998,64,inf,inf,inf,inf
0.35999998,0.28,64,inf,inf,inf,inf
0.35999998,0.32,64,48710.4,inf,inf,inf
0.35999998,0.35999998,64,inf,inf,inf,inf
0.35999998,0.6,64,353830.4,inf,inf,inf
0.35999998,0.64,64,452556.8,inf,inf,inf
0.35999998,0.68,64,inf,inf,inf,inf
0.35999998,0.72,64,inf,inf,inf,inf
0.35999998,0.76,64,inf,inf,inf,inf
0.35999998,0.8,64,inf,inf,inf,inf
0.35999998,0.84,64,inf,inf,inf,inf
0.35999998,0.88,64,inf,inf,inf,inf
0.35999998,0.92,64,inf,inf,inf,inf
0.35999998,0.96,64,inf,inf,inf,inf
0.39999998,0.04,64,inf,inf,inf,inf
0.39999998,0.08,64,inf,inf,inf,inf
0.39999998,0.12,64,inf,inf,inf,inf
0.39999998,0.16,64,inf,inf,inf,inf
0.39999998,0.19999999,64,inf,inf,inf,inf
0.39999998,0.23999998,64,inf,inf,inf,inf
