cr,f,popsize,megacity,mean,mad
0,0.8,64,inf,inf,inf
0,0.84,64,inf,inf,inf
0,0.88,64,inf,inf,inf
0,0.92,64,inf,inf,inf
0,0.96,64,inf,inf,inf
0.04,0.04,64,inf,inf,inf
0.04,0.08,64,inf,inf,inf
0.04,0.12,64,inf,inf,inf
0.04,0.16,64,inf,inf,inf
0.04,0.19999999,64,inf,inf,inf
0.04,0.23999998,64,inf,inf,inf
0.04,0.28,64,inf,inf,inf
0.04,0.32,64,inf,inf,inf
0.04,0.35999998,64,inf,inf,inf
0.04,0.39999998,64,inf,inf,inf
0.04,0.48,64,inf,inf,inf
0.04,0.52,64,inf,inf,inf
0.04,0.56,64,inf,inf,inf
0.04,0.64,64,inf,inf,inf
0.04,0.68,64,inf,inf,inf
0.04,0.72,64,inf,inf,inf
0.04,0.76,64,inf,inf,inf
0.04,0.8,64,inf,inf,inf
0.04,0.84,64,inf,inf,inf
0.04,0.88,64,inf,inf,inf
0.04,0.92,64,inf,inf,inf
0.04,0.96,64,inf,inf,inf
0.08,0.04,64,inf,inf,inf
0.08,0.08,64,inf,inf,inf
0.08,0.12,64,inf,inf,inf
0.08,0.16,64,inf,inf,inf
0.08,0.19999999,64,inf,inf,inf
0.08,0.23999998,64,inf,inf,inf
0.08,0.28,64,inf,inf,inf
0.08,0.32,64,inf,inf,inf
0.08,0.35999998,64,inf,inf,inf
0.08,0.39999998,64,inf,inf,inf
0.08,0.43999997,64,inf,inf,inf
0.08,0.48,64,inf,inf,inf
0.08,0.52,64,inf,inf,inf
0.08,0.56,64,inf,inf,inf
0.08,0.64,64,inf,inf,inf
0.08,0.68,64,inf,inf,inf
0.08,0.72,64,inf,inf,inf
0.08,0.76,64,inf,inf,inf
0.08,0.8,64,inf,inf,inf
0.08,0.84,64,inf,inf,inf
0.08,0.88,64,inf,inf,inf
0.08,0.92,64,inf,inf,inf
0.08,0.96,64,inf,inf,inf
0.12,0.04,64,inf,inf,inf
0.12,0.08,64,inf,inf,inf
0.12,0.12,64,inf,inf,inf
0.12,0.16,64,inf,inf,inf
0.12,0.19999999,64,inf,inf,inf
0.12,0.23999998,64,inf,inf,inf
0.12,0.28,64,inf,inf,inf
0.12,0.32,64,inf,inf,inf
0.12,0.35999998,64,inf,inf,inf
0.12,0.39999998,64,inf,inf,inf
0.12,0.43999997,64,inf,inf,inf
0.12,0.48,64,inf,inf,inf
0.12,0.52,64,inf,inf,inf
0.12,0.64,64,inf,inf,inf
0.12,0.68,64,inf,inf,inf
0.12,0.72,64,inf,inf,inf
0.12,0.76,64,inf,inf,inf
0.12,0.8,64,inf,inf,inf
0.12,0.84,64,inf,inf,inf
0.12,0.88,64,inf,inf,inf
0.12,0.92,64,inf,inf,inf
0.12,0.96,64,inf,inf,inf
0.16,0.04,64,inf,inf,inf
0.16,0.08,64,inf,inf,inf
0.16,0.12,64,inf,inf,inf
0.16,0.16,64,inf,inf,inf
0.16,0.19999999,64,inf,inf,inf
0.16,0.23999998,64,inf,inf,inf
0.16,0.28,64,inf,inf,inf
0.16,0.32,64,inf,inf,inf
0.16,0.35999998,64,inf,inf,inf
0.16,0.39999998,64,inf,inf,inf
0.16,0.43999997,64,inf,inf,inf
0.16,0.48,64,inf,inf,inf
0.16,0.52,64,inf,inf,inf
0.16,0.56,64,inf,inf,inf
0.16,0.6,64,inf,inf,inf
0.16,0.64,64,inf,inf,inf
0.16,0.68,64,inf,inf,inf
0.16,0.72,64,inf,inf,inf
0.16,0.76,64,inf,inf,inf
0.16,0.8,64,inf,inf,inf
0.16,0.84,64,inf,inf,inf
0.16,0.88,64,inf,inf,inf
0.16,0.92,64,inf,inf,inf
0.16,0.96,64,inf,inf,inf
0.19999999,0.04,64,inf,inf,inf
0.19999999,0.08,64,inf,inf,inf
0.19999999,0.12,64,inf,inf,inf
0.19999999,0.16,64,inf,inf,inf
0.19999999,0.19999999,64,inf,inf,inf
0.19999999,0.23999998,64,inf,inf,inf
0.19999999,0.28,64,inf,inf,inf
0.19999999,0.32,64,inf,inf,inf
0.19999999,0.35999998,64,inf,inf,inf
0.19999999,0.39999998,64,inf,inf,inf
0.19999999,0.43999997,64,inf,inf,inf
0.19999999,0.48,64,inf,inf,inf
0.19999999,0.52,64,inf,inf,inf
0.19999999,0.56,64,inf,inf,inf
0.19999999,0.6,64,inf,inf,inf
0.19999999,0.64,64,inf,inf,inf
0.19999999,0.68,64,inf,inf,inf
0.19999999,0.72,64,inf,inf,inf
0.19999999,0.76,64,inf,inf,inf
0.19999999,0.8,64,inf,inf,inf
0.19999999,0.84,64,inf,inf,inf
0.19999999,0.88,64,inf,inf,inf
0.19999999,0.92,64,inf,inf,inf
0.19999999,0.96,64,inf,inf,inf
0.24,0.04,64,inf,inf,inf
0.24,0.08,64,inf,inf,inf
0.24,0.12,64,inf,inf,inf
0.24,0.16,64,inf,inf,inf
0.24,0.19999999,64,inf,inf,inf
0.24,0.23999998,64,inf,inf,inf
0.24,0.28,64,inf,inf,inf
0.24,0.32,64,inf,inf,inf
0.24,0.35999998,64,inf,inf,inf
0.24,0.39999998,64,inf,inf,inf
0.24,0.43999997,64,inf,inf,inf
0.24,0.48,64,inf,inf,inf
0.24,0.52,64,inf,inf,inf
0.24,0.56,64,inf,inf,inf
0.24,0.68,64,inf,inf,inf
