h,p_best_rate,popsize,shubert,mean,mad
12,0.12,64,98540.8,98540.8,0
1,0.64,64,99251.2,99251.2,0
17,0.08,64,99308.8,99308.8,0
14,0.04,64,99417.6,99417.6,0
21,0.12,64,99564.8,99564.8,0
18,0.04,64,99667.2,99667.2,0
2,0.08,64,99795.2,99795.2,0
15,0.04,64,99833.6,99833.6,0
6,0.08,64,99852.8,99852.8,0
11,0.16,64,99955.2,99955.2,0
10,0.64,64,100083.2,100083.2,0
13,0.04,64,100134.4,100134.4,0
18,0.28,64,100198.4,100198.4,0
22,0.08,64,100256,100256,0
6,0.12,64,100275.2,100275.2,0
3,0.08,64,100352,100352,0
17,0.23999998,64,100435.2,100435.2,0
22,0.12,64,100512,100512,0
8,0.12,64,100531.2,100531.2,0
4,0.04,64,100544,100544,0
1,0.04,64,100832,100832,0
7,0.12,64,100832,100832,0
3,0.32,64,100851.2,100851.2,0
18,0.08,64,100864,100864,0
15,0.12,64,100876.8,100876.8,0
18,0.19999999,64,100883.2,100883.2,0
9,0.08,64,101004.8,101004.8,0
11,0.12,64,101017.6,101017.6,0
10,0.6,64,101024,101024,0
11,0.04,64,101024,101024,0
14,0.16,64,101043.2,101043.2,0
18,0.6,64,101056,101056,0
5,0.04,64,101075.2,101075.2,0
9,0.23999998,64,101081.6,101081.6,0
10,0.16,64,101081.6,101081.6,0
12,0.19999999,64,101088,101088,0
6,0.32,64,101094.4,101094.4,0
12,0.35999998,64,101164.8,101164.8,0
8,0.08,64,101184,101184,0
11,0.08,64,101190.4,101190.4,0
8,0.84,64,101209.6,101209.6,0
7,0.04,64,101228.8,101228.8,0
14,0.68,64,101254.4,101254.4,0
4,0.19999999,64,101273.6,101273.6,0
5,0.12,64,101292.8,101292.8,0
11,0.28,64,101324.8,101324.8,0
20,0.32,64,101324.8,101324.8,0
19,0.19999999,64,101350.4,101350.4,0
15,0.08,64,101382.4,101382.4,0
22,0.04,64,101427.2,101427.2,0
7,0.08,64,101433.6,101433.6,0
4,0.08,64,101446.4,101446.4,0
12,0.04,64,101459.2,101459.2,0
17,0.04,64,101465.6,101465.6,0
12,0.08,64,101472,101472,0
14,0.23999998,64,101478.4,101478.4,0
24,0.28,64,101568,101568,0
21,0.16,64,101587.2,101587.2,0
14,0.08,64,101625.6,101625.6,0
18,0.23999998,64,101632,101632,0
18,0.39999998,64,101632,101632,0
21,0.04,64,101689.6,101689.6,0
13,0.19999999,64,101715.2,101715.2,0
7,0.16,64,101728,101728,0
1,0.23999998,64,101766.4,101766.4,0
6,0.04,64,101766.4,101766.4,0
6,0.16,64,101766.4,101766.4,0
13,0.12,64,101792,101792,0
15,0.16,64,101798.4,101798.4,0
8,0.16,64,101817.6,101817.6,0
16,0.56,64,101824,101824,0
8,0.88,64,101830.4,101830.4,0
9,0.04,64,101836.8,101836.8,0
16,0.16,64,101836.8,101836.8,0
12,0.56,64,101881.6,101881.6,0
13,0.6,64,101888,101888,0
9,0.12,64,101894.4,101894.4,0
20,0.04,64,101900.8,101900.8,0
16,0.23999998,64,101920,101920,0
2,0.16,64,101939.2,101939.2,0
13,0.28,64,101939.2,101939.2,0
16,0.35999998,64,101945.6,101945.6,0
2,0.68,64,101958.4,101958.4,0
21,0.72,64,102028.8,102028.8,0
3,0.68,64,102048,102048,0
9,0.16,64,102048,102048,0
14,0.12,64,102105.6,102105.6,0
7,0.88,64,102150.4,102150.4,0
15,0.68,64,102150.4,102150.4,0
13,0.23999998,64,102163.2,102163.2,0
6,0.19999999,64,102182.4,102182.4,0
24,0.08,64,102182.4,102182.4,0
21,0.6,64,102208,102208,0
10,0.96,64,102220.8,102220.8,0
21,0.23999998,64,102220.8,102220.8,0
23,0.12,64,102272,102272,0
24,0.04,64,102272,102272,0
11,0.92,64,102284.8,102284.8,0
8,0.68,64,102291.2,102291.2,0
24,0.16,64,102297.6,102297.6,0
9,0.35999998,64,102304,102304,0
19,0.8,64,102355.2,102355.2,0
17,0.16,64,102361.6,102361.6,0
4,0.72,64,102380.8,102380.8,0
11,0.32,64,102380.8,102380.8,0
20,0.19999999,64,102393.6,102393.6,0
24,0.96,64,102419.2,102419.2,0
3,0.28,64,102451.2,102451.2,0
24,0.23999998,64,102476.8,102476.8,0
23,0.64,64,102489.6,102489.6,0
21,0.64,64,102515.2,102515.2,0
16,0.96,64,102528,102528,0
21,0.43999997,64,102566.4,102566.4,0
5,0.28,64,102572.8,102572.8,0
10,0.12,64,102592,102592,0
15,0.76,64,102624,102624,0
5,0.35999998,64,102643.2,102643.2,0
10,0.23999998,64,102649.6,102649.6,0
22,0.43999997,64,102668.8,102668.8,0
4,0.16,64,102688,102688,0
13,0.16,64,102688,102688,0
8,0.72,64,102700.8,102700.8,0
19,0.28,64,102739.2,102739.2,0
21,0.39999998,64,102739.2,102739.2,0
21,0.35999998,64,102752,102752,0
6,0.23999998,64,102764.8,102764.8,0
5,0.8,64,102784,102784,0
10,0.39999998,64,102854.4,102854.4,0
14,0.28,64,102860.8,102860.8,0
19,0.08,64,102892.8,102892.8,0
17,0.12,64,102899.2,102899.2,0
17,0.32,64,102899.2,102899.2,0
