popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.91999996,0.12,36972.8,36972.8,0
64,0.00000001,0.24,0.08,37824,37824,0
64,0.00000001,0.71999997,0.04,38489.6,38489.6,0
64,0.00000001,0.79999995,0.04,39334.4,39334.4,0
64,0.00000001,0.35999998,0.08,39398.4,39398.4,0
64,0.00000001,0.56,0.04,39449.6,39449.6,0
64,0.00000001,0.96,0.19999999,39884.8,39884.8,0
64,0.00000001,0.16,0.12,40204.8,40204.8,0
64,0.00000001,0.32,0.08,41612.8,41612.8,0
64,0.00000001,0.88,0.08,43539.2,43539.2,0
64,0.00000001,0.24,0.12,43635.2,43635.2,0
64,0.00000001,0.91999996,0.16,44403.2,44403.2,0
64,0.00000001,0.96,0.23999998,45081.6,45081.6,0
64,0.00000001,0.12,0.16,45228.8,45228.8,0
64,0.00000001,0.68,0.04,45427.2,45427.2,0
64,0.00000001,0.64,0.04,46528,46528,0
64,0.00000001,0.19999999,0.12,47347.2,47347.2,0
64,0.00000001,0.08,0.16,48691.2,48691.2,0
64,0.00000001,0,0.19999999,48812.8,48812.8,0
64,0.00000001,0.08,0.19999999,48838.4,48838.4,0
64,0.00000001,0.04,0.19999999,49772.8,49772.8,0
64,0.00000001,0.96,0.28,49804.8,49804.8,0
64,0.00000001,0.96,0.32,51776,51776,0
64,0.00000001,0.96,0.35999998,54950.4,54950.4,0
64,0.00000001,0.91999996,0.19999999,55200,55200,0
64,0.00000001,0.84,0.08,56684.8,56684.8,0
64,0.00000001,0.16,0.16,58131.2,58131.2,0
64,0.00000001,0.28,0.12,58380.8,58380.8,0
64,0.00000001,0.88,0.12,60544,60544,0
64,0.00000001,0.32,0.12,61632,61632,0
64,0.00000001,0.91999996,0.23999998,62144,62144,0
64,0.00000001,0.96,0.39999998,64179.2,64179.2,0
64,0.00000001,0,0.23999998,64467.2,64467.2,0
64,0.00000001,0.96,0.43999997,65612.8,65612.8,0
64,0.00000001,0.04,0.23999998,65920,65920,0
64,0.00000001,0.48,0.08,66060.8,66060.8,0
64,0.00000001,0.12,0.19999999,66112,66112,0
64,0.00000001,0.96,0.48,69708.8,69708.8,0
