neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.5,64,2,0.00000001,0.4,0.2,691.2,3027.2,3078.4,1587.2,5625.6,5676.8,3281.0664,1580.0889
0.5,64,4,0.00000001,0.4,0.2,691.2,3027.2,3078.4,1587.2,5625.6,5676.8,3281.0664,1580.0889
0.5,64,6,0.00000001,0.4,0.2,691.2,3027.2,3078.4,1587.2,5625.6,5676.8,3281.0664,1580.0889
0.5,64,8,0.00000001,0.4,0.2,691.2,3027.2,3078.4,1587.2,5625.6,5676.8,3281.0664,1580.0889
0.5,64,2,0.00000001,0.6,0.2,857.6,3302.4,3212.8,1747.2,5286.4,5728,3355.7334,1434.3112
0.5,64,4,0.00000001,0.6,0.2,857.6,3302.4,3212.8,1747.2,5286.4,5728,3355.7334,1434.3112
0.5,64,6,0.00000001,0.6,0.2,857.6,3302.4,3212.8,1747.2,5286.4,5728,3355.7334,1434.3112
0.5,64,8,0.00000001,0.6,0.2,857.6,3302.4,3212.8,1747.2,5286.4,5728,3355.7334,1434.3112
0.5,64,2,0.00000001,0.2,0.2,627.2,3289.6,3385.6,1395.2,6374.4,6636.8,3618.1335,1924.9777
0.5,64,4,0.00000001,0.2,0.2,627.2,3289.6,3385.6,1395.2,6374.4,6636.8,3618.1335,1924.9777
0.5,64,6,0.00000001,0.2,0.2,627.2,3289.6,3385.6,1395.2,6374.4,6636.8,3618.1335,1924.9777
0.5,64,8,0.00000001,0.2,0.2,627.2,3289.6,3385.6,1395.2,6374.4,6636.8,3618.1335,1924.9777
0.5,64,2,0.00000001,0.8,0.2,992,3878.4,3904,2028.8,6073.6,6425.6,3883.7334,1584
0.5,64,4,0.00000001,0.8,0.2,992,3878.4,3904,2028.8,6073.6,6425.6,3883.7334,1584
0.5,64,6,0.00000001,0.8,0.2,992,3878.4,3904,2028.8,6073.6,6425.6,3883.7334,1584
0.5,64,8,0.00000001,0.8,0.2,992,3878.4,3904,2028.8,6073.6,6425.6,3883.7334,1584
0.75,64,2,0.00000001,0.6,0.2,729.6,3968,3840,1830.4,7168,7392,4154.6665,2083.5557
0.75,64,4,0.00000001,0.6,0.2,729.6,3968,3840,1830.4,7168,7392,4154.6665,2083.5557
0.75,64,6,0.00000001,0.6,0.2,729.6,3968,3840,1830.4,7168,7392,4154.6665,2083.5557
0.75,64,8,0.00000001,0.6,0.2,729.6,3968,3840,1830.4,7168,7392,4154.6665,2083.5557
0.75,64,2,0.00000001,0.8,0.2,1068.8,4435.2,4262.4,2137.6,7072,7660.8,4439.467,1951.289
0.75,64,4,0.00000001,0.8,0.2,1068.8,4435.2,4262.4,2137.6,7072,7660.8,4439.467,1951.289
0.75,64,6,0.00000001,0.8,0.2,1068.8,4435.2,4262.4,2137.6,7072,7660.8,4439.467,1951.289
0.75,64,8,0.00000001,0.8,0.2,1068.8,4435.2,4262.4,2137.6,7072,7660.8,4439.467,1951.289
0.75,64,2,0.00000001,0.4,0.2,716.8,3840,3846.4,1952,8172.8,8160,4448,2478.9333
0.75,64,4,0.00000001,0.4,0.2,716.8,3840,3846.4,1952,8172.8,8160,4448,2478.9333
0.75,64,6,0.00000001,0.4,0.2,716.8,3840,3846.4,1952,8172.8,8160,4448,2478.9333
0.75,64,8,0.00000001,0.4,0.2,716.8,3840,3846.4,1952,8172.8,8160,4448,2478.9333
0.5,64,2,0.00000001,0,0.2,755.2,4172.8,4166.4,1580.8,7948.8,9312,4656,2649.5999
0.5,64,4,0.00000001,0,0.2,755.2,4172.8,4166.4,1580.8,7948.8,9312,4656,2649.5999
0.5,64,6,0.00000001,0,0.2,755.2,4172.8,4166.4,1580.8,7948.8,9312,4656,2649.5999
0.5,64,8,0.00000001,0,0.2,755.2,4172.8,4166.4,1580.8,7948.8,9312,4656,2649.5999
1,64,2,0.00000001,0.8,0.2,1088,4889.6,4832,2457.6,8659.2,9126.4,5175.4663,2478.222
1,64,4,0.00000001,0.8,0.2,1088,4889.6,4832,2457.6,8659.2,9126.4,5175.4663,2478.222
1,64,6,0.00000001,0.8,0.2,1088,4889.6,4832,2457.6,8659.2,9126.4,5175.4663,2478.222
1,64,8,0.00000001,0.8,0.2,1088,4889.6,4832,2457.6,8659.2,9126.4,5175.4663,2478.222
0.75,64,2,0.00000001,0.2,0.2,812.8,4486.4,4262.4,1913.6,9766.4,10073.6,5219.1997,3133.867
0.75,64,4,0.00000001,0.2,0.2,812.8,4486.4,4262.4,1913.6,9766.4,10073.6,5219.1997,3133.867
0.75,64,6,0.00000001,0.2,0.2,812.8,4486.4,4262.4,1913.6,9766.4,10073.6,5219.1997,3133.867
0.75,64,8,0.00000001,0.2,0.2,812.8,4486.4,4262.4,1913.6,9766.4,10073.6,5219.1997,3133.867
1,64,2,0.00000001,0.6,0.2,896,4684.8,4646.4,2220.8,9753.6,9900.8,5350.4,2984.5332
1,64,4,0.00000001,0.6,0.2,896,4684.8,4646.4,2220.8,9753.6,9900.8,5350.4,2984.5332
1,64,6,0.00000001,0.6,0.2,896,4684.8,4646.4,2220.8,9753.6,9900.8,5350.4,2984.5332
1,64,8,0.00000001,0.6,0.2,896,4684.8,4646.4,2220.8,9753.6,9900.8,5350.4,2984.5332
1.125,64,2,0.00000001,0.8,0.2,1126.4,5395.2,5241.6,2656,9638.4,10259.2,5719.467,2819.5557
1.125,64,4,0.00000001,0.8,0.2,1126.4,5395.2,5241.6,2656,9638.4,10259.2,5719.467,2819.5557
1.125,64,6,0.00000001,0.8,0.2,1126.4,5395.2,5241.6,2656,9638.4,10259.2,5719.467,2819.5557
1.125,64,8,0.00000001,0.8,0.2,1126.4,5395.2,5241.6,2656,9638.4,10259.2,5719.467,2819.5557
1.125,64,2,0.00000001,0.6,0.2,1068.8,5337.6,5401.6,2201.6,11072,11308.8,6065.0664,3416.8887
1.125,64,4,0.00000001,0.6,0.2,1068.8,5337.6,5401.6,2201.6,11072,11308.8,6065.0664,3416.8887
1.125,64,6,0.00000001,0.6,0.2,1068.8,5337.6,5401.6,2201.6,11072,11308.8,6065.0664,3416.8887
1.125,64,8,0.00000001,0.6,0.2,1068.8,5337.6,5401.6,2201.6,11072,11308.8,6065.0664,3416.8887
1,64,2,0.00000001,0.4,0.2,825.6,5120,5542.4,2304,11699.2,12160,6275.1997,3769.5999
1,64,4,0.00000001,0.4,0.2,825.6,5120,5542.4,2304,11699.2,12160,6275.1997,3769.5999
1,64,6,0.00000001,0.4,0.2,825.6,5120,5542.4,2304,11699.2,12160,6275.1997,3769.5999
1,64,8,0.00000001,0.4,0.2,825.6,5120,5542.4,2304,11699.2,12160,6275.1997,3769.5999
0.75,64,2,0.00000001,0,0.2,716.8,5696,5747.2,2003.2,11872,13011.2,6507.733,3955.9111
0.75,64,4,0.00000001,0,0.2,716.8,5696,5747.2,2003.2,11872,13011.2,6507.733,3955.9111
0.75,64,6,0.00000001,0,0.2,716.8,5696,5747.2,2003.2,11872,13011.2,6507.733,3955.9111
0.75,64,8,0.00000001,0,0.2,716.8,5696,5747.2,2003.2,11872,13011.2,6507.733,3955.9111
1.5,64,2,0.00000001,0.8,0.2,1248,6572.8,6489.6,2803.2,12281.6,13318.4,7118.9336,3787.378
