h,p_best_rate,popsize,forest,hilly,mean,mad
24,0.08,64,86464,293529.6,189996.8,103532.8
19,0.04,64,84800,295545.6,190172.8,105372.8
15,0.08,64,85651.2,295392,190521.6,104870.4
10,0.04,64,87891.2,294444.8,191168,103276.805
21,0.12,64,84697.6,297638.4,191168,106470.41
23,0.08,64,83257.6,304889.6,194073.6,110816
4,0.04,64,86086.4,308435.2,197260.8,111174.39
8,0.08,64,86041.6,319680,202860.8,116819.2
22,0.16,64,87731.2,320051.2,203891.19,116159.99
13,0.04,64,86777.6,322848,204812.8,118035.2
20,0.16,64,87116.8,331974.4,209545.6,122428.805
19,0.12,64,87436.8,336096,211766.4,124329.6
18,0.12,64,86771.2,344985.6,215878.4,129107.195
9,0.08,64,87705.6,345984,216844.8,129139.2
17,0.12,64,84256,350739.2,217497.6,133241.6
10,0.12,64,86201.6,356268.8,221235.2,135033.6
16,0.16,64,88153.6,357235.2,222694.39,134540.78
13,0.08,64,86688,363219.2,224953.6,138265.6
13,0.19999999,64,88704,362016,225360,136656
23,0.12,64,87443.2,378387.2,232915.19,145472
8,0.19999999,64,90278.4,376320,233299.2,143020.81
11,0.19999999,64,89715.2,387788.8,238752,149036.81
23,0.19999999,64,89004.8,389088,239046.4,150041.6
9,0.19999999,64,89260.8,390739.2,240000,150739.19
14,0.12,64,84819.2,399667.2,242243.19,157424
1,0.04,64,86816,inf,inf,inf
1,0.08,64,86553.6,inf,inf,inf
1,0.12,64,86860.8,inf,inf,inf
1,0.16,64,87788.8,inf,inf,inf
1,0.19999999,64,89683.2,inf,inf,inf
1,0.23999998,64,86374.4,inf,inf,inf
1,0.28,64,91104,inf,inf,inf
1,0.32,64,89363.2,inf,inf,inf
1,0.35999998,64,89011.2,inf,inf,inf
1,0.39999998,64,91500.8,inf,inf,inf
1,0.43999997,64,90016,inf,inf,inf
1,0.48,64,87865.6,inf,inf,inf
1,0.52,64,91692.8,inf,inf,inf
1,0.56,64,92179.2,inf,inf,inf
1,0.6,64,90777.6,inf,inf,inf
1,0.64,64,91987.2,inf,inf,inf
1,0.68,64,93420.8,inf,inf,inf
1,0.72,64,93587.2,inf,inf,inf
1,0.76,64,90489.6,inf,inf,inf
1,0.8,64,93324.8,inf,inf,inf
1,0.84,64,95564.8,inf,inf,inf
1,0.88,64,95475.2,inf,inf,inf
1,0.92,64,96524.8,inf,inf,inf
1,0.96,64,94124.8,inf,inf,inf
1,1,64,94374.4,inf,inf,inf
2,0.04,64,inf,inf,inf,inf
2,0.08,64,90316.8,inf,inf,inf
2,0.12,64,86707.2,inf,inf,inf
2,0.16,64,87532.8,inf,inf,inf
2,0.19999999,64,90067.2,inf,inf,inf
2,0.23999998,64,88320,inf,inf,inf
2,0.28,64,87961.6,inf,inf,inf
2,0.32,64,90592,inf,inf,inf
2,0.35999998,64,88032,inf,inf,inf
2,0.39999998,64,87225.6,inf,inf,inf
2,0.43999997,64,90828.8,inf,inf,inf
2,0.48,64,90150.4,inf,inf,inf
2,0.52,64,90662.4,inf,inf,inf
2,0.56,64,93254.4,inf,inf,inf
2,0.6,64,91884.8,inf,inf,inf
2,0.64,64,90124.8,inf,inf,inf
2,0.68,64,93996.8,inf,inf,inf
2,0.72,64,93126.4,inf,inf,inf
2,0.76,64,91513.6,inf,inf,inf
2,0.8,64,94796.8,inf,inf,inf
2,0.84,64,93760,inf,inf,inf
2,0.88,64,96467.2,inf,inf,inf
2,0.92,64,95404.8,inf,inf,inf
2,0.96,64,98227.2,inf,inf,inf
2,1,64,96064,inf,inf,inf
