h,p_best_rate,popsize,megacity,mean,mad
22,0.32,64,111500.8,111500.8,0
20,0.32,64,120614.4,120614.4,0
12,0.32,64,121216,121216,0
16,0.6,64,124428.8,124428.8,0
9,0.28,64,128729.6,128729.6,0
22,0.52,64,129932.8,129932.8,0
8,0.23999998,64,130348.8,130348.8,0
24,0.72,64,130918.4,130918.4,0
24,0.48,64,132044.8,132044.8,0
14,0.32,64,132608,132608,0
4,0.32,64,133862.4,133862.4,0
14,0.56,64,134355.2,134355.2,0
21,0.52,64,136076.8,136076.8,0
17,0.56,64,137120,137120,0
15,0.35999998,64,137433.6,137433.6,0
18,0.6,64,137676.8,137676.8,0
17,0.43999997,64,138009.6,138009.6,0
17,0.35999998,64,138483.2,138483.2,0
24,0.43999997,64,138534.4,138534.4,0
18,0.72,64,139123.2,139123.2,0
12,0.39999998,64,139200,139200,0
23,0.52,64,139443.2,139443.2,0
22,0.68,64,139916.8,139916.8,0
4,0.28,64,140038.4,140038.4,0
6,0.39999998,64,140761.6,140761.6,0
17,0.52,64,141568,141568,0
20,0.68,64,143756.8,143756.8,0
19,0.56,64,144921.6,144921.6,0
13,0.56,64,147456,147456,0
11,0.56,64,148614.4,148614.4,0
8,0.43999997,64,148838.4,148838.4,0
3,0.32,64,149235.2,149235.2,0
3,0.52,64,149888,149888,0
22,0.96,64,150137.6,150137.6,0
13,0.64,64,150412.8,150412.8,0
21,0.72,64,151513.6,151513.6,0
18,0.64,64,153324.8,153324.8,0
18,0.8,64,153708.8,153708.8,0
3,0.56,64,153753.6,153753.6,0
9,0.52,64,154099.2,154099.2,0
10,0.64,64,154726.4,154726.4,0
17,0.8,64,155321.6,155321.6,0
19,0.72,64,155616,155616,0
5,0.52,64,156633.6,156633.6,0
14,0.76,64,158310.4,158310.4,0
23,0.8,64,158508.8,158508.8,0
17,0.84,64,158892.8,158892.8,0
10,0.72,64,159603.2,159603.2,0
4,0.6,64,161523.2,161523.2,0
20,0.8,64,161715.2,161715.2,0
16,0.76,64,162233.6,162233.6,0
12,0.84,64,162259.2,162259.2,0
7,0.64,64,162585.6,162585.6,0
21,0.88,64,162604.8,162604.8,0
15,0.64,64,162662.4,162662.4,0
13,0.72,64,162668.8,162668.8,0
7,0.6,64,162841.6,162841.6,0
5,0.6,64,163059.2,163059.2,0
8,0.64,64,163481.6,163481.6,0
4,0.56,64,164627.2,164627.2,0
20,0.92,64,166470.4,166470.4,0
21,0.92,64,166937.6,166937.6,0
15,1,64,167840,167840,0
14,1,64,167942.4,167942.4,0
5,0.72,64,168108.8,168108.8,0
16,0.8,64,168339.2,168339.2,0
