init_jump,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.25,2730.5,2979.9,3019.4,2155.7,2697.1,2751,2722.2666,197.24443
0.2,2824.9,3033,3018.3,2190.9,2806.7,2840.4,2785.7,198.26668
0.15,3047.5,3187.3,3205.4,2348.7,2977.2,3073.7,2973.2998,208.20012
0.1,3099.9,3210.6,3218.1,2388,3102,3131.2,3024.9666,212.32231
0.01,3616.8,3568.6,3598.2,2747.1,3684.1,3640.2,3475.8333,242.91118
0.001,4064.3,3984.3,4023.7,3540.4,4099.4,4104.6,3969.45,143.01672
0.0001,4283.9,4326,4353.4,3849.9,4425.3,4446.5,4280.8335,143.64429
0.00001,4267.8,4775.7,4816.4,4208.6,4916.4,4877,4643.65,270.30005
0.00000001,inf,inf,inf,inf,inf,inf,inf,inf
0.0000001,inf,inf,inf,4488.1,inf,inf,inf,inf
0.000001,4410.2,5188.5,5232.9,4495.3,inf,5096,inf,inf
0.3,2557.5,inf,inf,2085.5,2534.2,inf,inf,inf
0.35000002,2404.7,inf,inf,2015.7,inf,inf,inf,inf
0.4,2257.3,inf,inf,1963.5,inf,inf,inf,inf
0.45000002,2119.3,inf,inf,1856.2,inf,inf,inf,inf
0.5,1981.1,inf,inf,1801.4,inf,inf,inf,inf
0.55,1804.4,inf,inf,1736.8,inf,inf,inf,inf
0.6,1638.8,inf,inf,1687,inf,inf,inf,inf
0.65,1433.5,inf,inf,1596.4,inf,inf,inf,inf
0.70000005,inf,inf,inf,1541.9,inf,inf,inf,inf
0.75,inf,inf,inf,inf,inf,inf,inf,inf
0.8000001,inf,inf,inf,inf,inf,inf,inf,inf
0.85,inf,inf,inf,inf,inf,inf,inf,inf
0.9,inf,inf,inf,inf,inf,inf,inf,inf
0.95000005,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf
