init_jump,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.25,5302.2,5878.9,5988.1,4317,5412.4,5342.5,5373.5166,386.2833
0.2,5501.3,5957.1,6060.7,4392.3,5584.2,5532.9,5504.75,371.9668
0.15,5986.8,6302.1,6394.6,4741.5,5927.3,6048,5900.0503,386.1831
0.1,6153.3,6381.5,6420.5,4805.7,6217.8,6208,6031.1333,408.4777
0.01,7189.8,7175.1,7192.3,5542.1,7361.6,7246.7,6951.266,469.72256
0.001,8070.9,8035.3,8069.4,7162.2,8193.7,8177,7951.4165,263.07227
0.0001,8317.3,8699.8,8744.7,7742.6,8850.3,8865.4,8536.684,337.82217
0.00001,8249,9607.1,9654,8468.1,9786,9704,9244.7,590.7666
0.00000001,inf,inf,inf,inf,inf,inf,inf,inf
0.0000001,inf,inf,inf,inf,inf,inf,inf,inf
0.000001,8688.7,10361.8,10367.6,9046.8,inf,inf,inf,inf
0.3,4985.9,inf,inf,4161.2,5056.8,inf,inf,inf
0.35000002,4698.1,inf,inf,4021.1,inf,inf,inf,inf
0.4,4427.1,inf,inf,3934.1,inf,inf,inf,inf
0.45000002,4133.9,inf,inf,3693.7,inf,inf,inf,inf
0.5,3900.1,inf,inf,3593,inf,inf,inf,inf
0.55,3527.9,inf,inf,3455.3,inf,inf,inf,inf
0.6,3195.6,inf,inf,3318,inf,inf,inf,inf
0.65,2830.5,inf,inf,3184.8,inf,inf,inf,inf
0.70000005,inf,inf,inf,3059.8,inf,inf,inf,inf
0.75,inf,inf,inf,inf,inf,inf,inf,inf
0.8000001,inf,inf,inf,inf,inf,inf,inf,inf
0.85,inf,inf,inf,inf,inf,inf,inf,inf
0.9,inf,inf,inf,inf,inf,inf,inf,inf
0.95000005,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf
