popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.12,0.23999998,2873.6,5734.4,5587.2,4012.8,8256,10035.2,6083.1997,2041.6
64,0.16,0.23999998,2912,5625.6,5612.8,4096,8396.8,10073.6,6119.4663,2077.1553
64,0.59999996,0.16,2732.8,6009.6,6092.8,4185.6,8288,9452.8,6126.9336,1828.9779
64,0.64,0.12,2732.8,6208,6156.8,4006.4,8198.4,9529.6,6138.6665,1846.0444
64,0.64,0.08,2464,6233.6,6329.6,3891.2,8409.6,9606.4,6155.733,1985.4225
64,0.52,0.19999999,3097.6,6086.4,6054.4,4140.8,8217.6,9612.8,6201.5996,1809.0664
64,0.19999999,0.23999998,2976,5849.6,5644.8,4262.4,8409.6,10240,6230.4,2062.9333
64,0.24,0.23999998,2976,5843.2,5939.2,4249.6,8396.8,10297.6,6283.733,2042.3109
64,0.48,0.04,2086.4,6368,6361.6,3251.2,8281.6,11539.2,6314.6665,2430.578
64,0.56,0.19999999,2988.8,6169.6,6233.6,4384,8467.2,9824,6344.533,1867.3778
64,0.64,0.16,2905.6,6291.2,6400,4332.8,8486.4,9689.6,6350.9336,1841.0668
64,0.52,0.04,2112,6553.6,6310.4,3328,8787.2,11168,6376.533,2459.7334
64,0.68,0.12,2835.2,6515.2,6464,4275.2,8550.4,9728,6394.6665,1892.9779
64,0.28,0.23999998,3084.8,5945.6,5945.6,4403.2,8620.8,10604.8,6434.1333,2119.111
64,0.68,0.08,2720,6611.2,6720,4038.4,8576,10131.2,6466.1333,2057.9558
64,0.32,0.23999998,3046.4,6016,5984,4633.6,8947.2,10387.2,6502.4,2109.867
64,0.59999996,0.04,2252.8,6572.8,6707.2,3584,8992,11257.6,6561.0664,2428.4446
64,0.35999998,0.23999998,3065.6,6041.6,6163.2,4518.4,8864,10822.4,6579.2007,2176.0002
64,0.59999996,0.19999999,3123.2,6432,6336,4678.4,8742.4,10208,6586.6665,1925.689
64,0.68,0.16,3078.4,6534.4,6656,4537.6,8921.6,10099.2,6637.8667,1921.0668
64,0.39999998,0.23999998,3289.6,6156.8,6252.8,4556.8,9049.6,10867.2,6695.467,2175.2888
64,0.71999997,0.12,3020.8,6784,6860.8,4448,8883.2,10291.2,6714.6665,1986.8444
64,0.64,0.04,2374.4,6790.4,6854.4,3891.2,8992,11654.4,6759.4663,2417.778
64,0.71999997,0.08,2745.6,6931.2,6995.2,4352,9222.4,10636.8,6813.8667,2176.7112
64,0.64,0.19999999,3225.6,6707.2,6700.8,4633.6,9145.6,10553.6,6827.733,2014.5775
64,0.44,0.23999998,3424,6451.2,6310.4,4729.6,9081.6,11052.8,6841.5996,2150.3997
64,0.48,0.23999998,3347.2,6598.4,6598.4,4838.4,9280,11168,6971.733,2168.1777
64,0.68,0.04,2508.8,7180.8,6969.6,4032,9497.6,11910.4,7016.533,2513.0667
64,0.71999997,0.16,3315.2,7046.4,7104,4768,9292.8,10732.8,7043.1997,2001.0668
64,0.52,0.23999998,3212.8,6700.8,6688,4953.6,9536,11430.4,7086.9336,2264.178
64,0.68,0.19999999,3475.2,6950.4,6931.2,4870.4,9472,11065.6,7127.467,2094.2222
