neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
0.5,64,2,0.00000001,0.6,0.2,398771.2,398771.2,0
0.5,64,4,0.00000001,0.6,0.2,398771.2,398771.2,0
0.5,64,6,0.00000001,0.6,0.2,398771.2,398771.2,0
0.5,64,8,0.00000001,0.6,0.2,398771.2,398771.2,0
0.5,64,2,0.00000001,0.4,0.4,407392,407392,0
0.5,64,4,0.00000001,0.4,0.4,407392,407392,0
0.5,64,6,0.00000001,0.4,0.4,407392,407392,0
0.5,64,8,0.00000001,0.4,0.4,407392,407392,0
1,64,2,0.00000001,0.6,0.2,411328,411328,0
1,64,4,0.00000001,0.6,0.2,411328,411328,0
1,64,6,0.00000001,0.6,0.2,411328,411328,0
1,64,8,0.00000001,0.6,0.2,411328,411328,0
0.75,64,2,0.00000001,0.6,0.2,419161.6,419161.6,0
0.75,64,4,0.00000001,0.6,0.2,419161.6,419161.6,0
0.75,64,6,0.00000001,0.6,0.2,419161.6,419161.6,0
0.75,64,8,0.00000001,0.6,0.2,419161.6,419161.6,0
1.125,64,2,0.00000001,0.6,0.2,419936,419936,0
1.125,64,4,0.00000001,0.6,0.2,419936,419936,0
1.125,64,6,0.00000001,0.6,0.2,419936,419936,0
1.125,64,8,0.00000001,0.6,0.2,419936,419936,0
1.5,64,2,0.00000001,0.6,0.2,429644.8,429644.8,0
1.5,64,4,0.00000001,0.6,0.2,429644.8,429644.8,0
1.5,64,6,0.00000001,0.6,0.2,429644.8,429644.8,0
1.5,64,8,0.00000001,0.6,0.2,429644.8,429644.8,0
0.5,64,2,0.00000001,0.6,0.4,440940.8,440940.8,0
0.5,64,4,0.00000001,0.6,0.4,440940.8,440940.8,0
0.5,64,6,0.00000001,0.6,0.4,440940.8,440940.8,0
0.5,64,8,0.00000001,0.6,0.4,440940.8,440940.8,0
0.5,64,2,0.00000001,0.8,0.2,446918.4,446918.4,0
0.5,64,4,0.00000001,0.8,0.2,446918.4,446918.4,0
0.5,64,6,0.00000001,0.8,0.2,446918.4,446918.4,0
0.5,64,8,0.00000001,0.8,0.2,446918.4,446918.4,0
0.75,64,2,0.00000001,0.8,0.2,448761.6,448761.6,0
0.75,64,4,0.00000001,0.8,0.2,448761.6,448761.6,0
0.75,64,6,0.00000001,0.8,0.2,448761.6,448761.6,0
0.75,64,8,0.00000001,0.8,0.2,448761.6,448761.6,0
1.125,64,2,0.00000001,0.6,0.4,451353.6,451353.6,0
1.125,64,4,0.00000001,0.6,0.4,451353.6,451353.6,0
1.125,64,6,0.00000001,0.6,0.4,451353.6,451353.6,0
1.125,64,8,0.00000001,0.6,0.4,451353.6,451353.6,0
1,64,2,0.00000001,0.6,0.4,451462.4,451462.4,0
1,64,4,0.00000001,0.6,0.4,451462.4,451462.4,0
1,64,6,0.00000001,0.6,0.4,451462.4,451462.4,0
1,64,8,0.00000001,0.6,0.4,451462.4,451462.4,0
0.75,64,2,0.00000001,0.6,0.4,452563.2,452563.2,0
0.75,64,4,0.00000001,0.6,0.4,452563.2,452563.2,0
0.75,64,6,0.00000001,0.6,0.4,452563.2,452563.2,0
0.75,64,8,0.00000001,0.6,0.4,452563.2,452563.2,0
