cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.44,0.12,64,4364.8,10112,10067.2,6361.6,13830.4,16524.8,10210.134,3311.6448
0.39999998,0.12,64,4467.2,10195.2,10112,6592,13996.8,16588.8,10325.333,3311.6445
0.48,0.12,64,4230.4,10041.6,9862.4,6252.8,14470.4,17190.4,10341.333,3659.378
0.35999998,0.12,64,4550.4,10259.2,10483.2,6777.6,14131.2,16652.8,10475.733,3280
0.32,0.12,64,4691.2,10681.6,10675.2,6969.6,14656,16819.2,10748.8,3325.8665
0.52,0.16,64,4825.6,10265.6,10284.8,6764.8,14880,17664,10780.8,3660.8
0.35999998,0.08,64,4153.6,10675.2,10700.8,6252.8,14540.8,18604.8,10821.334,3834.3113
0.48,0.16,64,4742.4,10547.2,10534.4,7142.4,14848,17267.2,10846.933,3473.7773
0.44,0.16,64,5049.6,10662.4,10489.6,7206.4,14771.2,17171.2,10891.733,3386.3113
0.32,0.08,64,4326.4,10937.6,10720,6470.4,15142.4,18073.6,10945.066,3775.289
0.39999998,0.16,64,5145.6,10604.8,10700.8,7468.8,14912,17177.6,11001.601,3362.1335
0.52,0.12,64,4012.8,9958.4,10048,5977.6,14995.2,21299.2,11048.534,4732.445
0.39999998,0.08,64,4012.8,10508.8,10342.4,6080,15052.8,20326.4,11053.867,4423.8228
0.56,0.16,64,4563.2,10470.4,10380.8,6406.4,15680,19993.6,11249.066,4391.822
0.28,0.08,64,4460.8,11315.2,11398.4,6924.8,15609.6,18016,11287.466,3729.778
0.35999998,0.16,64,5305.6,10963.2,11008,7712,15084.8,17657.6,11288.534,3388.4446
0.28,0.12,64,5024,11347.2,11404.8,7558.4,15334.4,17420.8,11348.266,3371.7334
0.32,0.16,64,5497.6,11462.4,11334.4,8089.6,15718.4,17945.6,11674.667,3438.222
0.24,0.12,64,5273.6,11756.8,11814.4,8000,15820.8,18009.6,11779.2,3435.7332
0.24,0.08,64,4812.8,12057.6,12044.8,7481.6,16115.2,18656,11861.333,3809.4226
0.28,0.16,64,5651.2,11859.2,11878.4,8492.8,15980.8,18604.8,12077.867,3476.6223
0.56,0.19999999,64,5305.6,11456,11462.4,7494.4,16953.6,20294.4,12161.066,4308.622
0.52,0.19999999,64,5651.2,11603.2,11481.6,7916.8,16819.2,19936,12234.667,4095.289
0.48,0.19999999,64,5721.6,11564.8,11705.6,8179.2,16787.2,19654.4,12268.8,3968
0.59999996,0.19999999,64,4985.6,11315.2,11283.2,6790.4,17868.8,22137.6,12396.8,5070.9336
0.19999999,0.08,64,5068.8,12588.8,12640,7814.4,17024,19411.2,12424.534,3988.6218
0.59999996,0.16,64,4313.6,10848,10457.6,6169.6,17440,25363.2,12432,5979.733
0.44,0.19999999,64,6086.4,11916.8,11852.8,8640,16697.6,19724.8,12486.401,3816.534
0.19999999,0.12,64,5612.8,12742.4,12659.2,8550.4,16748.8,19232,12590.933,3672.8894
0.24,0.16,64,5868.8,12441.6,12505.6,8998.4,16992,19449.6,12709.333,3674.3113
0.39999998,0.19999999,64,6124.8,12153.6,12268.8,9017.6,17056,19974.4,12765.866,3832.889
0.35999998,0.19999999,64,6310.4,12294.4,12524.8,9305.6,17446.4,20601.6,13080.534,3962.3115
0.32,0.19999999,64,6534.4,12774.4,12921.6,9555.2,17792,20966.4,13424,3970.1335
0.19999999,0.16,64,6080,13420.8,13305.6,9504,17888,20576,13462.399,3846.3997
0.16,0.08,64,5587.2,13728,13798.4,8665.6,18240,21145.6,13527.468,4267.3774
0.16,0.12,64,5753.6,13836.8,13728,9350.4,18400,20966.4,13672.532,4080.3555
0.28,0.19999999,64,6809.6,13017.6,13235.2,10003.2,18380.8,21619.2,13844.266,4103.822
0.64,0.19999999,64,4467.2,11840,11577.6,6387.2,19756.8,29369.6,13899.733,7108.978
0.59999996,0.23999998,64,5824,13056,13011.2,8083.2,19788.8,23782.4,13924.267,5240.8887
0.56,0.23999998,64,6553.6,13254.4,13459.2,8992,19667.2,23596.8,14253.867,4918.756
0.24,0.19999999,64,7014.4,13555.2,13792,10387.2,19116.8,22323.2,14364.8,4236.7993
0.64,0.23999998,64,5152,12697.6,12966.4,7257.6,21676.8,27257.6,14501.333,6643.9106
0.16,0.16,64,6489.6,14496,14323.2,10323.2,19411.2,22163.2,14534.399,4168.533
0.52,0.23999998,64,7136,13843.2,13683.2,9638.4,20217.6,23763.2,14713.599,4851.199
0.16,0.04,64,5280,14816,14681.6,8345.6,20307.2,25875.2,14884.267,5471.289
0.48,0.23999998,64,7264,14048,14105.6,10124.8,20614.4,24358.4,15085.867,4933.689
0.12,0.08,64,6272,15430.4,15443.2,9785.6,20364.8,23539.2,15139.2,4740.267
0.19999999,0.19999999,64,7443.2,14393.6,14572.8,11040,20147.2,23360,15159.466,4396.0884
0.12,0.12,64,6515.2,15513.6,15616,10476.8,20396.8,22995.2,15252.269,4504.1772
0.44,0.23999998,64,7667.2,14342.4,14406.4,10835.2,20883.2,25100.8,15539.2,4968.533
0.39999998,0.23999998,64,7872,14470.4,14598.4,11289.6,21369.6,25728,15888,5107.1997
0.16,0.19999999,64,7481.6,15417.6,15328,11750.4,21536,24947.2,16076.8,4776.533
0.12,0.04,64,5971.2,16556.8,16563.2,9446.4,21721.6,26278.4,16089.601,5587.1997
0.12,0.16,64,7212.8,16128,16224,11225.6,21465.6,24672,16154.667,4632.533
0.35999998,0.23999998,64,7955.2,15033.6,14688,12057.6,21753.6,26201.6,16281.601,5130.6665
0.64,0.28,64,6086.4,15366.4,15296,8678.4,23936,29536,16483.201,6835.2007
0.32,0.23999998,64,8102.4,15040,15206.4,12339.2,22188.8,26585.6,16577.066,5206.7554
0.68,0.23999998,64,4371.2,13113.6,13465.6,6579.2,26041.6,36876.8,16741.334,9811.911
0.59999996,0.28,64,6822.4,16064,16076.8,9625.6,23699.2,28403.2,16781.867,6179.555
0.28,0.23999998,64,8345.6,15347.2,15366.4,12678.4,22380.8,27283.2,16900.268,5287.8228
0.24,0.23999998,64,8460.8,15916.8,15872,13196.8,23148.8,27609.6,17367.467,5341.156
0.68,0.28,64,5536,14937.6,15040,7929.6,28166.4,32934.4,17424,8750.934
0.56,0.28,64,8185.6,16934.4,16396.8,10912,24588.8,28832,17641.6,6045.8667
0.12,0.19999999,64,8051.2,17305.6,17164.8,12620.8,23539.2,27193.6,17645.867,5147.022
0.19999999,0.23999998,64,8364.8,16531.2,16422.4,13190.4,23833.6,28326.4,17778.133,5534.5776
0.08,0.08,64,7270.4,18323.2,18163.2,11724.8,23961.6,27289.6,17788.799,5527.467
0.08,0.12,64,7680,18323.2,18329.6,12070.4,24044.8,27353.6,17966.934,5394.489
0.08,0.04,64,7283.2,18867.2,18963.2,11225.6,24889.6,29740.8,18494.932,6160.3555
0.16,0.23999998,64,8569.6,17344,17273.6,13772.8,24883.2,29388.8,18538.666,5731.555
0.52,0.28,64,8723.2,17376,17619.2,12435.2,25516.8,30873.6,18757.334,6291.9116
0.08,0.16,64,8121.6,18995.2,18905.6,13094.4,25312,28672,18850.133,5494.7554
0.48,0.28,64,9734.4,17644.8,18067.2,13798.4,26624,32883.2,19792,6641.0664
0.68,0.32,64,6739.2,17868.8,17433.6,9177.6,30611.2,37196.8,19837.867,9377.423
0.12,0.23999998,64,9318.4,18969.6,18713.6,14451.2,26726.4,31411.2,19931.734,6091.3774
0.64,0.32,64,8256,18630.4,18752,11097.6,29036.8,35238.4,20168.533,7979.3774
0.08,0.19999999,64,9011.2,19833.6,19955.2,14105.6,27270.4,31052.8,20204.799,5971.2007
0.44,0.28,64,10195.2,18304,18438.4,15027.2,28025.6,34739.2,20788.266,7062.7554
0.71999997,0.32,64,5382.4,17657.6,17875.2,7980.8,34163.2,41862.4,20820.268,11461.688
0.59999996,0.32,64,9420.8,19980.8,19756.8,12787.2,30284.8,36038.4,21378.135,7855.6445
0.39999998,0.28,64,10483.2,18438.4,18950.4,15833.6,28857.6,35833.6,21399.467,7297.422
0.32,0.28,64,10668.8,18848,18560,16364.8,29542.4,36806.4,21798.4,7584
0.35999998,0.28,64,10476.8,18681.6,18777.6,16601.6,29369.6,36998.4,21817.6,7577.6
0.28,0.28,64,10726.4,18771.2,18726.4,16678.4,29318.4,36832,21842.133,7488.711
0.24,0.28,64,10425.6,19136,19116.8,16684.8,29555.2,36652.8,21928.533,7450.311
0.19999999,0.28,64,10553.6,19526.4,19411.2,16780.8,29894.4,36627.2,22132.266,7419.022
0.08,0.23999998,64,9638.4,21446.4,21529.6,15904,30048,34579.2,22190.932,6748.444
0.16,0.28,64,10553.6,20038.4,20096,16768,30432,36256,22357.334,7324.445
0.12,0.28,64,10470.4,21222.4,21145.6,17465.6,31264,37606.4,23195.734,7492.978
0.56,0.32,64,11193.6,21817.6,21702.4,15276.8,31257.6,38617.6,23310.932,7751.111
0.04,0.08,64,9644.8,24198.4,24524.8,15385.6,32115.2,36537.6,23734.4,7479.467
0.04,0.12,64,10163.2,24499.2,24691.2,16000,32326.4,36569.6,24041.6,7306.6665
0.04,0.04,64,9574.4,24729.6,24883.2,15187.2,32716.8,37542.4,24105.6,7816.5327
0.68,0.35999998,64,8569.6,22412.8,22393.6,12070.4,37043.2,43200,24281.6,10560
0.04,0.16,64,10515.2,25113.6,25113.6,16518.4,33152,37811.2,24704,7458.133
0.08,0.28,64,11264,23609.6,23513.6,17792,33760,39923.2,24977.068,7909.6895
0.52,0.32,64,13164.8,22950.4,23488,17100.8,34169.6,41657.6,25421.867,8327.823
0.04,0.19999999,64,11008,26195.2,26137.6,17766.4,34892.8,39833.6,25972.266,7723.3784
0.64,0.35999998,64,10067.2,24678.4,24652.8,14291.2,37446.4,45708.8,26140.799,10291.199
0.48,0.32,64,13536,24384,24678.4,19206.4,37056,46496,27559.467,9477.688
0.04,0.23999998,64,12064,27545.6,27289.6,19168,37728,42464,27709.867,8257.423
0.12,0.32,64,12518.4,24236.8,24416,21132.8,38700.8,46880,27980.799,9873.066
0.16,0.32,64,12800,23488,23923.2,21913.6,38995.2,48179.2,28216.533,10247.11
0.08,0.32,64,12576,26246.4,26297.6,20665.6,39436.8,47200,28737.068,9720.89
0.04,0.28,64,12563.2,29100.8,29120,20537.6,40896,47507.2,29954.133,9498.311
0,0.04,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.08,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.12,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.16,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.19999999,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.23999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.28,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.32,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
