popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.16,0.32,229088,229088,0
64,0.56,0.12,231059.2,231059.2,0
64,0.19999999,0.32,234368,234368,0
64,0.32,0.23999998,235398.4,235398.4,0
64,0.91999996,0.56,235654.4,235654.4,0
64,0.24,0.28,240640,240640,0
64,0.88,0.35999998,254470.4,254470.4,0
64,0.84,0.23999998,259360,259360,0
64,0.96,0.96,264902.4,264902.4,0
64,0.91999996,0.6,273062.4,273062.4,0
64,0.35999998,0.23999998,278092.8,278092.8,0
64,0.59999996,0.12,283897.6,283897.6,0
64,0.08,0.39999998,291180.8,291180.8,0
64,0.88,0.39999998,293766.4,293766.4,0
64,0.91999996,0.64,294073.6,294073.6,0
64,0.32,0.28,301011.2,301011.2,0
64,0.44,0.19999999,320217.6,320217.6,0
64,0.84,0.28,341702.4,341702.4,0
64,0.88,0.43999997,345676.8,345676.8,0
64,0.79999995,0.19999999,357760,357760,0
64,0.91999996,0.68,418060.8,418060.8,0
64,0,0.04,inf,inf,inf
64,0,0.39999998,inf,inf,inf
64,0,0.43999997,inf,inf,inf
64,0,0.48,inf,inf,inf
64,0,0.52,inf,inf,inf
64,0,0.56,inf,inf,inf
64,0,0.6,inf,inf,inf
64,0,0.64,inf,inf,inf
64,0,0.68,inf,inf,inf
64,0,0.72,inf,inf,inf
64,0,0.76,inf,inf,inf
64,0,0.8,inf,inf,inf
64,0,0.84,inf,inf,inf
64,0,0.88,inf,inf,inf
64,0,0.92,inf,inf,inf
64,0,0.96,inf,inf,inf
64,0.04,0.04,inf,inf,inf
64,0.04,0.08,inf,inf,inf
64,0.04,0.39999998,inf,inf,inf
64,0.04,0.43999997,inf,inf,inf
64,0.04,0.48,inf,inf,inf
64,0.04,0.52,inf,inf,inf
64,0.04,0.56,inf,inf,inf
64,0.04,0.6,inf,inf,inf
64,0.04,0.64,inf,inf,inf
64,0.04,0.68,inf,inf,inf
64,0.04,0.72,inf,inf,inf
64,0.04,0.76,inf,inf,inf
64,0.04,0.8,inf,inf,inf
64,0.04,0.84,inf,inf,inf
64,0.04,0.88,inf,inf,inf
64,0.04,0.92,inf,inf,inf
64,0.04,0.96,inf,inf,inf
64,0.08,0.04,inf,inf,inf
64,0.08,0.43999997,inf,inf,inf
64,0.08,0.48,inf,inf,inf
64,0.08,0.52,inf,inf,inf
64,0.08,0.56,inf,inf,inf
64,0.08,0.6,inf,inf,inf
64,0.08,0.64,inf,inf,inf
64,0.08,0.68,inf,inf,inf
64,0.08,0.72,inf,inf,inf
64,0.08,0.76,inf,inf,inf
64,0.08,0.8,inf,inf,inf
64,0.08,0.84,inf,inf,inf
64,0.08,0.88,inf,inf,inf
64,0.08,0.92,inf,inf,inf
64,0.08,0.96,inf,inf,inf
64,0.12,0.04,inf,inf,inf
64,0.12,0.39999998,inf,inf,inf
64,0.12,0.43999997,inf,inf,inf
64,0.12,0.48,inf,inf,inf
64,0.12,0.52,inf,inf,inf
64,0.12,0.56,inf,inf,inf
64,0.12,0.6,inf,inf,inf
64,0.12,0.64,inf,inf,inf
64,0.12,0.68,inf,inf,inf
64,0.12,0.72,inf,inf,inf
64,0.12,0.76,inf,inf,inf
64,0.12,0.8,inf,inf,inf
64,0.12,0.84,inf,inf,inf
64,0.12,0.88,inf,inf,inf
64,0.12,0.92,inf,inf,inf
64,0.12,0.96,inf,inf,inf
64,0.16,0.04,inf,inf,inf
64,0.16,0.35999998,inf,inf,inf
64,0.16,0.39999998,inf,inf,inf
64,0.16,0.43999997,inf,inf,inf
64,0.16,0.48,inf,inf,inf
64,0.16,0.52,inf,inf,inf
64,0.16,0.56,inf,inf,inf
64,0.16,0.6,inf,inf,inf
64,0.16,0.64,inf,inf,inf
64,0.16,0.68,inf,inf,inf
64,0.16,0.72,inf,inf,inf
64,0.16,0.76,inf,inf,inf
64,0.16,0.8,inf,inf,inf
64,0.16,0.84,inf,inf,inf
64,0.16,0.88,inf,inf,inf
64,0.16,0.92,inf,inf,inf
64,0.16,0.96,inf,inf,inf
64,0.19999999,0.35999998,inf,inf,inf
64,0.19999999,0.39999998,inf,inf,inf
64,0.19999999,0.43999997,inf,inf,inf
64,0.19999999,0.48,inf,inf,inf
64,0.19999999,0.52,inf,inf,inf
64,0.19999999,0.56,inf,inf,inf
64,0.19999999,0.6,inf,inf,inf
64,0.19999999,0.64,inf,inf,inf
64,0.19999999,0.68,inf,inf,inf
64,0.19999999,0.72,inf,inf,inf
64,0.19999999,0.76,inf,inf,inf
64,0.19999999,0.8,inf,inf,inf
64,0.19999999,0.84,inf,inf,inf
64,0.19999999,0.88,inf,inf,inf
64,0.19999999,0.92,inf,inf,inf
64,0.19999999,0.96,inf,inf,inf
64,0.24,0.32,inf,inf,inf
64,0.24,0.35999998,inf,inf,inf
64,0.24,0.39999998,inf,inf,inf
64,0.24,0.43999997,inf,inf,inf
64,0.24,0.48,inf,inf,inf
64,0.24,0.52,inf,inf,inf
64,0.24,0.56,inf,inf,inf
64,0.24,0.6,inf,inf,inf
64,0.24,0.64,inf,inf,inf
64,0.24,0.68,inf,inf,inf
64,0.24,0.72,inf,inf,inf
64,0.24,0.76,inf,inf,inf
64,0.24,0.8,inf,inf,inf
64,0.24,0.84,inf,inf,inf
64,0.24,0.88,inf,inf,inf
64,0.24,0.92,inf,inf,inf
64,0.24,0.96,inf,inf,inf
64,0.28,0.23999998,inf,inf,inf
64,0.28,0.28,inf,inf,inf
64,0.28,0.32,inf,inf,inf
64,0.28,0.35999998,inf,inf,inf
64,0.28,0.39999998,inf,inf,inf
64,0.28,0.43999997,inf,inf,inf
64,0.28,0.48,inf,inf,inf
64,0.28,0.52,inf,inf,inf
64,0.28,0.56,inf,inf,inf
64,0.28,0.6,inf,inf,inf
64,0.28,0.64,inf,inf,inf
64,0.28,0.68,inf,inf,inf
64,0.28,0.72,inf,inf,inf
64,0.28,0.76,inf,inf,inf
64,0.28,0.8,inf,inf,inf
64,0.28,0.84,inf,inf,inf
64,0.28,0.88,inf,inf,inf
64,0.28,0.92,inf,inf,inf
64,0.28,0.96,inf,inf,inf
64,0.32,0.32,inf,inf,inf
64,0.32,0.35999998,inf,inf,inf
64,0.32,0.39999998,inf,inf,inf
64,0.32,0.43999997,inf,inf,inf
64,0.32,0.48,inf,inf,inf
64,0.32,0.52,inf,inf,inf
64,0.32,0.56,inf,inf,inf
