h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
1,0.72,64,710.4,2086.4,2124.8,998.4,4460.8,2841.6,2203.7332,964.9777
2,0.64,64,697.6,2150.4,2201.6,1056,4320,2976,2233.5999,942.9333
2,0.52,64,736,2067.2,2310.4,1068.8,4268.8,2988.8,2239.9998,949.33325
1,0.39999998,64,780.8,2092.8,2272,921.6,4224,3148.8,2240,974.9333
1,0.52,64,819.2,2144,2112,992,4390.4,2982.4,2240,964.26666
2,0.28,64,800,2214.4,2240,1024,4089.6,3072,2240,893.8667
3,0.52,64,697.6,2355.2,2272,1075.2,4070.4,2988.8,2243.2,904.53326
3,0.32,64,716.8,2240,2316.8,1068.8,4006.4,3142.4,2248.5334,906.6667
2,0.35999998,64,806.4,2265.6,2188.8,1088,4115.2,3033.6,2249.5999,888.5334
1,0.28,64,806.4,2150.4,2208,1049.6,4019.2,3276.8,2251.7332,930.8444
1,0.76,64,761.6,2131.2,2067.2,979.2,4665.6,2918.4,2253.867,1025.4224
2,0.88,64,825.6,2150.4,2131.2,1056,4448,2924.8,2256,953.6001
1,0.6,64,832,2156.8,2220.8,985.6,4505.6,2848,2258.1335,945.77783
2,0.39999998,64,819.2,2176,2195.2,1043.2,4108.8,3219.2,2260.2666,935.82227
1,0.43999997,64,723.2,2272,2169.6,1017.6,4275.2,3129.6,2264.5332,961.0667
1,0.68,64,716.8,2060.8,2252.8,953.6,4672,2944,2266.6667,1027.5555
3,0.28,64,755.2,2297.6,2297.6,1036.8,4153.6,3065.6,2267.7334,914.48895
3,0.48,64,697.6,2284.8,2252.8,1068.8,4339.2,2982.4,2270.9333,931.2
4,0.43999997,64,748.8,2323.2,2432,1062.4,3955.2,3123.2,2274.1333,912.35547
2,0.76,64,864,2278.4,2169.6,1036.8,4377.6,2931.2,2276.2668,919.4666
3,0.88,64,755.2,2355.2,2220.8,1132.8,4384,2809.6,2276.2666,906.6667
2,0.43999997,64,806.4,2272,2278.4,1043.2,4249.6,3014.4,2277.3333,903.4666
1,0.64,64,838.4,2067.2,2182.4,1017.6,4569.6,2995.2,2278.4001,1002.66675
2,0.56,64,710.4,2329.6,2201.6,1068.8,4441.6,2924.8,2279.4666,952.53326
2,0.68,64,787.2,2201.6,2227.2,1120,4422.4,2944,2283.7334,932.9778
1,0.35999998,64,736,2176,2150.4,972.8,4300.8,3385.6,2286.9333,1037.5111
1,0.88,64,748.8,2035.2,2131.2,979.2,4972.8,2854.4,2286.9333,1084.4445
3,0.35999998,64,774.4,2348.8,2329.6,1107.2,4083.2,3091.2,2289.0667,898.8445
2,0.84,64,819.2,2246.4,2265.6,1075.2,4448,2886.4,2290.1335,918.0446
1,0.23999998,64,761.6,2265.6,2188.8,1043.2,4166.4,3321.6,2291.2,968.5334
3,0.43999997,64,736,2380.8,2195.2,1100.8,4204.8,3129.6,2291.2,947.2
2,0.8,64,742.4,2240,2201.6,1056,4460.8,3059.2,2293.3333,977.7778
3,0.84,64,742.4,2291.2,2361.6,1075.2,4435.2,2860.8,2294.4001,924.80005
3,0.56,64,787.2,2329.6,2342.4,1139.2,4294.4,2912,2300.8,891.7334
3,0.64,64,736,2316.8,2304,1056,4288,3104,2300.8,936.5334
4,0.88,64,800,2342.4,2342.4,1113.6,4390.4,2816,2300.8,896
3,0.23999998,64,787.2,2380.8,2342.4,1088,4012.8,3206.4,2302.9333,910.22217
1,0.84,64,729.6,2169.6,2086.4,1075.2,4742.4,3020.8,2303.9998,1051.7333
2,0.6,64,729.6,2259.2,2220.8,1062.4,4550.4,3020.8,2307.2,985.60004
4,0.6,64,729.6,2444.8,2406.4,1120,4198.4,2944,2307.2,921.5999
5,0.64,64,755.2,2470.4,2336,1126.4,4153.6,3020.8,2310.4,913.0667
4,0.48,64,748.8,2329.6,2412.8,1081.6,4057.6,3238.4,2311.4668,930.8444
1,1,64,857.6,2067.2,2201.6,1011.2,4934.4,2803.2,2312.5334,1037.5111
2,0.72,64,742.4,2227.2,2163.2,1088,4672,2995.2,2314.6667,1012.62225
3,0.19999999,64,806.4,2246.4,2380.8,1088,4006.4,3360,2314.6667,934.3999
3,0.6,64,780.8,2419.2,2284.8,1100.8,4364.8,2937.6,2314.6667,925.8667
1,0.32,64,812.8,2278.4,2240,985.6,4467.2,3110.4,2315.7334,982.0445
