popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.32,0.12,31724.8,31724.8,0
64,0.48,0.16,32012.8,32012.8,0
64,0.44,0.16,34348.8,34348.8,0
64,0.12,0.12,37862.4,37862.4,0
64,0.16,0.12,38649.6,38649.6,0
64,0.19999999,0.12,38656,38656,0
64,0.44,0.19999999,42342.4,42342.4,0
64,0.04,0.12,42451.2,42451.2,0
64,0.48,0.19999999,45088,45088,0
64,0.56,0.28,48409.6,48409.6,0
64,0.32,0.16,48761.6,48761.6,0
64,0.19999999,0.16,50099.2,50099.2,0
64,0.48,0.23999998,53561.6,53561.6,0
64,0.16,0.16,55987.2,55987.2,0
64,0.39999998,0.19999999,56307.2,56307.2,0
64,0.64,0.39999998,56595.2,56595.2,0
64,0.24,0.16,57331.2,57331.2,0
64,0,0.16,58918.4,58918.4,0
64,0.28,0.16,59065.6,59065.6,0
64,0.44,0.23999998,63072,63072,0
64,0.52,0.28,64019.2,64019.2,0
64,0.08,0.16,66771.2,66771.2,0
64,0.12,0.16,67315.2,67315.2,0
64,0.04,0.16,67628.8,67628.8,0
64,0.24,0.19999999,70054.4,70054.4,0
64,0.48,0.28,70534.4,70534.4,0
64,0.52,0.32,73715.2,73715.2,0
64,0.32,0.19999999,74182.4,74182.4,0
64,0.35999998,0.23999998,76172.8,76172.8,0
64,0.56,0.35999998,77843.2,77843.2,0
64,0.48,0.32,82201.6,82201.6,0
64,0.28,0.19999999,82803.2,82803.2,0
64,0.16,0.19999999,83686.4,83686.4,0
64,0.44,0.28,87750.4,87750.4,0
64,0.56,0.39999998,102368,102368,0
64,0.32,0.23999998,103398.4,103398.4,0
64,0.39999998,0.28,104486.4,104486.4,0
64,0,0.19999999,106956.8,106956.8,0
64,0.52,0.35999998,108972.8,108972.8,0
64,0.19999999,0.19999999,109785.6,109785.6,0
64,0.56,0.43999997,110950.4,110950.4,0
64,0.04,0.19999999,110988.8,110988.8,0
64,0.28,0.23999998,112396.8,112396.8,0
64,0.08,0.19999999,112678.4,112678.4,0
64,0.12,0.19999999,117600,117600,0
64,0.64,0.56,120006.4,120006.4,0
64,0.44,0.32,121100.8,121100.8,0
