popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0,0.35999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.39999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.43999997,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.48,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.52,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.56,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.6,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.64,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.68,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.72,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.76,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.8,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.84,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.88,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.92,inf,inf,inf,inf,inf,inf,inf,inf
64,0,0.96,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.04,3180.8,inf,inf,4684.8,inf,inf,inf,inf
64,0.04,0.08,3456,11180.8,10873.6,4857.6,inf,inf,inf,inf
64,0.04,0.28,15398.4,20704,21158.4,22227.2,42860.8,inf,inf,inf
64,0.04,0.32,39622.4,41849.6,41350.4,inf,inf,inf,inf,inf
64,0.04,0.35999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.39999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.43999997,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.48,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.52,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.56,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.6,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.64,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.68,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.72,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.76,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.8,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.84,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.88,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.92,inf,inf,inf,inf,inf,inf,inf,inf
64,0.04,0.96,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.04,3180.8,inf,inf,4627.2,inf,inf,inf,inf
64,0.08,0.08,3500.8,11328,10233.6,4787.2,inf,inf,inf,inf
