h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
1,0.28,64,556.8,1856,1817.6,966.4,2227.2,2182.4,1601.0668,559.64435
1,0.64,64,627.2,1900.8,1849.6,960,2291.2,2035.2,1610.6666,544.7111
1,0.52,64,569.6,1868.8,1849.6,979.2,2278.4,2169.6,1619.2001,563.19995
1,0.32,64,646.4,1843.2,1798.4,1043.2,2265.6,2137.6,1622.4,518.4001
1,0.56,64,601.6,1907.2,1843.2,1049.6,2272,2073.6,1624.5333,532.62225
1,0.48,64,582.4,1798.4,1945.6,1100.8,2233.6,2092.8,1625.6001,522.6666
1,0.12,64,640,1964.8,1766.4,902.4,2144,2342.4,1626.6666,570.3111
1,0.72,64,640,1945.6,1721.6,1024,2252.8,2220.8,1634.1333,534.75555
1,0.16,64,646.4,1830.4,1881.6,985.6,2227.2,2240,1635.2001,546.1333
1,0.43999997,64,633.6,1868.8,1862.4,1075.2,2214.4,2163.2,1636.2666,521.24445
1,0.19999999,64,620.8,1945.6,1836.8,940.8,2214.4,2272,1638.4,571.73334
1,0.88,64,582.4,1849.6,1907.2,1088,2348.8,2092.8,1644.7999,539.73334
1,0.92,64,620.8,1894.4,1875.2,1030.4,2310.4,2137.6,1644.7999,546.13336
2,0.43999997,64,556.8,2041.6,1932.8,896,2265.6,2176,1644.8002,612.2666
1,0.39999998,64,627.2,1900.8,1907.2,992,2201.6,2265.6,1649.0668,559.6445
2,0.48,64,492.8,2060.8,1862.4,1004.8,2246.4,2233.6,1650.1333,600.8889
1,0.84,64,576,1926.4,1952,1004.8,2291.2,2201.6,1658.6666,578.8445
2,0.16,64,537.6,1913.6,1952,972.8,2259.2,2323.2,1659.7334,603.02216
1,0.68,64,640,1843.2,1945.6,1043.2,2252.8,2246.4,1661.8666,546.8445
2,0.12,64,512,1900.8,1875.2,1036.8,2201.6,2451.2,1662.9332,592.3555
2,0.68,64,518.4,1907.2,2003.2,1068.8,2220.8,2259.2,1662.9332,579.5555
1,0.23999998,64,620.8,1996.8,1926.4,972.8,2220.8,2246.4,1664,578.13336
1,0.35999998,64,601.6,1932.8,1913.6,1139.2,2304,2105.6,1666.1334,530.48895
2,0.35999998,64,608,1913.6,2016,960,2227.2,2284.8,1668.2666,589.51117
2,0.28,64,608,1932.8,1868.8,966.4,2310.4,2329.6,1669.3334,588.08887
2,0.23999998,64,576,1952,1913.6,940.8,2329.6,2310.4,1670.4,608
1,0.76,64,652.8,1977.6,1836.8,1158.4,2233.6,2188.8,1674.6666,512.7112
1,0.6,64,601.6,1881.6,1984,1024,2355.2,2214.4,1676.8002,575.99994
2,0.52,64,556.8,1984,1971.2,1049.6,2329.6,2169.6,1676.8002,582.39996
2,0.32,64,505.6,1971.2,1990.4,908.8,2278.4,2419.2,1678.9332,647.8222
1,0.08,64,652.8,1939.2,1881.6,998.4,2252.8,2355.2,1680,569.6
3,0.43999997,64,473.6,1984,1939.2,985.6,2323.2,2374.4,1680,633.6
