h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
9,0.52,64,947.2,3392,3219.2,1260.8,8339.2,5376,3755.7334,2067.9111
7,0.64,64,928,3161.6,3136,1260.8,9222.4,4889.6,3766.4001,2193.0667
10,0.6,64,972.8,3270.4,3289.6,1280,8851.2,4934.4,3766.4001,2084.2668
10,0.72,64,960,3308.8,3257.6,1292.8,8966.4,4812.8,3766.4004,2082.1335
8,0.43999997,64,928,3251.2,3276.8,1267.2,8883.2,5024,3771.7334,2121.2444
11,0.76,64,908.8,3206.4,3270.4,1299.2,9049.6,4902.4,3772.7998,2135.4666
13,0.52,64,883.2,3360,3340.8,1350.4,8377.6,5331.2,3773.8665,2053.6887
7,0.43999997,64,908.8,3257.6,3238.4,1254.4,8825.6,5177.6,3777.0667,2149.6887
12,0.8,64,889.6,3257.6,3264,1331.2,9036.8,4883.2,3777.0664,2121.9553
6,0.56,64,889.6,3168,3276.8,1280,9036.8,5036.8,3781.3333,2170.3113
10,0.76,64,953.6,3116.8,3321.6,1312,8960,5036.8,3783.4668,2143.2888
7,0.35999998,64,864,3360,3219.2,1260.8,8652.8,5350.4,3784.5334,2144.7112
12,0.52,64,896,3340.8,3360,1369.6,8633.6,5152,3792,2067.2
9,0.6,64,806.4,3123.2,3155.2,1292.8,9273.6,5126.4,3796.2666,2269.1555
9,0.96,64,870.4,3193.6,3155.2,1324.8,9337.6,4896,3796.2666,2213.6887
8,0.76,64,896,3161.6,3219.2,1305.6,9363.2,4838.4,3797.3333,2202.3113
6,0.35999998,64,915.2,3251.2,3142.4,1292.8,8787.2,5401.6,3798.4001,2197.3335
6,0.64,64,896,3187.2,3187.2,1286.4,9190.4,5062.4,3801.5999,2216.5334
8,0.39999998,64,870.4,3379.2,3232,1254.4,8422.4,5657.6,3802.6667,2158.2224
15,0.52,64,960,3353.6,3296,1331.2,8518.4,5356.8,3802.6667,2089.9556
9,0.76,64,915.2,3193.6,3264,1286.4,9260.8,4902.4,3803.7334,2185.2444
6,0.48,64,870.4,3155.2,3174.4,1318.4,9113.6,5196.8,3804.8,2233.5999
9,0.48,64,883.2,3270.4,3296,1241.6,8627.2,5523.2,3806.9336,2178.8445
8,0.72,64,921.6,3289.6,3180.8,1318.4,9030.4,5107.2,3808,2173.8667
4,0.8,64,921.6,3097.6,3008,1196.8,9721.6,4934.4,3813.3333,2343.111
10,0.56,64,889.6,3251.2,3283.2,1337.6,9011.2,5107.2,3813.3333,2163.9114
10,0.43999997,64,992,3340.8,3238.4,1299.2,8832,5184,3814.3997,2129.0667
12,0.35999998,64,908.8,3398.4,3411.2,1369.6,8345.6,5465.6,3816.533,2059.3777
