popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.04,0.12,902.4,2272,2259.2,1388.8,2969.6,3481.6,2212.2666,711.11115
64,0,0.08,902.4,2278.4,2297.6,1286.4,3014.4,3513.6,2215.4666,747.37775
64,0,0.12,940.8,2246.4,2208,1433.6,2982.4,3481.6,2215.4668,688
64,0.08,0.08,870.4,2278.4,2246.4,1414.4,2988.8,3494.4,2215.4666,715.37775
64,0.08,0.12,960,2259.2,2246.4,1401.6,2976,3475.2,2219.7332,692.62225
64,0.04,0.08,838.4,2342.4,2272,1350.4,3014.4,3507.2,2220.8,750.9333
64,0.12,0.12,921.6,2259.2,2246.4,1408,3008,3481.6,2220.7998,704.00006
64,0.19999999,0.12,921.6,2272,2304,1420.8,3008,3468.8,2232.5334,707.5555
64,0.16,0.12,928,2272,2329.6,1344,3027.2,3507.2,2234.6667,732.4444
64,0.24,0.12,966.4,2316.8,2278.4,1363.2,3040,3526.4,2248.5332,722.48895
64,0.08,0.16,979.2,2220.8,2284.8,1433.6,3110.4,3520,2258.1333,713.60004
64,0.12,0.08,915.2,2310.4,2291.2,1388.8,3078.4,3564.8,2258.1333,737.4222
64,0.16,0.08,896,2316.8,2316.8,1363.2,3136,3520,2258.1333,752.35565
64,0.04,0.16,998.4,2284.8,2284.8,1446.4,3052.8,3500.8,2261.3333,692.62225
64,0.16,0.16,947.2,2310.4,2336,1408,3033.6,3558.4,2265.5999,725.3333
64,0.28,0.12,953.6,2316.8,2348.8,1440,3014.4,3545.6,2269.8665,715.37787
64,0.32,0.12,947.2,2297.6,2348.8,1433.6,3078.4,3545.6,2275.2,723.2
64,0.19999999,0.08,864,2297.6,2451.2,1337.6,3091.2,3660.8,2283.7332,788.6223
64,0.24,0.08,838.4,2380.8,2368,1369.6,3123.2,3641.6,2286.9333,788.62225
64,0.12,0.16,947.2,2284.8,2355.2,1452.8,3091.2,3603.2,2289.0667,727.4666
64,0,0.16,992,2323.2,2304,1459.2,3097.6,3571.2,2291.2,710.4001
64,0.28,0.08,934.4,2406.4,2348.8,1350.4,3110.4,3616,2294.4,768
64,0.24,0.16,979.2,2342.4,2355.2,1459.2,3136,3539.2,2301.8667,721.7778
64,0.35999998,0.12,902.4,2304,2342.4,1497.6,3097.6,3667.2,2301.8667,734.5778
64,0.19999999,0.16,947.2,2316.8,2342.4,1465.6,3136,3616,2304,731.73334
64,0.32,0.16,947.2,2342.4,2380.8,1510.4,3097.6,3590.4,2311.4668,721.7778
64,0.32,0.08,915.2,2419.2,2419.2,1356.8,3200,3699.2,2334.9333,799.2889
64,0.28,0.16,998.4,2368,2387.2,1478.4,3187.2,3628.8,2341.3333,735.2889
64,0.39999998,0.12,960,2470.4,2342.4,1420.8,3193.6,3667.2,2342.4,768
64,0.44,0.12,940.8,2368,2393.6,1420.8,3251.2,3692.8,2344.5334,775.8222
64,0.35999998,0.16,947.2,2393.6,2387.2,1478.4,3225.6,3654.4,2347.7334,756.62225
64,0.39999998,0.16,902.4,2438.4,2425.6,1382.4,3225.6,3712,2347.7334,803.5555
64,0.35999998,0.08,889.6,2451.2,2464,1408,3180.8,3712,2350.9333,801.4222
64,0.08,0.19999999,1011.2,2336,2374.4,1484.8,3200,3705.6,2352,741.3333
64,0.12,0.19999999,902.4,2419.2,2406.4,1465.6,3283.2,3712,2364.8,787.19995
64,0,0.19999999,1049.6,2412.8,2368,1555.2,3212.8,3744,2390.4,732.8
64,0.04,0.19999999,1030.4,2412.8,2387.2,1536,3232,3795.2,2398.9333,747.7334
64,0.39999998,0.08,934.4,2483.2,2457.6,1440,3238.4,3859.2,2402.1333,809.95557
64,0.48,0.12,876.8,2547.2,2432,1484.8,3289.6,3801.6,2405.3333,816.35565
64,0.19999999,0.19999999,1011.2,2438.4,2393.6,1542.4,3270.4,3788.8,2407.4666,758.3999
64,0.16,0.19999999,1011.2,2400,2419.2,1612.8,3296,3801.6,2423.4668,750.22235
64,0.16,0.04,876.8,2470.4,2508.8,1280,3296,4115.2,2424.5334,897.4222
64,0.12,0.04,857.6,2470.4,2470.4,1337.6,3328,4096,2426.6667,886.04443
64,0.08,0.04,870.4,2560,2483.2,1312,3385.6,4000,2435.2,896
64,0.24,0.19999999,1024,2483.2,2361.6,1619.2,3347.2,3827.2,2443.7334,775.4666
64,0.44,0.08,966.4,2566.4,2585.6,1427.2,3334.4,3801.6,2446.9333,833.4222
64,0.04,0.04,832,2649.6,2476.8,1363.2,3270.4,4096,2448,900.26666
64,0.28,0.19999999,1036.8,2470.4,2432,1568,3347.2,3859.2,2452.2668,773.3333
64,0.44,0.16,992,2425.6,2489.6,1587.2,3315.2,3904,2452.2668,784
64,0.32,0.19999999,1062.4,2419.2,2470.4,1542.4,3366.4,3904,2460.8,786.1333
64,0.48,0.08,902.4,2508.8,2515.2,1465.6,3424,3948.8,2460.8,851.2
64,0,0.04,896,2451.2,2489.6,1356.8,3315.2,4268.8,2462.9333,894.9333
64,0.52,0.12,1004.8,2566.4,2547.2,1491.2,3308.8,3884.8,2467.2,812.8
64,0.48,0.16,1081.6,2489.6,2470.4,1555.2,3372.8,3916.8,2481.0667,778.66675
64,0.52,0.08,953.6,2617.6,2566.4,1472,3340.8,3948.8,2483.2,846.93335
64,0.19999999,0.04,864,2592,2560,1344,3328,4224,2485.3333,920.8889
64,0.35999998,0.19999999,1088,2457.6,2444.8,1657.6,3379.2,3884.8,2485.3333,764.4444
64,0.52,0.16,1011.2,2547.2,2489.6,1574.4,3411.2,3980.8,2502.4,810.6667
64,0.24,0.04,928,2579.2,2592,1331.2,3475.2,4121.6,2504.5334,916.62225
64,0.56,0.12,1043.2,2534.4,2496,1536,3449.6,3987.2,2507.7332,816
64,0.39999998,0.19999999,1075.2,2553.6,2476.8,1625.6,3436.8,3961.6,2521.5999,795.7334
64,0.28,0.04,896,2579.2,2592,1376,3494.4,4364.8,2550.4,942.9333
64,0.44,0.19999999,1056,2572.8,2566.4,1619.2,3456,4096,2561.0667,815.6445
64,0,0.23999998,1036.8,2470.4,2560,1689.6,3532.8,4179.2,2578.1335,851.9113
64,0.56,0.08,960,2624,2656,1523.2,3513.6,4192,2578.1335,891.02216
64,0.56,0.16,1049.6,2598.4,2643.2,1612.8,3571.2,4070.4,2590.9333,839.8221
64,0.32,0.04,883.2,2688,2604.8,1408,3539.2,4454.4,2596.2666,967.11115
64,0.59999996,0.12,1094.4,2707.2,2617.6,1561.6,3577.6,4019.2,2596.2668,845.51105
64,0.12,0.23999998,1088,2540.8,2566.4,1651.2,3596.8,4179.2,2603.7334,856.1779
64,0.35999998,0.04,857.6,2720,2688,1408,3596.8,4371.2,2606.9333,982.75555
64,0.16,0.23999998,1100.8,2534.4,2540.8,1689.6,3577.6,4224,2611.2,859.73334
64,0.08,0.23999998,1100.8,2592,2572.8,1632,3545.6,4230.4,2612.2666,850.48883
64,0.48,0.19999999,1081.6,2592,2547.2,1638.4,3539.2,4275.2,2612.2666,863.2889
64,0.52,0.19999999,1081.6,2566.4,2604.8,1638.4,3609.6,4172.8,2612.2666,852.62225
64,0.59999996,0.16,1043.2,2662.4,2630.4,1600,3648,4115.2,2616.5334,863.2889
64,0.39999998,0.04,934.4,2668.8,2643.2,1427.2,3667.2,4396.8,2622.9333,961.4222
64,0.04,0.23999998,1107.2,2598.4,2547.2,1760,3590.4,4140.8,2623.9998,827.7332
64,0.19999999,0.23999998,1068.8,2566.4,2598.4,1708.8,3654.4,4230.4,2637.8665,869.6888
64,0.24,0.23999998,1139.2,2617.6,2540.8,1683.2,3616,4332.8,2654.9333,879.64435
64,0.59999996,0.08,1062.4,2707.2,2771.2,1561.6,3571.2,4262.4,2656,896
64,0.28,0.23999998,1152,2636.8,2630.4,1676.8,3590.4,4307.2,2665.6,855.46674
64,0.64,0.12,1100.8,2803.2,2758.4,1670.4,3596.8,4179.2,2684.8,866.1333
64,0.64,0.16,1107.2,2771.2,2720,1568,3673.6,4345.6,2697.5999,906.66675
64,0.32,0.23999998,1120,2643.2,2649.6,1728,3654.4,4454.4,2708.2666,897.4222
64,0.35999998,0.23999998,1158.4,2656,2675.2,1657.6,3731.2,4428.8,2717.8665,908.0888
64,0.56,0.19999999,1158.4,2713.6,2681.6,1683.2,3718.4,4371.2,2721.0667,882.48883
64,0.44,0.04,883.2,2828.8,2835.2,1388.8,3686.4,4800,2737.0667,1067.3778
64,0.39999998,0.23999998,1145.6,2681.6,2688,1689.6,3820.8,4422.4,2741.3333,920.17773
64,0.68,0.12,1107.2,2816,2745.6,1689.6,3680,4486.4,2754.133,906.6667
64,0.59999996,0.19999999,1075.2,2752,2732.8,1734.4,3801.6,4467.2,2760.5332,915.91113
64,0.44,0.23999998,1152,2707.2,2771.2,1753.6,3872,4460.8,2786.1335,920.1778
64,0.64,0.08,1043.2,2796.8,2931.2,1574.4,3769.6,4678.4,2798.9336,994.1333
64,0.68,0.16,1177.6,2784,2803.2,1708.8,3884.8,4492.8,2808.5332,920.17773
64,0.48,0.23999998,1216,2688,2694.4,1772.8,3929.6,4582.4,2813.867,961.42236
64,0.64,0.19999999,1152,2822.4,2796.8,1734.4,3968,4544,2836.2668,946.48895
64,0.71999997,0.12,1036.8,2873.6,2892.8,1676.8,4032,4588.8,2850.1335,995.5555
64,0.52,0.23999998,1216,2860.8,2732.8,1683.2,3955.2,4691.2,2856.5332,979.2
64,0.48,0.04,908.8,2764.8,2803.2,1388.8,3718.4,5625.6,2868.2666,1202.4889
64,0.68,0.19999999,1171.2,2963.2,2854.4,1676.8,4019.2,4652.8,2889.5999,988.8
64,0.56,0.23999998,1222.4,2860.8,2764.8,1785.6,4019.2,4780.8,2905.5999,996.2666
64,0.68,0.08,1075.2,3020.8,2912,1619.2,3942.4,4915.2,2914.1335,1045.3334
64,0.52,0.04,960,2739.2,2809.6,1472,3916.8,5644.8,2923.7332,1238.0443
64,0.71999997,0.16,1196.8,2931.2,2982.4,1760,4070.4,4742.4,2947.2002,984.53326
64,0.12,0.28,1158.4,2828.8,2803.2,1856,4083.2,4972.8,2950.4001,1051.7333
64,0,0.28,1248,2841.6,2790.4,1913.6,4012.8,4947.2,2958.9333,1014.04443
64,0.59999996,0.23999998,1152,2905.6,2982.4,1766.4,4115.2,4908.8,2971.7334,1030.4
64,0.08,0.28,1222.4,2854.4,2809.6,1875.2,4179.2,4915.2,2976,1047.4667
64,0.04,0.28,1222.4,2822.4,2828.8,1939.2,4128,4921.6,2977.0667,1031.8223
64,0.32,0.28,1222.4,2886.4,2835.2,1913.6,4096,5049.6,3000.5332,1048.1777
64,0.19999999,0.28,1305.6,2886.4,2892.8,1862.4,4128,4972.8,3008,1028.2666
64,0.24,0.28,1248,2860.8,2886.4,1824,4153.6,5094.4,3011.2,1075.2001
64,0.16,0.28,1196.8,2841.6,2886.4,1990.4,4160,5017.6,3015.4668,1048.8889
64,0.28,0.28,1113.6,2841.6,2899.2,2028.8,4192,5088,3027.2,1075.1998
64,0.71999997,0.19999999,1171.2,2944,3065.6,1798.4,4281.6,5011.2,3045.3333,1074.1334
64,0.64,0.23999998,1260.8,2944,2969.6,1798.4,4326.4,5011.2,3051.7332,1078.0443
64,0.35999998,0.28,1305.6,2956.8,2880,1939.2,4320,5113.6,3085.8665,1087.2887
64,0.71999997,0.08,1075.2,3129.6,3225.6,1676.8,4377.6,5216,3116.8,1160.5333
64,0.76,0.12,1139.2,3206.4,3123.2,1715.2,4480,5126.4,3131.7334,1139.2
64,0.76,0.16,1216,3059.2,3129.6,1753.6,4473.6,5164.8,3132.8,1124.2667
64,0.39999998,0.28,1350.4,3020.8,3020.8,1939.2,4352,5241.6,3154.1335,1095.1112
64,0.68,0.23999998,1196.8,3059.2,3097.6,1939.2,4416,5254.4,3160.5332,1116.4445
64,0.44,0.28,1395.2,3046.4,2950.4,2048,4275.2,5305.6,3170.1335,1080.1779
64,0.48,0.28,1248,3065.6,3014.4,2054.4,4448,5337.6,3194.6667,1132.089
64,0.76,0.19999999,1184,3206.4,3212.8,1849.6,4518.4,5427.2,3233.0664,1159.8221
64,0.71999997,0.23999998,1260.8,3174.4,3206.4,1907.2,4595.2,5497.6,3273.5999,1181.8667
64,0.52,0.28,1363.2,3142.4,3104,2016,4576,5484.8,3281.0664,1166.2222
64,0.56,0.28,1273.6,3155.2,3142.4,2073.6,4550.4,5529.6,3287.4666,1168.3556
64,0.76,0.08,1203.2,3507.2,3340.8,1843.2,4652.8,5702.4,3374.9333,1245.8667
64,0.79999995,0.16,1228.8,3232,3372.8,1849.6,4876.8,5888,3408,1316.2666
64,0.59999996,0.28,1331.2,3270.4,3276.8,2112,4780.8,5747.2,3419.7332,1229.5111
64,0.64,0.28,1324.8,3360,3328,2028.8,4729.6,5926.4,3449.5999,1252.2666
64,0.76,0.23999998,1324.8,3244.8,3353.6,2028.8,4921.6,5843.2,3452.8,1286.4
64,0.79999995,0.12,1248,3340.8,3552,1856,4742.4,6220.8,3493.3333,1345.0665
64,0.79999995,0.19999999,1248,3385.6,3404.8,2054.4,5120,5811.2,3504,1307.7334
64,0.16,0.32,1395.2,3123.2,3283.2,2265.6,4921.6,6131.2,3520,1337.6001
64,0.04,0.32,1465.6,3257.6,3212.8,2105.6,4998.4,6182.4,3537.0667,1368.8888
64,0.12,0.32,1337.6,3238.4,3187.2,2355.2,4921.6,6220.8,3543.4668,1351.8223
64,0.68,0.28,1420.8,3353.6,3372.8,2105.6,5062.4,6003.2,3553.0671,1319.8223
64,0,0.32,1516.8,3366.4,3251.2,2105.6,5011.2,6150.4,3566.9333,1342.5778
64,0.19999999,0.32,1452.8,3302.4,3251.2,2252.8,5017.6,6182.4,3576.5334,1348.9779
64,0.08,0.32,1561.6,3257.6,3251.2,2361.6,4953.6,6092.8,3579.7332,1295.6444
64,0.28,0.32,1427.2,3360,3232,2208,5068.8,6233.6,3588.2666,1375.2887
64,0.24,0.32,1427.2,3219.2,3334.4,2240,5081.6,6284.8,3597.8665,1390.2222
64,0.32,0.32,1433.6,3276.8,3379.2,2252.8,5132.8,6323.2,3633.0664,1396.6221
64,0.39999998,0.32,1395.2,3385.6,3360,2195.2,5203.2,6560,3683.2,1465.6
64,0.35999998,0.32,1504,3385.6,3289.6,2393.6,5152,6425.6,3691.7334,1398.0444
