popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0,0.12,480,1472,1478.4,896,1996.8,2259.2,1430.4,494.93335
64,0.16,0.12,544,1497.6,1452.8,870.4,1984,2246.4,1432.5332,483.55557
64,0.08,0.12,556.8,1510.4,1452.8,844.8,2022.4,2265.6,1442.1333,494.22226
64,0.08,0.16,550.4,1484.8,1459.2,844.8,1996.8,2316.8,1442.1333,496.3556
64,0.12,0.16,505.6,1504,1459.2,883.2,2016,2284.8,1442.1333,498.4889
64,0.19999999,0.12,524.8,1555.2,1491.2,838.4,1958.4,2297.6,1444.2666,508.44446
64,0.04,0.12,512,1491.2,1491.2,851.2,2041.6,2284.8,1445.3334,509.15552
64,0.16,0.08,537.6,1561.6,1497.6,864,1913.6,2342.4,1452.7999,501.33334
64,0.16,0.16,531.2,1523.2,1529.6,857.6,2003.2,2272,1452.7999,505.6
64,0.08,0.08,556.8,1568,1516.8,793.6,1990.4,2297.6,1453.8667,519.11115
64,0,0.16,531.2,1529.6,1484.8,864,2028.8,2304,1457.0668,506.31113
64,0.12,0.12,550.4,1523.2,1484.8,902.4,1977.6,2316.8,1459.2001,488.5333
64,0.19999999,0.16,563.2,1497.6,1491.2,870.4,2016,2316.8,1459.2001,494.93335
64,0.32,0.12,524.8,1484.8,1536,844.8,1984,2387.2,1460.2666,516.9778
64,0.04,0.16,524.8,1504,1510.4,928,1984,2316.8,1461.3334,489.95557
64,0.04,0.08,499.2,1555.2,1516.8,838.4,2028.8,2342.4,1463.4668,529.7778
64,0.24,0.12,505.6,1612.8,1510.4,838.4,2035.2,2304,1467.7334,530.48883
64,0,0.19999999,512,1523.2,1516.8,857.6,2067.2,2374.4,1475.1998,526.93335
64,0,0.08,537.6,1529.6,1568,889.6,2016,2323.2,1477.3334,509.15552
64,0.28,0.12,544,1555.2,1536,883.2,2022.4,2323.2,1477.3334,509.15552
64,0.32,0.16,563.2,1529.6,1504,851.2,2060.8,2406.4,1485.8666,519.1111
64,0.24,0.16,582.4,1555.2,1497.6,902.4,2035.2,2361.6,1489.0668,497.77774
64,0.12,0.08,550.4,1574.4,1536,838.4,2048,2400,1491.2001,531.19995
64,0.28,0.08,531.2,1555.2,1568,825.6,2041.6,2425.6,1491.2001,541.86664
64,0.35999998,0.12,537.6,1561.6,1523.2,915.2,2060.8,2361.6,1493.3334,511.2889
64,0.04,0.19999999,582.4,1491.2,1548.8,921.6,2041.6,2380.8,1494.4,496
64,0.19999999,0.08,531.2,1619.2,1497.6,819.2,2099.2,2400,1494.4,546.1333
64,0.39999998,0.12,531.2,1523.2,1548.8,876.8,2080,2406.4,1494.4,526.93335
64,0.12,0.19999999,556.8,1516.8,1548.8,902.4,2048,2406.4,1496.5333,511.2889
64,0.08,0.19999999,531.2,1555.2,1536,928,2092.8,2342.4,1497.6,512
64,0.16,0.19999999,518.4,1536,1574.4,851.2,2099.2,2406.4,1497.6,541.86664
64,0.28,0.16,582.4,1568,1574.4,844.8,2073.6,2368,1501.8666,525.51117
64,0.24,0.19999999,563.2,1561.6,1529.6,902.4,2054.4,2444.8,1509.3334,517.6889
64,0.35999998,0.08,524.8,1587.2,1529.6,851.2,2073.6,2489.6,1509.3334,547.5555
64,0.19999999,0.19999999,524.8,1555.2,1587.2,921.6,2080,2419.2,1514.6666,527.6445
64,0.24,0.08,563.2,1600,1574.4,870.4,2086.4,2393.6,1514.6666,531.91113
64,0.39999998,0.16,524.8,1574.4,1555.2,870.4,2118.4,2444.8,1514.6666,544.7111
64,0.35999998,0.16,582.4,1568,1504,934.4,2144,2393.6,1521.0668,514.1333
64,0.28,0.19999999,556.8,1561.6,1561.6,864,2131.2,2457.6,1522.1334,541.1555
64,0.08,0.04,537.6,1606.4,1555.2,864,2099.2,2483.2,1524.2667,548.9777
64,0.32,0.08,544,1600,1561.6,915.2,2080,2457.6,1526.4,531.2
64,0,0.04,448,1625.6,1548.8,851.2,2156.8,2540.8,1528.5333,585.95557
64,0.12,0.04,512,1612.8,1548.8,812.8,2182.4,2515.2,1530.6666,578.8444
64,0.04,0.04,550.4,1651.2,1568,844.8,2144,2432,1531.7334,556.08887
64,0.44,0.16,569.6,1568,1561.6,915.2,2118.4,2464,1532.8002,526.9333
64,0.39999998,0.08,556.8,1638.4,1516.8,883.2,2182.4,2438.4,1536,550.39996
64,0.48,0.16,569.6,1632,1580.8,844.8,2118.4,2470.4,1536,552.5333
64,0.35999998,0.19999999,550.4,1593.6,1555.2,902.4,2163.2,2457.6,1537.0668,540.4444
64,0.16,0.04,524.8,1619.2,1574.4,832,2176,2566.4,1548.7999,580.26666
64,0.19999999,0.04,531.2,1593.6,1580.8,832,2176,2585.6,1549.8667,578.8444
