neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.5,64,2,0.00000001,0.6,0.2,1708.8,5702.4,5702.4,3289.6,10131.2,9964.8,6083.1997,2643.2
0.5,64,4,0.00000001,0.6,0.2,1708.8,5702.4,5702.4,3289.6,10131.2,9964.8,6083.1997,2643.2
0.5,64,6,0.00000001,0.6,0.2,1708.8,5702.4,5702.4,3289.6,10131.2,9964.8,6083.1997,2643.2
0.5,64,8,0.00000001,0.6,0.2,1708.8,5702.4,5702.4,3289.6,10131.2,9964.8,6083.1997,2643.2
0.5,64,2,0.00000001,0.4,0.2,1574.4,5657.6,5696,2931.2,10611.2,10912,6230.4,3020.7998
0.5,64,4,0.00000001,0.4,0.2,1574.4,5657.6,5696,2931.2,10611.2,10912,6230.4,3020.7998
0.5,64,6,0.00000001,0.4,0.2,1574.4,5657.6,5696,2931.2,10611.2,10912,6230.4,3020.7998
0.5,64,8,0.00000001,0.4,0.2,1574.4,5657.6,5696,2931.2,10611.2,10912,6230.4,3020.7998
0.5,64,2,0.00000001,0.8,0.2,2009.6,6476.8,6636.8,3814.4,10291.2,10764.8,6665.6,2574.9333
0.5,64,4,0.00000001,0.8,0.2,2009.6,6476.8,6636.8,3814.4,10291.2,10764.8,6665.6,2574.9333
0.5,64,6,0.00000001,0.8,0.2,2009.6,6476.8,6636.8,3814.4,10291.2,10764.8,6665.6,2574.9333
0.5,64,8,0.00000001,0.8,0.2,2009.6,6476.8,6636.8,3814.4,10291.2,10764.8,6665.6,2574.9333
0.5,64,2,0.00000001,0.2,0.2,1459.2,6284.8,6483.2,3116.8,11987.2,12300.8,6938.6665,3470.222
0.5,64,4,0.00000001,0.2,0.2,1459.2,6284.8,6483.2,3116.8,11987.2,12300.8,6938.6665,3470.222
0.5,64,6,0.00000001,0.2,0.2,1459.2,6284.8,6483.2,3116.8,11987.2,12300.8,6938.6665,3470.222
0.5,64,8,0.00000001,0.2,0.2,1459.2,6284.8,6483.2,3116.8,11987.2,12300.8,6938.6665,3470.222
0.75,64,2,0.00000001,0.8,0.2,2233.6,7724.8,7456,4576,12812.8,13120,7987.1997,3319.4666
0.75,64,4,0.00000001,0.8,0.2,2233.6,7724.8,7456,4576,12812.8,13120,7987.1997,3319.4666
0.75,64,6,0.00000001,0.8,0.2,2233.6,7724.8,7456,4576,12812.8,13120,7987.1997,3319.4666
0.75,64,8,0.00000001,0.8,0.2,2233.6,7724.8,7456,4576,12812.8,13120,7987.1997,3319.4666
0.75,64,2,0.00000001,0.6,0.2,1945.6,7449.6,7436.8,4524.8,13945.6,13721.6,8170.6665,3775.2888
0.75,64,4,0.00000001,0.6,0.2,1945.6,7449.6,7436.8,4524.8,13945.6,13721.6,8170.6665,3775.2888
0.75,64,6,0.00000001,0.6,0.2,1945.6,7449.6,7436.8,4524.8,13945.6,13721.6,8170.6665,3775.2888
0.75,64,8,0.00000001,0.6,0.2,1945.6,7449.6,7436.8,4524.8,13945.6,13721.6,8170.6665,3775.2888
0.75,64,2,0.00000001,0.4,0.2,1907.2,8236.8,8256,4761.6,15584,15667.2,9068.8,4371.2
0.75,64,4,0.00000001,0.4,0.2,1907.2,8236.8,8256,4761.6,15584,15667.2,9068.8,4371.2
0.75,64,6,0.00000001,0.4,0.2,1907.2,8236.8,8256,4761.6,15584,15667.2,9068.8,4371.2
0.75,64,8,0.00000001,0.4,0.2,1907.2,8236.8,8256,4761.6,15584,15667.2,9068.8,4371.2
1,64,2,0.00000001,0.8,0.2,2508.8,9312,9280,5414.4,15488,15763.2,9627.733,3998.578
1,64,4,0.00000001,0.8,0.2,2508.8,9312,9280,5414.4,15488,15763.2,9627.733,3998.578
1,64,6,0.00000001,0.8,0.2,2508.8,9312,9280,5414.4,15488,15763.2,9627.733,3998.578
1,64,8,0.00000001,0.8,0.2,2508.8,9312,9280,5414.4,15488,15763.2,9627.733,3998.578
1.125,64,2,0.00000001,0.8,0.2,2547.2,9971.2,10163.2,6009.6,16627.2,16960,10379.733,4275.9106
1.125,64,4,0.00000001,0.8,0.2,2547.2,9971.2,10163.2,6009.6,16627.2,16960,10379.733,4275.9106
1.125,64,6,0.00000001,0.8,0.2,2547.2,9971.2,10163.2,6009.6,16627.2,16960,10379.733,4275.9106
1.125,64,8,0.00000001,0.8,0.2,2547.2,9971.2,10163.2,6009.6,16627.2,16960,10379.733,4275.9106
1,64,2,0.00000001,0.6,0.2,2297.6,10016,9971.2,5958.4,17331.2,17286.4,10476.8,4554.6665
1,64,4,0.00000001,0.6,0.2,2297.6,10016,9971.2,5958.4,17331.2,17286.4,10476.8,4554.6665
1,64,6,0.00000001,0.6,0.2,2297.6,10016,9971.2,5958.4,17331.2,17286.4,10476.8,4554.6665
1,64,8,0.00000001,0.6,0.2,2297.6,10016,9971.2,5958.4,17331.2,17286.4,10476.8,4554.6665
0.75,64,2,0.00000001,0.2,0.2,2304,10201.6,10054.4,5574.4,17612.8,17267.2,10502.4,4625.067
0.75,64,4,0.00000001,0.2,0.2,2304,10201.6,10054.4,5574.4,17612.8,17267.2,10502.4,4625.067
0.75,64,6,0.00000001,0.2,0.2,2304,10201.6,10054.4,5574.4,17612.8,17267.2,10502.4,4625.067
0.75,64,8,0.00000001,0.2,0.2,2304,10201.6,10054.4,5574.4,17612.8,17267.2,10502.4,4625.067
1.125,64,2,0.00000001,0.6,0.2,2777.6,11328,11475.2,7443.2,18803.2,18912,11789.867,4711.8223
1.125,64,4,0.00000001,0.6,0.2,2777.6,11328,11475.2,7443.2,18803.2,18912,11789.867,4711.8223
1.125,64,6,0.00000001,0.6,0.2,2777.6,11328,11475.2,7443.2,18803.2,18912,11789.867,4711.8223
1.125,64,8,0.00000001,0.6,0.2,2777.6,11328,11475.2,7443.2,18803.2,18912,11789.867,4711.8223
1,64,2,0.00000001,0.4,0.2,2790.4,12230.4,11987.2,7020.8,19136,19078.4,12040.534,4774.4004
1,64,4,0.00000001,0.4,0.2,2790.4,12230.4,11987.2,7020.8,19136,19078.4,12040.534,4774.4004
1,64,6,0.00000001,0.4,0.2,2790.4,12230.4,11987.2,7020.8,19136,19078.4,12040.534,4774.4004
1,64,8,0.00000001,0.4,0.2,2790.4,12230.4,11987.2,7020.8,19136,19078.4,12040.534,4774.4004
0.5,64,2,0.00000001,0,0.2,1587.2,8697.6,9337.6,3392,25676.8,23968,12109.867,8475.022
0.5,64,4,0.00000001,0,0.2,1587.2,8697.6,9337.6,3392,25676.8,23968,12109.867,8475.022
0.5,64,6,0.00000001,0,0.2,1587.2,8697.6,9337.6,3392,25676.8,23968,12109.867,8475.022
0.5,64,8,0.00000001,0,0.2,1587.2,8697.6,9337.6,3392,25676.8,23968,12109.867,8475.022
1.5,64,2,0.00000001,0.8,0.2,3468.8,13196.8,12947.2,7833.6,20128,20396.8,12995.2,4912
1.5,64,4,0.00000001,0.8,0.2,3468.8,13196.8,12947.2,7833.6,20128,20396.8,12995.2,4912
1.5,64,6,0.00000001,0.8,0.2,3468.8,13196.8,12947.2,7833.6,20128,20396.8,12995.2,4912
1.5,64,8,0.00000001,0.8,0.2,3468.8,13196.8,12947.2,7833.6,20128,20396.8,12995.2,4912
1.125,64,2,0.00000001,0.4,0.2,3302.4,13555.2,13996.8,9696,20633.6,20646.4,13638.399,4787.1997
1.125,64,4,0.00000001,0.4,0.2,3302.4,13555.2,13996.8,9696,20633.6,20646.4,13638.399,4787.1997
