h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
16,0.6,64,1049.6,5350.4,5369.6,1510.4,23449.6,10067.2,7799.467,5972.6226
21,0.96,64,1094.4,5273.6,5126.4,1523.2,24140.8,9638.4,7799.4673,6060.0894
18,0.92,64,1056,5414.4,5145.6,1484.8,24179.2,9523.2,7800.533,6033.778
24,0.56,64,1036.8,5382.4,5689.6,1516.8,22361.6,10822.4,7801.6,5860.267
17,0.56,64,1075.2,5356.8,5657.6,1497.6,22764.8,10464,7802.6665,5874.489
23,0.76,64,1043.2,5376,5324.8,1523.2,23539.2,10009.6,7802.6665,5981.156
18,0.88,64,1075.2,5184,5164.8,1536,23648,10227.2,7805.8667,6087.8223
24,0.92,64,1068.8,4985.6,4947.2,1529.6,24243.2,10067.2,7806.933,6232.1772
21,0.48,64,1049.6,5920,5600,1548.8,21395.2,11334.4,7808,5704.5337
22,0.39999998,64,998.4,5932.8,5881.6,1516.8,21203.2,11321.6,7809.0664,5635.556
21,0.35999998,64,992,6028.8,5939.2,1555.2,21280,11078.4,7812.267,5577.9556
19,0.6,64,1036.8,5523.2,5516.8,1452.8,23033.6,10329.6,7815.4663,5910.7554
21,0.28,64,1024,5798.4,5881.6,1587.2,20985.6,11616,7815.467,5656.889
13,0.52,64,1056,5427.2,5600,1440,22944,10432,7816.533,5914.311
17,0.6,64,1049.6,5094.4,5228.8,1491.2,23660.8,10374.4,7816.5337,6134.045
13,0.72,64,966.4,5216,5216,1478.4,24051.2,9977.6,7817.6,6131.2007
21,0.72,64,1024,5260.8,5715.2,1484.8,23206.4,10233.6,7820.7993,5932.8003
22,0.84,64,1075.2,5260.8,5414.4,1548.8,23296,10336,7821.8667,5996.0884
19,0.68,64,1068.8,5536,5433.6,1510.4,23251.2,10137.6,7822.9336,5914.311
19,0.76,64,1056,5433.6,5433.6,1504,23385.6,10124.8,7822.9336,5954.845
23,0.35999998,64,1152,5830.4,6188.8,1542.4,20915.2,11315.2,7823.9995,5527.4663
22,0.96,64,998.4,5088,5184,1555.2,24281.6,9856,7827.1997,6161.067
23,0.8,64,1017.6,5388.8,5260.8,1497.6,23340.8,10457.6,7827.2007,6048
14,0.96,64,966.4,4889.6,4915.2,1433.6,25452.8,9318.4,7829.3335,6370.844
20,0.32,64,1011.2,5830.4,5920,1478.4,20742.4,12006.4,7831.4663,5695.289
14,0.56,64,1075.2,5292.8,5305.6,1465.6,23648,10220.8,7834.6665,6066.489
23,0.28,64,1036.8,5984,5798.4,1497.6,21036.8,11654.4,7834.6665,5673.9556
11,0.64,64,1004.8,5344,5753.6,1401.6,23628.8,9881.6,7835.733,5946.311
