popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0,0.12,601.6,1875.2,1830.4,1075.2,2464,2854.4,1783.4664,630.0445
64,0.04,0.12,627.2,1836.8,1811.2,998.4,2515.2,2937.6,1787.7334,649.95557
64,0,0.16,627.2,1862.4,1843.2,1056,2508.8,2848,1790.9332,632.8889
64,0.08,0.12,691.2,1881.6,1881.6,1056,2476.8,2912,1816.5333,628.62225
64,0.12,0.12,608,1920,1894.4,1094.4,2553.6,2912,1830.4,652.80005
64,0,0.08,652.8,1920,1900.8,1062.4,2572.8,2905.6,1835.7334,652.0889
64,0.04,0.16,646.4,1920,1868.8,1113.6,2579.2,2912,1840,640
64,0.04,0.08,652.8,1939.2,1952,1036.8,2540.8,2931.2,1842.1333,664.88885
64,0.08,0.16,704,1856,1958.4,1062.4,2598.4,2880,1843.1998,640.00006
64,0.08,0.08,633.6,1894.4,1952,1068.8,2572.8,2963.2,1847.4667,664.1778
64,0.12,0.08,684.8,1996.8,1900.8,1024,2572.8,3008,1864.5333,673.4223
64,0.16,0.12,672,1971.2,1913.6,1094.4,2598.4,2956.8,1867.7333,656.3555
64,0.12,0.16,684.8,1990.4,1964.8,1113.6,2560,2944,1876.2666,651.3778
64,0,0.19999999,640,1920,1932.8,1068.8,2662.4,3046.4,1878.4,682.6667
64,0.16,0.16,736,1971.2,1952,1158.4,2553.6,2988.8,1893.3334,630.75555
64,0.04,0.19999999,755.2,1888,1907.2,1062.4,2662.4,3104,1896.5332,661.3333
64,0.08,0.19999999,646.4,1900.8,1952,1126.4,2649.6,3116.8,1898.6666,674.8445
64,0.16,0.08,704,1977.6,1971.2,1062.4,2681.6,2995.2,1898.6666,676.9778
64,0.19999999,0.16,620.8,1958.4,2022.4,1113.6,2732.8,3033.6,1913.6,697.60004
64,0.19999999,0.12,652.8,2035.2,2028.8,1113.6,2598.4,3072,1916.7999,689.0667
64,0,0.04,608,2009.6,1964.8,1011.2,2707.2,3238.4,1923.2002,742.3999
64,0.12,0.19999999,582.4,1977.6,1958.4,1139.2,2764.8,3123.2,1924.2666,708.9778
64,0.19999999,0.08,640,1996.8,2150.4,1088,2713.6,3014.4,1933.8668,713.2444
64,0.24,0.12,678.4,2016,2003.2,1113.6,2707.2,3148.8,1944.5332,699.0223
64,0,0.23999998,691.2,1939.2,1945.6,1100.8,2777.6,3264,1953.0668,711.82227
64,0.16,0.19999999,716.8,2060.8,2003.2,1139.2,2694.4,3174.4,1964.8002,691.1999
64,0.24,0.08,704,2060.8,1996.8,1139.2,2732.8,3168,1966.9332,696.889
64,0.28,0.08,627.2,2073.6,2092.8,1088,2720,3212.8,1969.0665,740.97784
64,0.08,0.04,659.2,2054.4,1996.8,1056,2732.8,3328,1971.2001,742.39996
64,0.04,0.04,595.2,2016,2080,1017.6,2739.2,3417.6,1977.6,780.8
64,0.12,0.04,652.8,1977.6,1990.4,1062.4,2700.8,3481.6,1977.6,746.6667
64,0.24,0.16,748.8,2041.6,2067.2,1126.4,2816,3110.4,1985.0668,698.31104
64,0.19999999,0.19999999,742.4,2016,2016,1081.6,2796.8,3270.4,1987.1998,716.80005
64,0.04,0.23999998,723.2,2009.6,1990.4,1216,2745.6,3257.6,1990.4,680.5334
64,0.28,0.16,716.8,2054.4,2086.4,1171.2,2758.4,3206.4,1998.9332,703.2889
64,0.28,0.12,729.6,2092.8,2073.6,1171.2,2796.8,3206.4,2011.7334,707.5555
64,0.24,0.19999999,742.4,2080,2124.8,1158.4,2828.8,3148.8,2013.8667,708.9778
64,0.32,0.12,723.2,2080,2092.8,1184,2764.8,3308.8,2025.6,714.66675
64,0.32,0.16,697.6,2092.8,2124.8,1203.2,2764.8,3276.8,2026.6666,717.51117
64,0.35999998,0.12,678.4,2112,2112,1196.8,2912,3264,2045.8667,738.8444
64,0.19999999,0.04,595.2,2169.6,2195.2,1062.4,2816,3456,2049.0667,813.51117
64,0.32,0.08,748.8,2163.2,2105.6,1216,2809.6,3283.2,2054.4001,714.6667
64,0.28,0.19999999,729.6,2073.6,2144,1184,2937.6,3283.2,2058.6667,734.5778
64,0.16,0.04,697.6,2144,2144,1113.6,2899.2,3379.2,2062.9333,771.5555
64,0.08,0.23999998,736,2080,2067.2,1273.6,2867.2,3379.2,2067.2,708.26666
64,0.35999998,0.16,755.2,2144,2112,1216,2905.6,3340.8,2078.9333,728.8889
64,0.16,0.23999998,723.2,2099.2,2131.2,1177.6,2924.8,3456,2085.3333,756.62225
64,0.35999998,0.08,716.8,2144,2163.2,1196.8,2912,3379.2,2085.3333,752.3555
64,0.12,0.23999998,697.6,2131.2,2150.4,1190.4,2924.8,3449.6,2090.6667,764.4444
64,0.32,0.19999999,787.2,2080,2124.8,1267.2,2944,3398.4,2100.2666,722.1333
64,0.39999998,0.12,793.6,2163.2,2163.2,1273.6,2892.8,3347.2,2105.6,714.6667
64,0.39999998,0.16,697.6,2233.6,2208,1203.2,2963.2,3360,2110.9333,773.68896
64,0.19999999,0.23999998,748.8,2150.4,2131.2,1260.8,2995.2,3404.8,2115.2,740.2666
64,0.28,0.04,697.6,2304,2214.4,1030.4,2976,3475.2,2116.2668,834.8444
64,0.24,0.04,729.6,2208,2150.4,1139.2,2931.2,3552,2118.4001,789.3333
64,0.24,0.23999998,761.6,2105.6,2144,1312,2956.8,3539.2,2136.5334,743.4666
64,0.35999998,0.19999999,755.2,2214.4,2144,1152,3027.2,3558.4,2141.8665,792.1778
64,0.39999998,0.08,716.8,2233.6,2214.4,1235.2,2969.6,3539.2,2151.4666,783.64453
64,0.44,0.16,723.2,2278.4,2246.4,1312,2950.4,3468.8,2163.2,763.73334
64,0.44,0.12,748.8,2278.4,2176,1273.6,2976,3532.8,2164.2668,768.7111
64,0.04,0.28,774.4,2176,2124.8,1216,3116.8,3686.4,2182.4001,812.8
64,0,0.28,755.2,2176,2182.4,1286.4,3078.4,3641.6,2186.6667,782.2222
64,0.35999998,0.04,684.8,2259.2,2265.6,1152,3174.4,3584,2186.6667,845.51105
64,0.28,0.23999998,780.8,2259.2,2227.2,1331.2,3046.4,3494.4,2189.867,755.91095
64,0.44,0.08,768,2291.2,2265.6,1209.6,3065.6,3552,2192,802.13336
64,0.39999998,0.19999999,704,2297.6,2284.8,1248,3084.8,3539.2,2193.0667,811.37775
64,0.32,0.04,729.6,2233.6,2316.8,1152,3052.8,3718.4,2200.5332,839.82227
64,0.08,0.28,704,2201.6,2188.8,1260.8,3168,3699.2,2203.7334,819.91113
64,0.39999998,0.04,736,2272,2316.8,1241.6,3123.2,3558.4,2208,812.8
64,0.32,0.23999998,812.8,2227.2,2163.2,1241.6,3161.6,3680,2214.4001,808.5334
64,0.48,0.16,768,2316.8,2233.6,1312,3078.4,3577.6,2214.4001,782.9333
64,0.48,0.08,761.6,2393.6,2291.2,1260.8,3084.8,3532.8,2220.8,806.39996
64,0.12,0.28,768,2233.6,2208,1248,3193.6,3731.2,2230.4001,822.4001
64,0.44,0.19999999,755.2,2272,2265.6,1382.4,3097.6,3635.2,2234.6667,777.24445
64,0.35999998,0.23999998,704,2348.8,2291.2,1312,3193.6,3692.8,2257.0667,832.7111
64,0.48,0.12,761.6,2425.6,2291.2,1356.8,3136,3571.2,2257.0667,798.5778
64,0.16,0.28,748.8,2163.2,2278.4,1312,3187.2,3936,2270.9333,862.9333
64,0.44,0.04,736,2310.4,2348.8,1184,3289.6,3776,2274.1335,876.08887
64,0.52,0.12,748.8,2361.6,2412.8,1337.6,3212.8,3648,2286.9333,829.1556
64,0.19999999,0.28,774.4,2201.6,2201.6,1241.6,3315.2,4032,2294.4001,919.4666
64,0.48,0.19999999,787.2,2432,2329.6,1344,3212.8,3692.8,2299.7332,822.7557
64,0.39999998,0.23999998,787.2,2310.4,2361.6,1331.2,3321.6,3801.6,2318.9333,842.66675
64,0.56,0.12,742.4,2374.4,2438.4,1376,3264,3718.4,2318.9333,839.8222
64,0.52,0.16,774.4,2419.2,2425.6,1440,3264,3692.8,2336,819.2
