cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.52,0.12,64,2496,6195.2,6246.4,3923.2,8518.4,10028.8,6234.6665,2029.8666
0.56,0.12,64,2457.6,6355.2,6150.4,3744,8595.2,10112,6235.734,2118.4001
0.48,0.12,64,2566.4,6451.2,6316.8,4000,8633.6,9894.4,6310.4,2018.1334
0.44,0.12,64,2534.4,6406.4,6355.2,3904,8761.6,10054.4,6336,2077.8667
0.48,0.08,64,2336,6438.4,6259.2,3718.4,8876.8,10720,6391.467,2286.9333
0.59999996,0.12,64,2355.2,6374.4,6304,3590.4,8870.4,10937.6,6405.3335,2332.4443
0.44,0.08,64,2457.6,6457.6,6617.6,3744,9004.8,10489.6,6461.867,2242.133
0.56,0.16,64,2700.8,6444.8,6374.4,4115.2,8844.8,10387.2,6477.8667,2092.0889
0.39999998,0.12,64,2624,6585.6,6534.4,4275.2,8960,10156.8,6522.6665,2048.711
0.52,0.16,64,2700.8,6496,6604.8,4140.8,8819.2,10380.8,6523.733,2077.8665
0.59999996,0.16,64,2707.2,6329.6,6496,3936,9158.4,10566.4,6532.267,2220.089
0.52,0.08,64,2380.8,6547.2,6316.8,3731.2,8992,11596.8,6594.1333,2466.8445
0.39999998,0.08,64,2553.6,6873.6,6592,3801.6,9017.6,10739.2,6596.267,2280.5332
0.48,0.16,64,2822.4,6636.8,6592,4313.6,9043.2,10387.2,6632.533,2056.5334
0.44,0.16,64,2950.4,6643.2,6662.4,4396.8,9075.2,10476.8,6700.8003,2050.1335
0.35999998,0.08,64,2624,6732.8,6854.4,4121.6,9235.2,10713.6,6713.6,2227.2
0.35999998,0.12,64,2809.6,6694.4,6854.4,4384,9209.6,10387.2,6723.1997,2093.8665
0.64,0.16,64,2617.6,6496,6585.6,3820.8,9395.2,11641.6,6759.4663,2505.9553
0.39999998,0.16,64,2873.6,6771.2,6944,4499.2,9267.2,10745.6,6850.133,2135.4666
