cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.59999996,0.12,64,1459.2,3916.8,3955.2,2284.8,5401.6,6464,3913.5999,1361.0668
0.56,0.12,64,1459.2,3884.8,3993.6,2412.8,5465.6,6387.2,3933.8665,1348.2667
0.56,0.08,64,1427.2,4019.2,3980.8,2272,5318.4,6668.8,3947.7332,1398.7555
0.52,0.12,64,1529.6,3974.4,4012.8,2419.2,5555.2,6227.2,3953.0664,1319.1112
0.64,0.12,64,1516.8,3942.4,4006.4,2284.8,5593.6,6483.2,3971.2,1389.8667
0.68,0.16,64,1472,4121.6,4038.4,2348.8,5574.4,6502.4,4009.5999,1399.4667
0.48,0.08,64,1420.8,4262.4,3987.2,2348.8,5529.6,6566.4,4019.2002,1433.6
0.52,0.08,64,1465.6,4192,4102.4,2348.8,5497.6,6534.4,4023.4668,1410.8444
0.68,0.12,64,1478.4,3968,3993.6,2201.6,5657.6,6944,4040.5332,1506.8444
0.48,0.12,64,1529.6,4230.4,4115.2,2553.6,5452.8,6368,4041.6003,1333.3331
0.59999996,0.16,64,1529.6,4153.6,4179.2,2444.8,5574.4,6432,4052.2666,1376.7113
0.64,0.16,64,1529.6,4096,4038.4,2425.6,5696,6592,4062.9333,1398.3999
0.59999996,0.08,64,1414.4,4268.8,4108.8,2304,5516.8,6867.2,4080,1480.5332
0.56,0.16,64,1638.4,4108.8,4064,2496,5644.8,6553.6,4084.2666,1351.4667
0.44,0.08,64,1568,4198.4,4198.4,2380.8,5632,6585.6,4093.8665,1412.9779
0.52,0.16,64,1606.4,4102.4,4153.6,2636.8,5619.2,6547.2,4110.9336,1329.0668
0.44,0.12,64,1568,4243.2,4204.8,2566.4,5664,6483.2,4121.6,1369.6
0.71999997,0.16,64,1536,4128,4108.8,2240,5676.8,7148.8,4139.733,1515.3776
0.48,0.16,64,1644.8,4179.2,4275.2,2656,5702.4,6604.8,4177.0664,1351.1112
0.39999998,0.12,64,1644.8,4320,4179.2,2508.8,5753.6,6726.4,4188.8003,1411.1998
0.39999998,0.08,64,1510.4,4313.6,4326.4,2515.2,5875.2,6732.8,4212.267,1466.311
0.71999997,0.12,64,1388.8,4140.8,4249.6,2278.4,6022.4,7379.2,4243.1997,1640.5336
0.44,0.16,64,1612.8,4416,4204.8,2732.8,5817.6,6732.8,4252.8003,1402.6666
0.68,0.19999999,64,1657.6,4243.2,4230.4,2502.4,5952,6950.4,4256,1463.4667
0.64,0.19999999,64,1606.4,4320,4288,2585.6,5945.6,6873.6,4269.8667,1449.2445
0.71999997,0.19999999,64,1625.6,4179.2,4300.8,2508.8,6182.4,6950.4,4291.1997,1519.9999
0.35999998,0.12,64,1734.4,4371.2,4371.2,2668.8,5958.4,6739.2,4307.1997,1403.7334
0.59999996,0.19999999,64,1728,4371.2,4307.2,2681.6,5990.4,7008,4347.7334,1442.1333
0.35999998,0.08,64,1670.4,4531.2,4435.2,2643.2,5984,6886.4,4358.4,1467.7334
0.68,0.08,64,1337.6,4307.2,4416,2144,6297.6,7654.4,4359.467,1763.1998
0.39999998,0.16,64,1587.2,4416,4377.6,2828.8,5990.4,6976,4362.6665,1436.4445
0.56,0.19999999,64,1664,4396.8,4358.4,2732.8,6099.2,6924.8,4362.6665,1444.2666
0.76,0.19999999,64,1504,4390.4,4332.8,2252.8,6176,7590.4,4374.4,1677.8666
0.76,0.16,64,1382.4,4294.4,4403.2,2105.6,6246.4,8147.2,4429.8667,1844.6222
0.52,0.19999999,64,1728,4358.4,4326.4,2841.6,6195.2,7168,4436.267,1496.889
0.32,0.08,64,1657.6,4608,4492.8,2572.8,6233.6,7065.6,4438.4,1548.7999
0.48,0.19999999,64,1753.6,4473.6,4358.4,2931.2,6137.6,7129.6,4464,1449.6001
0.39999998,0.04,64,1497.6,4627.2,4416,2489.6,6176,7680,4481.067,1680
0.35999998,0.16,64,1772.8,4492.8,4537.6,2969.6,6131.2,7078.4,4497.067,1418.6666
0.32,0.12,64,1760,4633.6,4608,2816,6278.4,7097.6,4532.2666,1496.1777
0.76,0.23999998,64,1574.4,4582.4,4460.8,2393.6,6636.8,7705.6,4558.933,1749.3334
0.35999998,0.04,64,1580.8,4806.4,4806.4,2636.8,6406.4,7392,4604.8,1664
0.44,0.19999999,64,1824,4601.6,4582.4,3008,6406.4,7251.2,4612.267,1477.6891
0.71999997,0.23999998,64,1670.4,4678.4,4544,2707.2,6425.6,7916.8,4657.0664,1683.1998
0.28,0.08,64,1843.2,4691.2,4800,2828.8,6502.4,7283.2,4658.1333,1548.0889
0.39999998,0.19999999,64,1792,4761.6,4640,2995.2,6483.2,7328,4666.6665,1524.2667
0.68,0.23999998,64,1824,4665.6,4614.4,2848,6489.6,7571.2,4668.8003,1574.4
0.32,0.16,64,1830.4,4742.4,4768,3020.8,6387.2,7334.4,4680.5337,1503.2887
0.28,0.12,64,1747.2,4838.4,4800,2931.2,6483.2,7347.2,4691.1997,1568.0001
0.32,0.04,64,1606.4,4793.6,4947.2,2688,6553.6,7648,4706.1333,1705.9557
0.64,0.23999998,64,1843.2,4646.4,4716.8,2956.8,6496,7680,4723.1997,1576.5332
0.59999996,0.23999998,64,1932.8,4774.4,4768,3027.2,6553.6,7808,4810.6665,1580.0889
0.35999998,0.19999999,64,1900.8,4934.4,4755.2,3161.6,6611.2,7558.4,4820.2666,1547.7334
0.28,0.04,64,1747.2,5024,4972.8,2752,6764.8,7980.8,4873.6,1749.3331
0.28,0.16,64,1945.6,4928,4966.4,3206.4,6630.4,7616,4882.1333,1537.4222
0.79999995,0.23999998,64,1446.4,4505.6,4550.4,2361.6,7411.2,9088,4893.8667,2237.1555
0.56,0.23999998,64,1881.6,4806.4,4812.8,3097.6,6809.6,8083.2,4915.1997,1687.4667
0.24,0.08,64,1804.8,5120,5158.4,2937.6,6848,7801.6,4945.0664,1715.9111
0.32,0.19999999,64,1875.2,4915.2,4972.8,3148.8,6873.6,7993.6,4963.1997,1650.1333
0.24,0.12,64,1932.8,5100.8,5132.8,3097.6,6771.2,7795.2,4971.733,1637.689
0.76,0.28,64,1817.6,4768,5030.4,2579.2,7187.2,8480,4977.067,1922.1333
0.52,0.23999998,64,2003.2,4825.6,4844.8,3315.2,6899.2,8096,4997.3335,1666.8446
0.79999995,0.28,64,1625.6,4864,4908.8,2457.6,7475.2,8729.6,5010.1333,2061.511
0.48,0.23999998,64,1964.8,4908.8,4844.8,3340.8,6995.2,8217.6,5045.333,1707.3776
0.24,0.04,64,1811.2,5254.4,5331.2,2880,6918.4,8396.8,5098.6665,1835.3779
0.44,0.23999998,64,1907.2,4960,5011.2,3276.8,7123.2,8313.6,5098.6665,1746.4888
0.24,0.16,64,2022.4,5203.2,5216,3257.6,7014.4,8025.6,5123.1997,1655.4668
0.28,0.19999999,64,1984,5100.8,5158.4,3340.8,6976,8198.4,5126.4,1651.2001
0.71999997,0.28,64,2041.6,5184,5017.6,2752,7334.4,8524.8,5142.4,1872
0.39999998,0.23999998,64,2016,5094.4,5088,3366.4,7321.6,8345.6,5205.3335,1752.1777
0.19999999,0.12,64,1990.4,5433.6,5433.6,3244.8,7321.6,8140.8,5260.8003,1762.1332
0.19999999,0.08,64,1920,5446.4,5536,3136,7308.8,8294.4,5273.6,1830.4
0.68,0.28,64,2150.4,5376,5260.8,3091.2,7353.6,8601.6,5305.6,1804.8002
0.35999998,0.23999998,64,1996.8,5216,5190.4,3552,7462.4,8704,5353.6,1819.7334
0.24,0.19999999,64,2016,5408,5440,3456,7475.2,8646.4,5406.933,1780.6224
0.19999999,0.04,64,1932.8,5548.8,5497.6,3078.4,7545.6,8896,5416.533,1940.6224
0.84,0.28,64,1427.2,4928,4710.4,2182.4,8787.2,10496,5421.8667,2813.1555
0.32,0.23999998,64,2124.8,5286.4,5331.2,3443.2,7539.2,8883.2,5434.6665,1851.0221
0.19999999,0.16,64,2092.8,5548.8,5593.6,3334.4,7526.4,8524.8,5436.8003,1815.4664
0.79999995,0.32,64,1824,5350.4,5433.6,2624,8441.6,9164.8,5473.0664,2220.0886
0.64,0.28,64,2246.4,5491.2,5248,3276.8,7673.6,9049.6,5497.6,1909.3334
0.84,0.32,64,1670.4,5113.6,5171.2,2412.8,9088,9734.4,5531.733,2586.3113
0.59999996,0.28,64,2150.4,5369.6,5440,3436.8,7904,9363.2,5610.6665,2015.2887
0.28,0.23999998,64,2220.8,5478.4,5574.4,3481.6,7865.6,9068.8,5614.933,1901.5111
0.76,0.32,64,2099.2,5369.6,5529.6,2982.4,8275.2,9644.8,5650.1333,2206.578
0.56,0.28,64,2131.2,5337.6,5318.4,3596.8,7916.8,9728,5671.4663,2100.622
0.16,0.08,64,2022.4,5894.4,5926.4,3500.8,7948.8,8921.6,5702.4,1960.5332
0.19999999,0.19999999,64,2220.8,5715.2,5734.4,3692.8,8096,9132.8,5765.3335,1899.3778
0.52,0.28,64,2259.2,5548.8,5433.6,3724.8,8019.2,9792,5796.267,2072.889
0.48,0.28,64,2176,5619.2,5395.2,3769.6,8076.8,9772.8,5801.6,2082.133
0.16,0.12,64,2182.4,6054.4,5977.6,3443.2,8032,9222.4,5818.6665,2003.9115
0.16,0.04,64,1977.6,6048,6099.2,3430.4,8134.4,9305.6,5832.5337,2085.6887
0.24,0.23999998,64,2233.6,5772.8,5772.8,3756.8,8198.4,9401.6,5856,1962.6666
0.71999997,0.32,64,2233.6,5798.4,5798.4,3334.4,8268.8,9798.4,5872,2107.7334
0.16,0.16,64,2150.4,6144,6105.6,3584,8134.4,9395.2,5918.9336,2034.4888
0.44,0.28,64,2220.8,5612.8,5561.6,3852.8,8377.6,9939.2,5927.467,2153.9556
0.84,0.35999998,64,2035.2,5958.4,5651.2,2649.6,9094.4,10406.4,5965.867,2523.0225
0.39999998,0.28,64,2278.4,5555.2,5721.6,3891.2,8480,9939.2,5977.6,2154.6667
0.88,0.32,64,1356.8,5043.2,4992,2073.6,12172.8,10259.2,5982.933,3488.711
