popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.12,0.32,inf,inf,inf,inf
64,0.12,0.35999998,inf,inf,inf,inf
64,0.12,0.39999998,inf,inf,inf,inf
64,0.12,0.43999997,inf,inf,inf,inf
64,0.12,0.48,inf,inf,inf,inf
64,0.12,0.52,119411.2,inf,inf,inf
64,0.12,0.56,inf,inf,inf,inf
64,0.12,0.6,330470.4,inf,inf,inf
64,0.12,0.64,inf,inf,inf,inf
64,0.12,0.68,inf,inf,inf,inf
64,0.12,0.72,inf,inf,inf,inf
64,0.12,0.76,inf,inf,inf,inf
64,0.12,0.8,inf,inf,inf,inf
64,0.12,0.84,inf,inf,inf,inf
64,0.12,0.88,inf,inf,inf,inf
64,0.12,0.92,inf,inf,inf,inf
64,0.12,0.96,inf,inf,inf,inf
64,0.16,0.04,inf,inf,inf,inf
64,0.16,0.08,inf,inf,inf,inf
64,0.16,0.12,inf,inf,inf,inf
64,0.16,0.16,inf,inf,inf,inf
64,0.16,0.19999999,inf,inf,inf,inf
64,0.16,0.23999998,inf,inf,inf,inf
64,0.16,0.28,inf,inf,inf,inf
64,0.16,0.32,inf,inf,inf,inf
64,0.16,0.35999998,inf,inf,inf,inf
64,0.16,0.39999998,inf,inf,inf,inf
64,0.16,0.43999997,inf,inf,inf,inf
64,0.16,0.48,inf,inf,inf,inf
64,0.16,0.52,120793.6,inf,inf,inf
64,0.16,0.56,195494.4,inf,inf,inf
64,0.16,0.6,343360,inf,inf,inf
64,0.16,0.64,inf,inf,inf,inf
64,0.16,0.68,inf,inf,inf,inf
64,0.16,0.72,inf,inf,inf,inf
64,0.16,0.76,inf,inf,inf,inf
64,0.16,0.8,inf,inf,inf,inf
64,0.16,0.84,inf,inf,inf,inf
64,0.16,0.88,inf,inf,inf,inf
64,0.16,0.92,inf,inf,inf,inf
64,0.16,0.96,inf,inf,inf,inf
64,0.19999999,0.04,inf,inf,inf,inf
64,0.19999999,0.08,inf,inf,inf,inf
64,0.19999999,0.12,inf,inf,inf,inf
64,0.19999999,0.16,inf,inf,inf,inf
64,0.19999999,0.19999999,inf,inf,inf,inf
64,0.19999999,0.23999998,inf,inf,inf,inf
64,0.19999999,0.28,inf,inf,inf,inf
64,0.19999999,0.32,inf,inf,inf,inf
64,0.19999999,0.35999998,inf,inf,inf,inf
64,0.19999999,0.39999998,inf,inf,inf,inf
64,0.19999999,0.43999997,inf,inf,inf,inf
64,0.19999999,0.48,inf,inf,inf,inf
64,0.19999999,0.52,inf,inf,inf,inf
64,0.19999999,0.56,205510.4,inf,inf,inf
64,0.19999999,0.6,350796.8,inf,inf,inf
64,0.19999999,0.64,inf,inf,inf,inf
64,0.19999999,0.68,inf,inf,inf,inf
64,0.19999999,0.72,inf,inf,inf,inf
64,0.19999999,0.76,inf,inf,inf,inf
64,0.19999999,0.8,inf,inf,inf,inf
64,0.19999999,0.84,inf,inf,inf,inf
64,0.19999999,0.88,inf,inf,inf,inf
64,0.19999999,0.92,inf,inf,inf,inf
64,0.19999999,0.96,inf,inf,inf,inf
64,0.24,0.04,inf,inf,inf,inf
64,0.24,0.08,inf,inf,inf,inf
64,0.24,0.12,inf,inf,inf,inf
64,0.24,0.16,inf,inf,inf,inf
64,0.24,0.19999999,inf,inf,inf,inf
64,0.24,0.23999998,inf,inf,inf,inf
64,0.24,0.28,inf,inf,inf,inf
64,0.24,0.32,inf,inf,inf,inf
64,0.24,0.35999998,inf,inf,inf,inf
64,0.24,0.39999998,inf,inf,inf,inf
64,0.24,0.43999997,inf,inf,inf,inf
64,0.24,0.48,inf,inf,inf,inf
64,0.24,0.52,130080,inf,inf,inf
64,0.24,0.56,203225.6,inf,inf,inf
64,0.24,0.6,361977.6,inf,inf,inf
64,0.24,0.64,inf,inf,inf,inf
64,0.24,0.68,inf,inf,inf,inf
64,0.24,0.72,inf,inf,inf,inf
64,0.24,0.76,inf,inf,inf,inf
64,0.24,0.8,inf,inf,inf,inf
64,0.24,0.84,inf,inf,inf,inf
64,0.24,0.88,inf,inf,inf,inf
