popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.44,0.12,748.8,2278.4,2176,1273.6,2976,3526.4,2163.2002,767.99994
64,0.00000001,0.44,0.16,723.2,2278.4,2246.4,1312,2950.4,3468.8,2163.2,763.73334
64,0.00000001,0.04,0.28,774.4,2176,2124.8,1216,3116.8,3686.4,2182.4001,812.8
64,0.00000001,0,0.28,755.2,2176,2182.4,1286.4,3065.6,3641.6,2184.5332,779.37775
64,0.00000001,0.28,0.23999998,780.8,2259.2,2227.2,1331.2,3046.4,3494.4,2189.867,755.91095
64,0.00000001,0.35999998,0.04,684.8,2259.2,2284.8,1152,3174.4,3584,2189.8665,847.64453
64,0.00000001,0.32,0.04,729.6,2233.6,2316.8,1152,3052.8,3667.2,2192,834.13336
64,0.00000001,0.44,0.08,768,2291.2,2265.6,1209.6,3065.6,3552,2192,802.13336
64,0.00000001,0.39999998,0.19999999,704,2297.6,2284.8,1248,3084.8,3539.2,2193.0667,811.37775
64,0.00000001,0.08,0.28,704,2201.6,2188.8,1260.8,3168,3699.2,2203.7334,819.91113
64,0.00000001,0.39999998,0.04,736,2272,2316.8,1241.6,3123.2,3558.4,2208,812.8
64,0.00000001,0.48,0.16,768,2316.8,2233.6,1312,3078.4,3577.6,2214.4001,782.9333
64,0.00000001,0.32,0.23999998,812.8,2227.2,2163.2,1241.6,3161.6,3692.8,2216.5334,810.6667
64,0.00000001,0.48,0.08,761.6,2393.6,2291.2,1260.8,3084.8,3532.8,2220.8,806.39996
64,0.00000001,0.12,0.28,768,2227.2,2208,1248,3193.6,3737.6,2230.4001,823.4668
64,0.00000001,0.44,0.19999999,755.2,2272,2265.6,1382.4,3097.6,3635.2,2234.6667,777.24445
64,0.00000001,0.35999998,0.23999998,704,2348.8,2291.2,1312,3193.6,3692.8,2257.0667,832.7111
64,0.00000001,0.48,0.12,761.6,2425.6,2291.2,1356.8,3136,3571.2,2257.0667,798.5778
64,0.00000001,0.16,0.28,748.8,2163.2,2278.4,1312,3187.2,3936,2270.9333,862.9333
64,0.00000001,0.44,0.04,736,2310.4,2348.8,1184,3289.6,3776,2274.1335,876.08887
64,0.00000001,0.52,0.12,748.8,2361.6,2412.8,1337.6,3212.8,3648,2286.9333,829.1556
64,0.00000001,0.19999999,0.28,774.4,2201.6,2201.6,1241.6,3315.2,4032,2294.4001,919.4666
64,0.00000001,0.48,0.19999999,787.2,2432,2329.6,1344,3212.8,3692.8,2299.7332,822.7557
64,0.00000001,0.39999998,0.23999998,787.2,2310.4,2361.6,1331.2,3321.6,3801.6,2318.9333,842.66675
64,0.00000001,0.56,0.12,742.4,2374.4,2438.4,1376,3264,3718.4,2318.9333,839.8222
64,0.00000001,0.52,0.16,780.8,2419.2,2425.6,1440,3264,3692.8,2337.0667,817.77783
64,0.00000001,0.52,0.08,774.4,2444.8,2432,1299.2,3321.6,3782.4,2342.4001,870.39996
64,0.00000001,0.44,0.23999998,864,2400,2470.4,1299.2,3264,3763.2,2343.4666,841.24445
64,0.00000001,0.48,0.04,787.2,2528,2393.6,1280,3385.6,3712,2347.7334,876.08887
64,0.00000001,0.28,0.28,832,2323.2,2323.2,1241.6,3424,4025.6,2361.5999,908.8
64,0.00000001,0.24,0.28,761.6,2374.4,2342.4,1420.8,3321.6,3974.4,2365.867,857.60004
64,0.00000001,0.56,0.16,819.2,2451.2,2432,1408,3366.4,3756.8,2372.2666,839.11115
64,0.00000001,0.56,0.08,736,2560,2540.8,1280,3398.4,3852.8,2394.6665,924.4445
64,0.00000001,0.52,0.19999999,851.2,2438.4,2380.8,1504,3372.8,3916.8,2410.6667,832
64,0.00000001,0.48,0.23999998,832,2515.2,2444.8,1484.8,3360,3929.6,2427.7334,846.22217
64,0.00000001,0.52,0.04,780.8,2508.8,2400,1401.6,3436.8,4096,2437.3333,909.8667
64,0.00000001,0.32,0.28,832,2464,2419.2,1472,3379.2,4070.4,2439.4668,865.06665
64,0.00000001,0.56,0.04,704,2534.4,2611.2,1324.8,3513.6,3974.4,2443.7334,952.88885
64,0.00000001,0.35999998,0.28,780.8,2451.2,2400,1446.4,3552,4102.4,2455.4668,914.48895
64,0.00000001,0.59999996,0.12,832,2521.6,2592,1414.4,3385.6,4000,2457.5999,889.6001
64,0.00000001,0.56,0.19999999,812.8,2528,2585.6,1427.2,3462.4,4032,2474.6667,903.1111
64,0.00000001,0.59999996,0.16,851.2,2579.2,2611.2,1440,3372.8,4012.8,2477.8665,888.1779
64,0.00000001,0.39999998,0.28,857.6,2425.6,2457.6,1420.8,3577.6,4153.6,2482.1335,922.3112
64,0.00000001,0.59999996,0.08,825.6,2566.4,2553.6,1356.8,3552,4044.8,2483.2,928
64,0.00000001,0,0.32,755.2,2412.8,2355.2,1388.8,3584,4422.4,2486.4001,1011.2
64,0.00000001,0.59999996,0.19999999,832,2585.6,2617.6,1376,3526.4,4096,2505.5999,934.4001
64,0.00000001,0.52,0.23999998,857.6,2560,2553.6,1593.6,3488,4102.4,2525.867,866.8444
64,0.00000001,0.08,0.32,806.4,2444.8,2464,1497.6,3609.6,4409.6,2538.6667,980.62225
64,0.00000001,0.04,0.32,992,2374.4,2393.6,1504,3635.2,4352,2541.8667,967.82227
64,0.00000001,0.59999996,0.04,832,2675.2,2604.8,1408,3577.6,4211.2,2551.4666,954.3112
64,0.00000001,0.56,0.23999998,844.8,2624,2668.8,1452.8,3590.4,4236.8,2569.6,947.1999
64,0.00000001,0.64,0.16,825.6,2662.4,2649.6,1587.2,3590.4,4102.4,2569.5999,908.80005
64,0.00000001,0.44,0.28,851.2,2636.8,2572.8,1459.2,3520,4396.8,2572.8,945.06665
