cr,f,popsize,forest,hilly,mean,mad
0.04,0.23999998,64,128044.8,206867.2,167456,39411.203
0.04,0.28,64,146425.6,241580.8,194003.19,47577.6
0.08,0.28,64,145081.6,248448,196764.8,51683.203
0.04,0.32,64,172000,282156.8,227078.4,55078.406
0.08,0.32,64,182604.8,318553.6,250579.19,67974.4
0.04,0.35999998,64,200294.4,337062.4,268678.4,68384
0.12,0.32,64,197702.4,387884.8,292793.63,95091.2
0.08,0.35999998,64,225190.4,407091.2,316140.8,90950.39
0.04,0.39999998,64,235648,400467.2,318057.6,82409.59
0,0.04,64,288492.8,inf,inf,inf
0,0.08,64,317664,inf,inf,inf
0,0.12,64,360147.2,inf,inf,inf
0,0.16,64,403142.4,inf,inf,inf
0,0.19999999,64,456908.8,inf,inf,inf
0,0.23999998,64,470739.2,inf,inf,inf
0,0.28,64,inf,inf,inf,inf
0,0.32,64,inf,inf,inf,inf
0,0.35999998,64,inf,inf,inf,inf
0,0.39999998,64,inf,inf,inf,inf
0,0.43999997,64,inf,inf,inf,inf
0,0.48,64,inf,inf,inf,inf
0,0.52,64,inf,inf,inf,inf
0,0.56,64,inf,inf,inf,inf
0,0.6,64,inf,inf,inf,inf
0,0.64,64,inf,inf,inf,inf
0,0.68,64,inf,inf,inf,inf
0,0.72,64,inf,inf,inf,inf
0,0.76,64,inf,inf,inf,inf
0,0.8,64,inf,inf,inf,inf
0,0.84,64,inf,inf,inf,inf
0,0.88,64,inf,inf,inf,inf
0,0.92,64,inf,inf,inf,inf
0,0.96,64,inf,inf,inf,inf
0.04,0.04,64,inf,inf,inf,inf
0.04,0.08,64,inf,inf,inf,inf
0.04,0.12,64,93164.8,inf,inf,inf
0.04,0.16,64,100089.6,inf,inf,inf
0.04,0.19999999,64,115232,inf,inf,inf
0.04,0.43999997,64,275769.6,inf,inf,inf
0.04,0.48,64,316729.6,inf,inf,inf
0.04,0.52,64,372812.8,inf,inf,inf
0.04,0.56,64,430521.6,inf,inf,inf
0.04,0.6,64,inf,inf,inf,inf
0.04,0.64,64,inf,inf,inf,inf
0.04,0.68,64,inf,inf,inf,inf
0.04,0.72,64,inf,inf,inf,inf
0.04,0.76,64,inf,inf,inf,inf
0.04,0.8,64,inf,inf,inf,inf
0.04,0.84,64,inf,inf,inf,inf
0.04,0.88,64,inf,inf,inf,inf
0.04,0.92,64,inf,inf,inf,inf
0.04,0.96,64,inf,inf,inf,inf
0.08,0.04,64,inf,inf,inf,inf
0.08,0.08,64,inf,inf,inf,inf
0.08,0.12,64,inf,inf,inf,inf
0.08,0.16,64,inf,inf,inf,inf
0.08,0.19999999,64,inf,inf,inf,inf
0.08,0.23999998,64,118080,inf,inf,inf
0.08,0.39999998,64,295801.6,inf,inf,inf
0.08,0.43999997,64,378016,inf,inf,inf
0.08,0.48,64,inf,inf,inf,inf
0.08,0.52,64,inf,inf,inf,inf
0.08,0.56,64,inf,inf,inf,inf
0.08,0.6,64,inf,inf,inf,inf
0.08,0.64,64,inf,inf,inf,inf
0.08,0.68,64,inf,inf,inf,inf
0.08,0.72,64,inf,inf,inf,inf
0.08,0.76,64,inf,inf,inf,inf
0.08,0.8,64,inf,inf,inf,inf
0.08,0.84,64,inf,inf,inf,inf
0.08,0.88,64,inf,inf,inf,inf
0.08,0.92,64,inf,inf,inf,inf
0.08,0.96,64,inf,inf,inf,inf
0.12,0.04,64,inf,inf,inf,inf
