h,p_best_rate,popsize,shubert,mean,mad
6,0.23999998,64,41363.2,41363.2,0
2,0.23999998,64,41382.4,41382.4,0
15,0.6,64,41388.8,41388.8,0
3,0.35999998,64,41395.2,41395.2,0
6,0.35999998,64,41395.2,41395.2,0
10,1,64,41401.6,41401.6,0
20,0.04,64,41408,41408,0
8,0.68,64,41414.4,41414.4,0
9,0.19999999,64,41420.8,41420.8,0
7,0.23999998,64,41446.4,41446.4,0
23,0.16,64,41446.4,41446.4,0
7,0.68,64,41452.8,41452.8,0
4,0.32,64,41472,41472,0
11,0.16,64,41478.4,41478.4,0
18,0.32,64,41484.8,41484.8,0
3,0.39999998,64,41491.2,41491.2,0
23,0.04,64,41497.6,41497.6,0
19,0.48,64,41504,41504,0
4,0.48,64,41516.8,41516.8,0
23,0.39999998,64,41529.6,41529.6,0
19,0.12,64,41536,41536,0
22,0.12,64,41542.4,41542.4,0
8,0.6,64,41548.8,41548.8,0
15,0.16,64,41561.6,41561.6,0
16,0.35999998,64,41561.6,41561.6,0
13,0.76,64,41574.4,41574.4,0
14,0.19999999,64,41593.6,41593.6,0
20,0.76,64,41593.6,41593.6,0
15,0.39999998,64,41600,41600,0
24,0.19999999,64,41612.8,41612.8,0
9,0.8,64,41625.6,41625.6,0
14,0.23999998,64,41625.6,41625.6,0
11,0.76,64,41632,41632,0
20,0.48,64,41632,41632,0
23,0.19999999,64,41638.4,41638.4,0
24,0.84,64,41638.4,41638.4,0
3,0.23999998,64,41651.2,41651.2,0
15,0.68,64,41651.2,41651.2,0
18,0.68,64,41670.4,41670.4,0
8,0.12,64,41676.8,41676.8,0
18,0.08,64,41676.8,41676.8,0
5,0.88,64,41683.2,41683.2,0
6,0.16,64,41696,41696,0
17,0.28,64,41721.6,41721.6,0
3,0.76,64,41728,41728,0
5,0.64,64,41728,41728,0
8,0.52,64,41728,41728,0
16,0.8,64,41740.8,41740.8,0
13,0.04,64,41753.6,41753.6,0
3,0.6,64,41760,41760,0
2,0.72,64,41772.8,41772.8,0
5,0.76,64,41772.8,41772.8,0
22,0.04,64,41785.6,41785.6,0
3,0.64,64,41792,41792,0
9,0.56,64,41792,41792,0
22,0.28,64,41804.8,41804.8,0
1,0.04,64,41830.4,41830.4,0
17,0.04,64,41830.4,41830.4,0
20,0.08,64,41830.4,41830.4,0
20,0.28,64,41830.4,41830.4,0
13,0.39999998,64,41836.8,41836.8,0
19,0.76,64,41843.2,41843.2,0
15,0.32,64,41862.4,41862.4,0
4,0.39999998,64,41875.2,41875.2,0
5,0.68,64,41875.2,41875.2,0
6,0.64,64,41875.2,41875.2,0
15,0.35999998,64,41881.6,41881.6,0
4,0.68,64,41888,41888,0
7,0.39999998,64,41888,41888,0
10,0.19999999,64,41888,41888,0
17,0.43999997,64,41900.8,41900.8,0
13,0.35999998,64,41907.2,41907.2,0
9,0.39999998,64,41913.6,41913.6,0
16,0.23999998,64,41920,41920,0
5,0.43999997,64,41926.4,41926.4,0
24,0.39999998,64,41926.4,41926.4,0
15,0.52,64,41932.8,41932.8,0
20,0.64,64,41945.6,41945.6,0
18,0.64,64,41958.4,41958.4,0
19,0.43999997,64,41958.4,41958.4,0
5,0.8,64,41964.8,41964.8,0
18,0.12,64,41964.8,41964.8,0
3,0.19999999,64,41971.2,41971.2,0
12,0.52,64,41971.2,41971.2,0
1,0.84,64,41984,41984,0
2,0.28,64,41990.4,41990.4,0
4,0.88,64,41990.4,41990.4,0
6,0.48,64,41990.4,41990.4,0
4,0.28,64,41996.8,41996.8,0
11,0.39999998,64,41996.8,41996.8,0
15,0.72,64,41996.8,41996.8,0
11,0.88,64,42003.2,42003.2,0
21,0.35999998,64,42003.2,42003.2,0
24,0.23999998,64,42009.6,42009.6,0
8,0.35999998,64,42016,42016,0
15,0.48,64,42016,42016,0
19,0.64,64,42028.8,42028.8,0
20,0.35999998,64,42028.8,42028.8,0
22,0.88,64,42028.8,42028.8,0
3,0.8,64,42035.2,42035.2,0
7,0.88,64,42035.2,42035.2,0
11,0.32,64,42035.2,42035.2,0
17,0.88,64,42035.2,42035.2,0
22,1,64,42035.2,42035.2,0
3,0.08,64,42041.6,42041.6,0
5,0.35999998,64,42041.6,42041.6,0
21,0.92,64,42048,42048,0
9,0.76,64,42054.4,42054.4,0
12,0.56,64,42054.4,42054.4,0
14,0.68,64,42054.4,42054.4,0
2,0.43999997,64,42060.8,42060.8,0
7,0.43999997,64,42060.8,42060.8,0
5,0.52,64,42073.6,42073.6,0
9,0.68,64,42092.8,42092.8,0
15,0.28,64,42099.2,42099.2,0
15,0.08,64,42112,42112,0
12,0.12,64,42118.4,42118.4,0
22,0.43999997,64,42118.4,42118.4,0
10,0.8,64,42124.8,42124.8,0
13,0.43999997,64,42124.8,42124.8,0
