h,p_best_rate,popsize,shubert,mean,mad
14,0.08,64,239251.2,239251.2,0
19,0.04,64,239820.8,239820.8,0
12,0.08,64,240640,240640,0
4,0.04,64,240678.4,240678.4,0
17,0.04,64,240684.8,240684.8,0
15,0.08,64,241004.8,241004.8,0
10,0.08,64,241030.4,241030.4,0
16,0.32,64,241228.8,241228.8,0
14,0.04,64,241286.4,241286.4,0
7,0.19999999,64,241510.4,241510.4,0
24,0.23999998,64,241561.6,241561.6,0
13,0.08,64,241619.2,241619.2,0
4,0.08,64,241664,241664,0
10,0.04,64,241702.4,241702.4,0
8,0.48,64,241843.2,241843.2,0
12,0.28,64,241875.2,241875.2,0
5,0.04,64,242112,242112,0
23,0.04,64,242118.4,242118.4,0
8,0.43999997,64,242297.6,242297.6,0
22,0.04,64,242380.8,242380.8,0
8,0.08,64,242579.2,242579.2,0
21,0.16,64,242598.4,242598.4,0
8,0.04,64,242604.8,242604.8,0
23,0.16,64,242604.8,242604.8,0
8,0.12,64,242611.2,242611.2,0
16,0.04,64,242681.6,242681.6,0
3,0.12,64,242694.4,242694.4,0
19,0.43999997,64,242694.4,242694.4,0
13,0.23999998,64,242816,242816,0
24,0.12,64,242969.6,242969.6,0
18,0.12,64,243040,243040,0
8,0.56,64,243046.4,243046.4,0
14,0.43999997,64,243078.4,243078.4,0
18,0.04,64,243232,243232,0
23,0.19999999,64,243238.4,243238.4,0
22,0.19999999,64,243244.8,243244.8,0
8,0.19999999,64,243276.8,243276.8,0
1,0.23999998,64,243283.2,243283.2,0
5,0.76,64,243283.2,243283.2,0
12,0.35999998,64,243353.6,243353.6,0
20,0.19999999,64,243404.8,243404.8,0
14,0.12,64,243417.6,243417.6,0
15,0.8,64,243545.6,243545.6,0
9,0.04,64,243584,243584,0
10,0.8,64,243641.6,243641.6,0
12,0.92,64,243699.2,243699.2,0
3,0.88,64,243756.8,243756.8,0
21,0.12,64,243929.6,243929.6,0
13,0.12,64,243993.6,243993.6,0
24,0.16,64,244025.6,244025.6,0
15,0.12,64,244108.8,244108.8,0
21,0.04,64,244115.2,244115.2,0
19,0.88,64,244140.8,244140.8,0
7,0.68,64,244172.8,244172.8,0
9,0.19999999,64,244262.4,244262.4,0
19,0.32,64,244332.8,244332.8,0
1,0.16,64,244345.6,244345.6,0
17,0.08,64,244422.4,244422.4,0
2,0.56,64,244454.4,244454.4,0
12,0.12,64,244460.8,244460.8,0
12,0.23999998,64,244467.2,244467.2,0
5,0.16,64,244473.6,244473.6,0
4,0.12,64,244505.6,244505.6,0
4,0.23999998,64,244556.8,244556.8,0
10,1,64,244582.4,244582.4,0
16,0.19999999,64,244588.8,244588.8,0
18,0.19999999,64,244620.8,244620.8,0
15,0.04,64,244640,244640,0
