cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.59999996,0.12,64,812.8,2611.2,2560,1395.2,3372.8,3923.2,2445.8667,894.5778
0.71999997,0.12,64,761.6,2572.8,2432,1299.2,3539.2,4153.6,2459.7334,962.1333
0.64,0.12,64,812.8,2553.6,2483.2,1440,3520,4012.8,2470.4,896
0.56,0.12,64,844.8,2592,2432,1401.6,3494.4,4083.2,2474.6667,915.2
0.71999997,0.16,64,800,2540.8,2451.2,1350.4,3520,4230.4,2482.1335,948.26666
0.52,0.12,64,819.2,2560,2528,1420.8,3500.8,4070.4,2483.2,908.8
0.68,0.12,64,800,2611.2,2630.4,1401.6,3545.6,3955.2,2490.6667,926.5778
0.68,0.16,64,780.8,2617.6,2611.2,1440,3449.6,4076.8,2496,923.7334
0.56,0.16,64,806.4,2598.4,2547.2,1433.6,3494.4,4128,2501.3333,920.88885
0.64,0.16,64,844.8,2636.8,2566.4,1452.8,3475.2,4102.4,2513.0667,909.51105
0.64,0.08,64,832,2656,2540.8,1376,3481.6,4198.4,2514.1335,940.08887
0.48,0.12,64,806.4,2668.8,2528,1516.8,3488,4128,2522.6667,907.37775
0.59999996,0.08,64,761.6,2681.6,2553.6,1376,3577.6,4185.6,2522.6667,969.24445
0.56,0.08,64,838.4,2611.2,2611.2,1350.4,3596.8,4153.6,2526.9333,955.0223
0.59999996,0.16,64,761.6,2713.6,2515.2,1516.8,3468.8,4211.2,2531.2,933.3333
0.52,0.08,64,812.8,2681.6,2681.6,1376,3545.6,4102.4,2533.3333,959.2889
0.48,0.08,64,819.2,2758.4,2675.2,1433.6,3596.8,4044.8,2554.6667,952.17773
0.71999997,0.19999999,64,819.2,2624,2483.2,1420.8,3705.6,4275.2,2554.6667,980.2668
0.76,0.16,64,748.8,2604.8,2515.2,1414.4,3692.8,4428.8,2567.4666,1008
0.44,0.08,64,832,2745.6,2604.8,1433.6,3571.2,4224,2568.5334,957.1556
0.44,0.12,64,838.4,2681.6,2656,1433.6,3648,4211.2,2578.1333,961.4223
0.48,0.16,64,812.8,2585.6,2675.2,1548.8,3673.6,4230.4,2587.7334,938.6667
0.52,0.16,64,908.8,2688,2611.2,1516.8,3641.6,4236.8,2600.5334,925.15546
0.68,0.08,64,761.6,2739.2,2540.8,1356.8,3641.6,4563.2,2600.5334,1047.4668
0.44,0.16,64,832,2777.6,2668.8,1408,3667.2,4352,2617.6,998.39996
0.76,0.19999999,64,832,2771.2,2604.8,1491.2,3737.6,4275.2,2618.6667,976
0.64,0.19999999,64,844.8,2681.6,2630.4,1536,3686.4,4377.6,2626.133,957.1556
0.76,0.12,64,768,2720,2649.6,1318.4,3859.2,4454.4,2628.2666,1056.7112
0.68,0.19999999,64,819.2,2675.2,2643.2,1510.4,3718.4,4422.4,2631.4666,977.7778
0.79999995,0.19999999,64,768,2668.8,2758.4,1414.4,3756.8,4505.6,2645.3333,1036.0889
0.79999995,0.16,64,761.6,2688,2752,1312,3814.4,4550.4,2646.4001,1073.0665
0.71999997,0.08,64,729.6,2700.8,2707.2,1312,3859.2,4627.2,2656,1090.1333
0.59999996,0.19999999,64,864,2611.2,2726.4,1670.4,3750.4,4320,2657.0667,941.86664
0.52,0.04,64,812.8,2848,2611.2,1382.4,3667.2,4627.2,2658.1333,1056.0001
0.52,0.19999999,64,966.4,2598.4,2700.8,1593.6,3763.2,4345.6,2661.3333,941.8667
0.48,0.04,64,857.6,2867.2,2649.6,1363.2,3852.8,4467.2,2676.2666,1052.7999
0.39999998,0.08,64,819.2,2873.6,2784,1491.2,3756.8,4364.8,2681.5999,1017.6001
0.56,0.19999999,64,896,2758.4,2707.2,1606.4,3750.4,4416,2689.0667,958.5777
0.39999998,0.12,64,985.6,2771.2,2764.8,1529.6,3820.8,4313.6,2697.5999,960
0.39999998,0.16,64,883.2,2841.6,2732.8,1568,3782.4,4384,2698.6667,982.04443
0.56,0.04,64,780.8,2835.2,2649.6,1337.6,3788.8,4812.8,2700.8,1111.4667
0.79999995,0.23999998,64,876.8,2758.4,2784,1350.4,3961.6,4480,2701.8667,1058.8444
0.35999998,0.08,64,851.2,2803.2,2835.2,1580.8,3942.4,4409.6,2737.0664,1014.0445
0.44,0.04,64,844.8,2822.4,2803.2,1459.2,3929.6,4569.6,2738.133,1057.4224
0.48,0.19999999,64,947.2,2777.6,2681.6,1542.4,3961.6,4537.6,2741.3333,1017.5999
0.84,0.19999999,64,723.2,2745.6,2732.8,1344,4268.8,4710.4,2754.1335,1156.9779
0.76,0.23999998,64,921.6,2848,2745.6,1523.2,3942.4,4550.4,2755.2002,1025.0667
0.35999998,0.12,64,857.6,2880,2880,1568,3891.2,4512,2764.8,1034.6666
0.39999998,0.04,64,851.2,2886.4,2886.4,1452.8,4019.2,4582.4,2779.7334,1085.1555
0.44,0.19999999,64,940.8,2803.2,2796.8,1664,3929.6,4544,2779.7334,984.88885
0.71999997,0.23999998,64,864,2803.2,2739.2,1625.6,4064,4614.4,2785.0667,1042.1333
0.84,0.28,64,748.8,2873.6,2912,1414.4,4038.4,4812.8,2800,1145.6
0.35999998,0.16,64,947.2,2937.6,2841.6,1574.4,4006.4,4563.2,2811.7336,1033.9556
0.68,0.23999998,64,889.6,2931.2,2822.4,1568,4000,4704,2819.2,1060.2666
0.32,0.12,64,864,2963.2,2944,1657.6,4051.2,4550.4,2838.4001,1051.7333
0.35999998,0.04,64,812.8,2963.2,2880,1536,4076.8,4780.8,2841.5999,1111.4667
0.39999998,0.19999999,64,883.2,3033.6,2854.4,1632,4070.4,4601.6,2845.8665,1058.8446
0.32,0.08,64,908.8,3008,2899.2,1568,4070.4,4640,2849.0667,1073.7778
0.52,0.23999998,64,1011.2,2828.8,2880,1523.2,4121.6,4768,2855.4668,1067.7334
0.79999995,0.28,64,953.6,2931.2,2822.4,1420.8,4128,4883.2,2856.5332,1124.2667
0.84,0.23999998,64,844.8,2828.8,2784,1305.6,4217.6,5164.8,2857.6003,1222.4
0.64,0.23999998,64,902.4,2873.6,2809.6,1670.4,4147.2,4755.2,2859.7334,1065.6001
0.59999996,0.23999998,64,1017.6,2828.8,2835.2,1760,4038.4,4812.8,2882.1335,1028.9777
0.56,0.23999998,64,1049.6,2976,2892.8,1638.4,4070.4,4729.6,2892.8,1032.5333
0.32,0.16,64,966.4,3052.8,2988.8,1651.2,4134.4,4742.4,2922.6667,1075.9111
0.35999998,0.19999999,64,947.2,3033.6,2905.6,1696,4160,4844.8,2931.2,1081.6
0.88,0.28,64,716.8,2924.8,2873.6,1331.2,4659.2,5100.8,2934.4001,1297.0668
0.76,0.28,64,928,2905.6,2969.6,1612.8,4332.8,4889.6,2939.7334,1124.2667
0.32,0.04,64,819.2,3040,2886.4,1561.6,4281.6,5094.4,2947.2,1191.4668
0.48,0.23999998,64,1017.6,2924.8,2937.6,1708.8,4281.6,4864,2955.7334,1078.0444
0.28,0.08,64,966.4,3206.4,3097.6,1657.6,4134.4,4774.4,2972.8,1107.1998
0.28,0.12,64,985.6,3091.2,3084.8,1760,4198.4,4768,2981.3333,1072.3556
0.71999997,0.28,64,883.2,3072,2905.6,1696,4256,5075.2,2981.3333,1153.0668
0.32,0.19999999,64,1030.4,3020.8,2937.6,1657.6,4294.4,4998.4,2989.867,1114.6666
0.44,0.23999998,64,998.4,3008,2995.2,1696,4339.2,4915.2,2992,1096.5333
0.39999998,0.23999998,64,857.6,3040,3046.4,1696,4409.6,5056,3017.5999,1160.5333
0.84,0.32,64,838.4,3129.6,3091.2,1561.6,4595.2,5030.4,3041.0667,1227.3778
0.28,0.04,64,889.6,3270.4,3033.6,1683.2,4275.2,5120,3045.3333,1176.5333
0.88,0.23999998,64,748.8,2816,2880,1164.8,5062.4,5606.4,3046.4001,1525.3334
0.28,0.16,64,1049.6,3187.2,3027.2,1811.2,4345.6,5011.2,3072,1109.3334
0.68,0.28,64,1030.4,3129.6,3110.4,1785.6,4512,5107.2,3112.5332,1137.0668
0.24,0.12,64,1004.8,3315.2,3238.4,1715.2,4486.4,5024,3130.6667,1180.4443
0.88,0.32,64,748.8,3078.4,2963.2,1440,4947.2,5619.2,3132.8,1433.6001
0.24,0.08,64,992,3340.8,3251.2,1728,4435.2,5075.2,3137.0667,1184.7113
0.35999998,0.23999998,64,979.2,3155.2,3129.6,1843.2,4505.6,5254.4,3144.5334,1160.5333
0.59999996,0.28,64,1017.6,3084.8,3040,1817.6,4576,5395.2,3155.2,1220.2666
0.24,0.04,64,972.8,3238.4,3225.6,1811.2,4409.6,5344,3166.9333,1183.289
0.28,0.19999999,64,1062.4,3264,3238.4,1811.2,4556.8,5100.8,3172.2666,1156.9777
0.64,0.28,64,1100.8,3084.8,3097.6,1849.6,4576,5337.6,3174.4001,1188.2667
0.79999995,0.32,64,940.8,3206.4,3180.8,1696,4537.6,5568,3188.2666,1249.0667
0.24,0.16,64,1100.8,3360,3321.6,1734.4,4512,5190.4,3203.2,1190.4
0.56,0.28,64,992,3136,3072,1824,4697.6,5523.2,3207.4668,1268.6223
0.32,0.23999998,64,1075.2,3251.2,3225.6,1849.6,4576,5350.4,3221.3333,1172.6222
0.52,0.28,64,1011.2,3084.8,3168,1881.6,4652.8,5548.8,3224.5332,1250.8444
0.48,0.28,64,1004.8,3155.2,3084.8,1958.4,4678.4,5523.2,3234.1335,1244.4445
0.44,0.28,64,1062.4,3212.8,3232,1862.4,4697.6,5612.8,3280,1250.1333
0.39999998,0.28,64,1024,3270.4,3180.8,1952,4716.8,5561.6,3284.2666,1236.6222
0.76,0.32,64,1056,3264,3212.8,1728,4774.4,5715.2,3291.7332,1302.0444
0.24,0.19999999,64,1062.4,3449.6,3424,1804.8,4697.6,5369.6,3301.3333,1245.1556
0.19999999,0.12,64,1094.4,3520,3507.2,1939.2,4659.2,5478.4,3366.4001,1233.0665
0.71999997,0.32,64,1011.2,3392,3366.4,1760,4838.4,5830.4,3366.4001,1320.5333
0.19999999,0.04,64,1075.2,3468.8,3500.8,1772.8,4812.8,5580.8,3368.5332,1296.3556
0.19999999,0.08,64,1081.6,3526.4,3424,1958.4,4742.4,5491.2,3370.6667,1233.7777
0.28,0.23999998,64,1088,3372.8,3398.4,1984,4851.2,5587.2,3380.2666,1232
0.91999996,0.35999998,64,742.4,3302.4,3334.4,1433.6,5619.2,5868.8,3383.4668,1573.689
0.88,0.35999998,64,864,3436.8,3340.8,1638.4,5107.2,5932.8,3386.6667,1438.9332
0.35999998,0.28,64,1081.6,3404.8,3347.2,1939.2,4812.8,5804.8,3398.3997,1275.7334
0.91999996,0.32,64,736,2976,2924.8,1280,5926.4,6572.8,3402.6667,1897.9556
0.19999999,0.16,64,1145.6,3603.2,3622.4,1900.8,4832,5536,3440,1277.8666
0.32,0.28,64,1113.6,3372.8,3443.2,2028.8,4947.2,5798.4,3450.6667,1281.4224
0.84,0.35999998,64,1113.6,3635.2,3449.6,1625.6,5184,5862.4,3478.4001,1415.4667
0.68,0.32,64,1126.4,3379.2,3417.6,2028.8,5024,5913.6,3481.5999,1324.7999
0.24,0.23999998,64,1094.4,3590.4,3417.6,2080,5088,5849.6,3520,1322.6666
0.19999999,0.19999999,64,1132.8,3628.8,3603.2,2016,5056,5830.4,3544.5332,1313.4222
0.64,0.32,64,1152,3430.4,3449.6,2035.2,5075.2,6124.8,3544.5332,1370.311
0.91999996,0.39999998,64,806.4,3571.2,3577.6,1580.8,5811.2,6009.6,3559.4668,1577.2445
0.28,0.28,64,1152,3635.2,3616,1990.4,5177.6,5926.4,3582.9336,1341.1554
0.59999996,0.32,64,1132.8,3449.6,3340.8,2112,5171.2,6361.6,3594.6667,1447.8223
0.48,0.32,64,1113.6,3385.6,3475.2,2060.8,5254.4,6355.2,3607.4668,1464.889
0.16,0.08,64,1164.8,3750.4,3795.2,1875.2,5158.4,5913.6,3609.5999,1393.0665
0.52,0.32,64,1184,3372.8,3462.4,2016,5280,6380.8,3616,1476.2666
0.79999995,0.35999998,64,1158.4,3686.4,3532.8,1817.6,5222.4,6380.8,3633.0664,1463.4667
0.16,0.12,64,1126.4,3737.6,3763.2,2073.6,5260.8,5907.2,3644.8,1363.2001
0.16,0.04,64,1184,3872,3776,1939.2,5139.2,5964.8,3645.8665,1389.5112
0.56,0.32,64,1120,3462.4,3334.4,2182.4,5331.2,6451.2,3646.9333,1496.1779
