popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.16,0.12,1484.8,3462.4,3411.2,2201.6,4601.6,5248,3401.5999,1038.9335
64,0,0.12,1555.2,3398.4,3404.8,2182.4,4556.8,5324.8,3403.7332,1025.0665
64,0.12,0.12,1523.2,3449.6,3424,2118.4,4563.2,5427.2,3417.5999,1064.5336
64,0.04,0.12,1516.8,3443.2,3449.6,2118.4,4659.2,5331.2,3419.7334,1068.089
64,0.08,0.12,1497.6,3475.2,3494.4,2201.6,4582.4,5408,3443.2,1062.3999
64,0.19999999,0.12,1555.2,3475.2,3475.2,2195.2,4684.8,5318.4,3450.6667,1050.311
64,0.16,0.08,1459.2,3488,3577.6,2092.8,4640,5510.4,3461.3333,1123.5555
64,0.08,0.08,1382.4,3475.2,3481.6,2099.2,4736,5683.2,3476.2668,1157.3334
64,0.24,0.12,1529.6,3500.8,3513.6,2182.4,4684.8,5465.6,3479.4668,1082.3112
64,0,0.08,1427.2,3520,3545.6,2131.2,4742.4,5606.4,3495.4668,1144.1777
64,0.04,0.08,1408,3475.2,3462.4,2137.6,4742.4,5747.2,3495.4668,1166.2223
64,0.12,0.08,1440,3494.4,3545.6,2105.6,4800,5651.2,3506.1335,1159.4667
64,0.08,0.16,1664,3449.6,3468.8,2201.6,4780.8,5542.4,3517.8665,1095.8221
64,0.28,0.12,1555.2,3500.8,3532.8,2233.6,4825.6,5497.6,3524.2666,1094.4
64,0.32,0.12,1529.6,3513.6,3539.2,2259.2,4761.6,5542.4,3524.2668,1090.1333
64,0.12,0.16,1600,3500.8,3552,2284.8,4748.8,5516.8,3533.8665,1072
64,0,0.16,1606.4,3456,3552,2323.2,4768,5523.2,3538.1335,1076.2666
64,0.24,0.08,1472,3622.4,3577.6,2118.4,4787.2,5747.2,3554.1335,1172.6222
64,0.19999999,0.08,1452.8,3577.6,3622.4,2144,4780.8,5766.4,3557.3333,1172.6222
64,0.04,0.16,1632,3507.2,3590.4,2355.2,4800,5478.4,3560.5332,1062.4
64,0.35999998,0.12,1568,3609.6,3596.8,2310.4,4812.8,5574.4,3578.6667,1092.9777
64,0.28,0.08,1440,3628.8,3680,2086.4,4851.2,5804.8,3581.8665,1212.4445
64,0.16,0.16,1689.6,3500.8,3520,2400,4812.8,5600,3587.2,1079.4667
64,0.39999998,0.12,1561.6,3628.8,3616,2284.8,4806.4,5676.8,3595.7332,1115.0223
64,0.19999999,0.16,1676.8,3596.8,3616,2316.8,4825.6,5593.6,3604.2666,1074.1334
64,0.28,0.16,1664,3545.6,3539.2,2336,4992,5683.2,3626.6667,1140.6222
64,0.24,0.16,1728,3654.4,3577.6,2419.2,4864,5587.2,3638.4001,1063.4667
64,0.32,0.08,1459.2,3673.6,3744,2105.6,4947.2,5971.2,3650.1335,1245.1556
64,0.44,0.12,1612.8,3680,3686.4,2291.2,4947.2,5702.4,3653.3333,1134.2222
64,0.32,0.16,1676.8,3635.2,3596.8,2374.4,4889.6,5792,3660.7998,1120
64,0.35999998,0.08,1433.6,3699.2,3654.4,2169.6,5094.4,6035.2,3681.0664,1261.8667
64,0.35999998,0.16,1702.4,3686.4,3724.8,2470.4,5094.4,5766.4,3740.8,1126.4
64,0.39999998,0.08,1465.6,3737.6,3795.2,2214.4,5100.8,6150.4,3744,1271.4666
64,0.48,0.12,1587.2,3776,3718.4,2310.4,5126.4,6035.2,3758.9336,1220.2667
64,0.39999998,0.16,1708.8,3705.6,3712,2476.8,5068.8,5907.2,3763.2,1149.8666
64,0.44,0.08,1478.4,3872,3801.6,2233.6,5190.4,6208,3797.3333,1294.2222
64,0.44,0.16,1670.4,3763.2,3795.2,2457.6,5139.2,6086.4,3818.667,1196.089
64,0.52,0.12,1561.6,3872,3814.4,2342.4,5235.2,6220.8,3841.0671,1268.2667
64,0,0.19999999,1804.8,3737.6,3776,2579.2,5158.4,6080,3856,1175.4667
64,0.48,0.08,1542.4,3936,3942.4,2272,5337.6,6112,3857.0667,1299.9111
64,0.12,0.19999999,1792,3814.4,3769.6,2598.4,5248,5990.4,3868.8,1166.9332
64,0.08,0.19999999,1792,3718.4,3820.8,2547.2,5254.4,6092.8,3870.9336,1201.7778
64,0.16,0.19999999,1779.2,3795.2,3750.4,2515.2,5299.2,6086.4,3870.9333,1214.5778
64,0.04,0.19999999,1856,3750.4,3705.6,2528,5292.8,6118.4,3875.2002,1220.2667
64,0.24,0.19999999,1785.6,3820.8,3756.8,2483.2,5350.4,6220.8,3902.9336,1255.1112
64,0.48,0.16,1824,3846.4,3904,2470.4,5324.8,6124.8,3915.7336,1206.0446
64,0.19999999,0.19999999,1798.4,3776,3827.2,2598.4,5344,6188.8,3922.1335,1229.5111
64,0.28,0.19999999,1798.4,3833.6,3872,2611.2,5484.8,6195.2,3965.8665,1249.4222
64,0.52,0.16,1792,3891.2,3936,2489.6,5452.8,6361.6,3987.2002,1280.0001
64,0.56,0.12,1721.6,3948.8,4012.8,2406.4,5420.8,6432,3990.3997,1298.1333
64,0.35999998,0.19999999,1779.2,3955.2,3910.4,2624,5478.4,6374.4,4020.2666,1270.7555
64,0.32,0.19999999,1894.4,3910.4,3865.6,2604.8,5472,6419.2,4027.7332,1278.5776
64,0.52,0.08,1580.8,3987.2,4096,2342.4,5491.2,6720,4036.2668,1399.4668
64,0.39999998,0.19999999,1888,3955.2,3948.8,2688,5472,6528,4080,1280
64,0.56,0.16,1804.8,4019.2,4032,2553.6,5600,6547.2,4092.8,1320.5333
64,0.59999996,0.12,1760,4019.2,4249.6,2470.4,5587.2,6592,4113.067,1363.2001
64,0.56,0.08,1593.6,4179.2,4102.4,2316.8,5600,7008,4133.3335,1462.4
64,0.44,0.19999999,1836.8,4051.2,4032,2745.6,5644.8,6688,4166.4,1333.3333
64,0.48,0.19999999,1945.6,4083.2,4153.6,2739.2,5696,6809.6,4237.8667,1343.289
64,0.64,0.12,1702.4,4211.2,4249.6,2560,5843.2,6905.6,4245.3335,1420.8002
64,0.59999996,0.16,1804.8,4153.6,4115.2,2611.2,5868.8,6950.4,4250.667,1439.289
64,0.52,0.19999999,1868.8,4185.6,4217.6,2803.2,5932.8,6944,4325.3335,1408.711
64,0.04,0.23999998,2080,4128,4230.4,2918.4,5913.6,7155.2,4404.267,1420.0892
64,0.64,0.16,1964.8,4326.4,4275.2,2694.4,6035.2,7257.6,4425.6,1480.5336
64,0,0.23999998,2048,4211.2,4204.8,2976,5964.8,7180.8,4430.9336,1427.9111
64,0.56,0.19999999,1932.8,4256,4377.6,2771.2,6176,7155.2,4444.8003,1480.5336
64,0.08,0.23999998,2073.6,4185.6,4243.2,2937.6,6041.6,7206.4,4448,1450.6666
64,0.59999996,0.08,1651.2,4352,4275.2,2412.8,5958.4,8121.6,4461.8667,1718.7555
64,0.12,0.23999998,2112,4172.8,4185.6,2937.6,6073.6,7308.8,4465.0664,1484.0889
64,0.16,0.23999998,2156.8,4172.8,4160,2976,6048,7334.4,4474.6665,1477.6888
64,0.19999999,0.23999998,2220.8,4211.2,4217.6,2950.4,6188.8,7270.4,4509.8667,1479.8223
