popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.04,0.12,3072,6739.2,7110.4,4339.2,9984,12268.8,7252.267,2582.7556
64,0.00000001,0,0.12,3148.8,6944,7027.2,4332.8,10099.2,11993.6,7257.6,2525.8665
64,0.00000001,0.12,0.12,3136,7046.4,7027.2,4403.2,10259.2,11916.8,7298.1333,2526.578
64,0.00000001,0.08,0.12,3084.8,7110.4,7084.8,4300.8,10265.6,12038.4,7314.1333,2558.578
64,0.00000001,0.16,0.12,3264,7161.6,7232,4499.2,10060.8,12000,7369.6,2440.5332
64,0.00000001,0.24,0.12,3436.8,7206.4,7392,4665.6,10265.6,11872,7473.0664,2397.1553
64,0.00000001,0.19999999,0.12,3225.6,7232,7257.6,4608,10336,12198.4,7476.267,2527.289
64,0.00000001,0,0.16,3520,7091.2,7289.6,4748.8,10188.8,12108.8,7491.2007,2438.4001
64,0.00000001,0.08,0.16,3686.4,7283.2,7328,4768,10457.6,11936,7576.533,2413.511
64,0.00000001,0.28,0.12,3494.4,7347.2,7360,4742.4,10259.2,12256,7576.533,2454.0444
64,0.00000001,0.04,0.16,3744,7276.8,7238.4,4812.8,10470.4,12057.6,7600,2442.6667
64,0.00000001,0.12,0.16,3622.4,7232,7360,4921.6,10329.6,12192,7609.6,2434.1335
64,0.00000001,0.32,0.12,3532.8,7520,7347.2,4902.4,10432,12096,7638.4,2417.0664
64,0.00000001,0.16,0.16,3808,7385.6,7520,5062.4,10502.4,12307.2,7764.266,2427.0222
64,0.00000001,0.19999999,0.16,3788.8,7328,7539.2,5056,10713.6,12396.8,7803.734,2500.9778
64,0.00000001,0.35999998,0.12,3654.4,7667.2,7654.4,5011.2,10572.8,12454.4,7835.733,2451.9111
64,0.00000001,0.24,0.16,3884.8,7654.4,7584,5312,10739.2,12595.2,7961.5996,2470.4
64,0.00000001,0.28,0.16,3936,7718.4,7692.8,5254.4,10771.2,12806.4,8029.867,2505.9558
64,0.00000001,0.39999998,0.12,3865.6,7916.8,7859.2,5088,10867.2,12748.8,8057.6,2500.2666
64,0.00000001,0.32,0.16,4051.2,7718.4,7859.2,5523.2,11014.4,12819.2,8164.266,2501.6887
64,0.00000001,0.44,0.12,3872,8057.6,7968,5299.2,11059.2,12768,8170.6665,2495.2888
64,0.00000001,0.28,0.08,3020.8,7782.4,7788.8,4518.4,11552,14764.8,8237.866,3280.3555
64,0.00000001,0.35999998,0.08,3161.6,7840,7980.8,4665.6,11244.8,14681.6,8262.399,3133.8665
64,0.00000001,0.24,0.08,3027.2,7699.2,7724.8,4364.8,11564.8,15238.4,8269.867,3421.1555
64,0.00000001,0.35999998,0.16,4089.6,7942.4,7987.2,5792,11187.2,12864,8310.399,2476.7998
64,0.00000001,0.48,0.12,3910.4,8134.4,8294.4,5523.2,11264,12953.6,8346.667,2508.0889
64,0.00000001,0.44,0.08,3372.8,8313.6,8422.4,5024,11609.6,13932.8,8445.866,2883.5554
64,0.00000001,0.32,0.08,3142.4,7878.4,7846.4,4608,11756.8,15462.4,8449.066,3440.3555
