h,p_best_rate,popsize,forest,hilly,mean,mad
1,0.04,64,193760,inf,inf,inf
1,0.08,64,198387.2,inf,inf,inf
1,0.12,64,inf,inf,inf,inf
1,0.16,64,199052.8,inf,inf,inf
1,0.19999999,64,195660.8,inf,inf,inf
1,0.23999998,64,195500.8,inf,inf,inf
1,0.28,64,196326.4,inf,inf,inf
1,0.32,64,203084.8,inf,inf,inf
1,0.35999998,64,201753.6,inf,inf,inf
1,0.39999998,64,201376,inf,inf,inf
1,0.43999997,64,198880,inf,inf,inf
1,0.48,64,205811.2,inf,inf,inf
1,0.52,64,200787.2,inf,inf,inf
1,0.56,64,204576,inf,inf,inf
1,0.6,64,206361.6,inf,inf,inf
1,0.64,64,207507.2,inf,inf,inf
1,0.68,64,206124.8,inf,inf,inf
1,0.72,64,207782.4,inf,inf,inf
1,0.76,64,202809.6,inf,inf,inf
1,0.8,64,209203.2,inf,inf,inf
1,0.84,64,208812.8,inf,inf,inf
1,0.88,64,207910.4,inf,inf,inf
1,0.92,64,205670.4,inf,inf,inf
1,0.96,64,218758.4,inf,inf,inf
1,1,64,211059.2,inf,inf,inf
2,0.04,64,192492.8,inf,inf,inf
2,0.08,64,inf,inf,inf,inf
2,0.12,64,191904,inf,inf,inf
2,0.16,64,200006.4,inf,inf,inf
2,0.19999999,64,199808,inf,inf,inf
2,0.23999998,64,204243.2,inf,inf,inf
2,0.28,64,203270.4,inf,inf,inf
2,0.32,64,195667.2,inf,inf,inf
2,0.35999998,64,198956.8,inf,inf,inf
2,0.39999998,64,200134.4,inf,inf,inf
2,0.43999997,64,204192,inf,inf,inf
2,0.48,64,200076.8,inf,inf,inf
2,0.52,64,202240,inf,inf,inf
2,0.56,64,202054.4,inf,inf,inf
2,0.6,64,201107.2,inf,inf,inf
2,0.64,64,203417.6,inf,inf,inf
2,0.68,64,209728,inf,inf,inf
2,0.72,64,208480,inf,inf,inf
2,0.76,64,210790.4,inf,inf,inf
2,0.8,64,205100.8,inf,inf,inf
2,0.84,64,207507.2,inf,inf,inf
2,0.88,64,209331.2,inf,inf,inf
2,0.92,64,207929.6,inf,inf,inf
2,0.96,64,213235.2,inf,inf,inf
2,1,64,214137.6,inf,inf,inf
3,0.04,64,196390.4,inf,inf,inf
3,0.08,64,193644.8,inf,inf,inf
3,0.12,64,193798.4,inf,inf,inf
3,0.16,64,193824,inf,inf,inf
3,0.19999999,64,196492.8,inf,inf,inf
3,0.23999998,64,195033.6,inf,inf,inf
3,0.28,64,204224,inf,inf,inf
3,0.32,64,204441.6,inf,inf,inf
3,0.35999998,64,199628.8,inf,inf,inf
3,0.39999998,64,203200,inf,inf,inf
3,0.43999997,64,203552,inf,inf,inf
3,0.48,64,201568,inf,inf,inf
3,0.52,64,202950.4,inf,inf,inf
3,0.56,64,205465.6,inf,inf,inf
3,0.6,64,202464,inf,inf,inf
3,0.64,64,206073.6,inf,inf,inf
3,0.68,64,207852.8,inf,inf,inf
3,0.72,64,207552,inf,inf,inf
3,0.76,64,200633.6,inf,inf,inf
3,0.8,64,210476.8,inf,inf,inf
